State (Emission order)	ATAC-seq	H2AZ	H3K14ac	H3K4me1	H3K36me3	H3K9ac	H3K4me3	H2Aub	H3K27me3	H3	H3K9me1	H3K27me1
1	0.10009131961391701	0.025280039480844636	0.1367240040993191	0.019165236549570468	0.903902051829077	0.39681182413675686	0.45221333023667143	0.2029907685405771	0.0022342433099018662	0.17579389259310513	6.111585814949549E-5	8.994259189404848E-5
2	0.0026801578953450484	0.013346081618272098	0.1262555374731294	0.5692114235470362	0.9560113510062755	0.025667244624626117	0.08040607475388532	1.591984653117984E-5	0.0022472967536633667	0.19055963297988	7.673195425978562E-4	0.0016187660032338427
3	0.047519721098270774	0.6357240869934917	0.5337585201590193	0.7999338137441908	0.40790843862071596	0.18553971493205126	0.3323043385506109	0.12154292825722979	0.0562426134597011	0.14324686602224693	0.16924627023813557	0.1646108182027638
4	0.8505664722832983	0.9635152192018004	0.4386835256215488	0.5520573137580994	0.7480337900680452	0.5710711083334613	0.7064485041854465	0.07225386480870513	0.10882701789204742	0.0747862993245594	0.4088432408071007	0.28205468726579014
5	0.9516566393821019	0.5888853557965696	0.058100464641427346	0.0659128723150599	0.10706817151420138	0.24647519870812776	0.11232733883166926	0.0567231115987192	0.010876566977541118	0.023468808726168723	0.03631807094499114	0.007244426825792003
6	0.3116152510056668	0.5237937507288392	0.2715979372795196	0.22722957162388774	0.09151611788398871	0.30365871687151835	0.6071878625332994	0.9635768658360866	0.059664976907812375	0.12016077695607741	0.005072916501936529	0.035196963606945214
7	0.09938323434660186	0.544006405698077	0.21198527392654912	0.33164106958664175	0.015188990631414274	0.10773798761362968	0.7106087800550581	0.7268083389990063	0.9528978751177325	0.17896551353255094	0.03935241319581445	0.007419630329304352
8	3.2813887301024066E-4	7.312086349308157E-5	2.4846781153652737E-4	7.886329057580317E-5	5.098283389358381E-4	5.507418723670666E-4	3.8621283713752855E-4	0.0015973780779763938	0.025109592968262234	0.0014677398288271343	0.004057617226363339	0.0043315341108843925
9	0.006446805571563606	0.06462871761291673	0.024087036000814157	0.03675292390382226	0.0015549215829151384	0.009983891416375203	0.005411128102330271	0.00473858020452162	0.8824001458722565	0.17287377728094258	0.2659411709506602	0.011313519466750044
10	0.023114967739983495	0.1055031598174137	0.0195894261734447	0.03244521393902957	0.02400276465125342	0.05656941177454482	0.004464573159366287	0.0022559743565421725	0.02663320380254238	0.22868089073017459	0.43213262495925336	0.13460963335867782
11	0.0036142259955075314	0.003079448164581866	0.0026602513981904053	0.002645634532417757	4.159335688933621E-4	0.008531783103542358	9.847657928640369E-5	4.124198932246222E-208	0.009762981833442388	0.2243542647350391	0.7447298586586186	0.9446399962485518
12	3.0158892150316522E-5	1.7998099769157607E-29	1.6464080384645942E-4	2.4795767274894473E-51	1.61403619485162E-133	0.0011973676499367424	9.8346861565745E-311	1.4085105898738317E-4	0.0013004317159051055	0.07396627634313259	0.10142724639771646	0.6081099106309731
