State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.20345	2.13585	2.08322	2.05450	1.94852	1.82734	1.72621	1.58974	1.44158	1.32826	1.18348	1.08777	0.95975	0.92212	0.88906	0.95262	1.02147	1.10732	1.18620	1.25517	1.31078
2	2.20597	2.26611	2.31532	2.34543	2.37343	2.38444	2.36401	2.29841	2.15703	1.90513	1.59047	1.27750	1.02580	0.83863	0.71545	0.65754	0.63401	0.63898	0.65479	0.67704	0.70555
3	1.09047	1.11786	1.10887	1.14826	1.21911	1.33152	1.51102	1.85538	2.44126	3.26604	4.15307	4.59133	4.63798	4.27320	3.85868	3.33083	2.78746	2.37447	2.01963	1.79743	1.63718
4	1.08249	0.98532	0.87882	0.80083	0.68956	0.68949	0.72266	0.80429	0.98552	1.16776	1.23319	1.43453	1.57055	1.67354	1.75176	1.62954	1.53463	1.46348	1.30565	1.27829	1.21357
5	1.03612	1.05041	1.07176	1.08135	1.12126	1.17925	1.21511	1.28282	1.35939	1.36209	1.43155	1.47051	1.58689	1.67721	1.67122	1.62389	1.54721	1.46843	1.41520	1.34546	1.29555
6	2.00229	2.11216	2.20075	2.25603	2.31369	2.32587	2.33805	2.27922	2.08578	1.87105	1.62298	1.49332	1.46988	1.52569	1.58276	1.68387	1.74818	1.77524	1.80875	1.80910	1.79929
7	1.63144	1.65669	1.67529	1.69388	1.69169	1.68403	1.65138	1.61194	1.61734	1.61351	1.58715	1.48679	1.35863	1.26003	1.21140	1.17169	1.15182	1.15199	1.15335	1.14981	1.14354
8	0.25962	0.27009	0.27504	0.27882	0.28725	0.29249	0.29568	0.29069	0.27895	0.25116	0.23408	0.23305	0.24096	0.24980	0.26477	0.28096	0.29418	0.30419	0.31682	0.32127	0.33271
9	0.34009	0.28987	0.27888	0.26240	0.24826	0.24353	0.23960	0.25289	0.26304	0.29747	0.36348	0.49068	0.63651	0.74326	0.79276	0.84711	0.89037	0.90305	0.91490	0.91194	0.92606
10	0.54247	0.47988	0.43981	0.40312	0.38735	0.35665	0.34092	0.33231	0.33413	0.40138	0.53182	0.68407	0.85326	1.04432	1.22528	1.39114	1.53928	1.61179	1.66026	1.64896	1.61861
11	0.10878	0.09328	0.08144	0.06824	0.06550	0.06595	0.06094	0.06003	0.05684	0.05547	0.05915	0.07375	0.09561	0.12067	0.16396	0.21685	0.27702	0.34405	0.43022	0.50460	0.57206
12	0.07218	0.07401	0.06660	0.07215	0.07491	0.06843	0.06657	0.06472	0.05731	0.05546	0.05550	0.06387	0.07035	0.08795	0.10185	0.12782	0.16396	0.20938	0.23442	0.29563	0.34660
