GO.ID	q.value
GO:0044710	2.86e-27
GO:0044699	2.86e-27
GO:0044281	5.72e-24
GO:0008152	5.577e-19
GO:0044763	3.089e-18
GO:0006082	1.389e-17
GO:0019752	1.389e-17
GO:0043436	2.288e-17
GO:0044723	1.144e-15
GO:0030243	6.292e-15
GO:0005975	4.086e-14
GO:0019585	4.086e-14
GO:0052695	4.086e-14
GO:0052696	4.086e-14
GO:0032787	6.483e-14
GO:0006063	8.58e-14
GO:0051273	7.739e-13
GO:0044712	7.944e-12
GO:0030244	1.144e-11
GO:0009698	5.72e-11
GO:0005996	7.354e-11
GO:0006869	5.72e-10
GO:0009699	6.963e-10
GO:0051274	1.533e-09
GO:0071704	1.533e-09
GO:0044711	3.08e-09
GO:0006073	5.296e-09
GO:0009813	6.129e-09
GO:0005976	6.312e-09
GO:0010876	6.673e-09
GO:0044042	1.384e-08
GO:0055114	1.734e-08
GO:0033036	2.6e-08
GO:0044237	3.028e-08
GO:0044264	3.595e-08
GO:0009812	6.197e-08
GO:0016482	7.266e-08
GO:0044262	7.677e-08
GO:0044282	9.068e-08
GO:0006542	9.068e-08
GO:0031222	9.068e-08
GO:0033365	9.533e-08
GO:0072594	1.077e-07
GO:0072329	1.222e-07
GO:0045493	1.652e-07
GO:0016043	1.741e-07
GO:0071840	3.043e-07
GO:0009056	3.694e-07
GO:0044765	3.852e-07
GO:0016054	4.15e-07
GO:0046395	4.15e-07
GO:0051234	4.18e-07
GO:0006810	4.533e-07
GO:0009250	5.19e-07
GO:0031221	5.2e-07
GO:0051179	7.048e-07
GO:1902578	7.326e-07
GO:0006623	8.103e-07
GO:0072665	8.103e-07
GO:0072666	8.103e-07
GO:1901137	1.031e-06
GO:0006605	1.292e-06
GO:0071702	2.542e-06
GO:2001057	2.771e-06
GO:0009987	3.608e-06
GO:0070727	6.24e-06
GO:0007049	6.83e-06
GO:0071941	8.159e-06
GO:1902580	8.171e-06
GO:0090376	8.171e-06
GO:1902582	9.668e-06
GO:0006950	1.033e-05
GO:0002181	1.254e-05
GO:1901576	1.314e-05
GO:0090378	1.449e-05
GO:0009399	2.107e-05
GO:0000272	3.046e-05
GO:0006520	3.575e-05
GO:0042126	3.575e-05
GO:0042128	3.575e-05
GO:0009806	3.627e-05
GO:0009807	3.627e-05
GO:0033692	3.721e-05
GO:1901575	4.018e-05
GO:0022402	4.24e-05
GO:0034613	4.39e-05
GO:0034637	4.405e-05
GO:0046907	4.42e-05
GO:0006399	5.206e-05
GO:0006996	5.72e-05
GO:0019748	7.543e-05
GO:0016052	7.996e-05
GO:0034440	7.996e-05
GO:0009833	9.128e-05
GO:0006886	0.0001144
GO:0007034	0.0001192
GO:0044085	0.0001238
GO:0016042	0.0001459
GO:0071554	0.000156
GO:0022412	0.0001945
GO:0009058	0.0002467
GO:1901605	0.0002467
GO:0071705	0.0002499
GO:0019395	0.0002585
GO:0006558	0.0002752
GO:1902221	0.0002752
GO:0006559	0.0002807
GO:1902222	0.0002807
GO:0044238	0.0003044
GO:0015695	0.0004264
GO:0044283	0.0004277
GO:1901606	0.0004647
GO:0044275	0.0005018
GO:0009832	0.0005018
GO:0007017	0.0005917
GO:0000271	0.0005917
GO:0070085	0.0006356
GO:0000278	0.0006786
GO:0000003	0.0007091
GO:0009062	0.0007091
GO:0009063	0.0007091
GO:0006714	0.000797
GO:0051641	0.0008836
GO:0006892	0.0009226
GO:0050896	0.001007
GO:0030245	0.001044
GO:0009084	0.001207
GO:0009584	0.001207
GO:0051604	0.001286
GO:0034660	0.00132
GO:0009687	0.001333
GO:0043288	0.001333
GO:1902644	0.001333
GO:0045229	0.001356
GO:0015931	0.001356
GO:0006629	0.001598
GO:1901615	0.001617
GO:1901360	0.001617
GO:0051275	0.001687
GO:0000394	0.001866
GO:0015867	0.001866
GO:0071669	0.001893
GO:0071555	0.001933
GO:0016051	0.001933
GO:1901135	0.001933
GO:0006281	0.002037
GO:0051649	0.002101
GO:0042451	0.002111
GO:0046129	0.002111
GO:0009260	0.002159
GO:0046390	0.002159
GO:0006310	0.002183
GO:0090407	0.002563
GO:0006730	0.002563
GO:0006635	0.002731
GO:0009803	0.002897
GO:1903047	0.003133
GO:1903046	0.003509
GO:0044550	0.003509
GO:0006388	0.003509
GO:0006974	0.003509
GO:0009163	0.003509
GO:0042455	0.003509
GO:0006066	0.003768
GO:0008033	0.003768
GO:0009100	0.003768
GO:0044248	0.003768
GO:0006753	0.004086
GO:0006725	0.004349
GO:0000910	0.004349
GO:0044242	0.004349
GO:0043623	0.004656
GO:0000280	0.004847
GO:1901293	0.004847
GO:0009064	0.004847
GO:0006486	0.004847
GO:0043413	0.004847
GO:0009101	0.005463
GO:0017006	0.005688
GO:0044255	0.005688
GO:0009117	0.005688
GO:0009152	0.006251
GO:0072522	0.006251
GO:0006164	0.006839
GO:1901616	0.007111
GO:0006403	0.007263
GO:0007126	0.007263
GO:0042743	0.007263
GO:0009695	0.007263
GO:0009074	0.007666
GO:0015866	0.007666
GO:0019740	0.007666
GO:0006461	0.007666
GO:0009165	0.007666
GO:1902589	0.00792
GO:0006487	0.008089
GO:0070925	0.008089
GO:0033554	0.008089
GO:0044247	0.008294
GO:1901659	0.008294
GO:0051301	0.008495
GO:0016485	0.008495
GO:0006970	0.00865
GO:0016053	0.00865
GO:0046394	0.00865
GO:0009651	0.0088
GO:0055086	0.0088
GO:0009156	0.0088
GO:0000724	0.009032
GO:0000281	0.009131
GO:0050657	0.009131
GO:0050658	0.009131
GO:0051236	0.009131
GO:0071822	0.009355
GO:0032504	0.009578
GO:0070271	0.009708
GO:0010038	0.009708
GO:0000725	0.009708
GO:0010497	0.009784
GO:0061640	0.009784
GO:0015865	0.009784
GO:0015868	0.009784
GO:0033108	0.009784
GO:0051503	0.009784
GO:0006541	0.009784
GO:0006626	0.009784
GO:0070585	0.009784
GO:0072655	0.009784
GO:0065003	0.009948
GO:0042546	0.009948
GO:0044249	0.0109
GO:0051196	0.01095
GO:0080121	0.01095
GO:1901957	0.01095
GO:1901959	0.01095
GO:0046686	0.01139
GO:0007010	0.01158
GO:0043933	0.01216
GO:0050790	0.01216
GO:0022607	0.01216
GO:0015698	0.01258
GO:0006405	0.01276
GO:0048316	0.01289
GO:0006896	0.01289
GO:0042221	0.01307
GO:0016558	0.01361
GO:0072488	0.01361
GO:0006396	0.01361
GO:0072593	0.01447
GO:0009124	0.01487
GO:0000160	0.01686
GO:0034622	0.01702
GO:0044724	0.01944
GO:0034470	0.01959
GO:0098660	0.02019
GO:0009694	0.02025
GO:0098661	0.02025
GO:0019637	0.0204
GO:0090377	0.02068
GO:0006259	0.02068
GO:0042744	0.02082
GO:0043648	0.02161
GO:0060627	0.02167
GO:0009611	0.02167
GO:1901564	0.0228
GO:0030258	0.0228
GO:0032269	0.0228
GO:0009800	0.0228
GO:0016107	0.0228
GO:0043290	0.0228
GO:0046345	0.0228
GO:0051248	0.02439
GO:0051321	0.02556
GO:0042180	0.02558
GO:0048285	0.02558
GO:0006807	0.02653
GO:0051028	0.02684
GO:0015706	0.02737
GO:0045491	0.02788
GO:0009127	0.02819
GO:0009168	0.02819
GO:0009636	0.02819
GO:0015696	0.0286
GO:1902930	0.0286
GO:0010026	0.03171
GO:2000280	0.0334
GO:0010035	0.03408
GO:0048731	0.03416
GO:0006631	0.0359
GO:0010154	0.0359
GO:0065009	0.03774
GO:0009873	0.03859
GO:0046164	0.03904
GO:0019693	0.0393
GO:0055085	0.03956
GO:0010257	0.03961
GO:0006140	0.03966
GO:0006610	0.03966
GO:0010115	0.03966
GO:0032447	0.03966
GO:0048528	0.04162
GO:0010345	0.04268
GO:0006106	0.04268
GO:0006114	0.04268
GO:0006420	0.04268
GO:0008612	0.04268
GO:0010520	0.04268
GO:0015918	0.04268
GO:0016487	0.04268
GO:0019988	0.04268
GO:0032366	0.04268
GO:0045128	0.04268
GO:0045835	0.04268
GO:0051447	0.04268
GO:0060631	0.04268
GO:0080160	0.04268
GO:0080164	0.04268
GO:0080181	0.04268
GO:0097036	0.04268
GO:0006754	0.04277
GO:0010565	0.04277
GO:0006406	0.04286
GO:0071427	0.04286
GO:0006302	0.04347
GO:0009808	0.04347
GO:0098813	0.0443
GO:0010951	0.0443
GO:0052548	0.0443
GO:0009259	0.04433
GO:0006839	0.0468
GO:0009723	0.04778
GO:0048569	0.04778
GO:0006400	0.04778
GO:1901565	0.04778
GO:0071407	0.04778
GO:0006625	0.04778
GO:0045834	0.04778
GO:0046889	0.04778
GO:0072662	0.04778
GO:0072663	0.04778
GO:0010466	0.04934
GO:0052547	0.04934
