TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0009768	"photosynthesis, light harvesting in photosystem I"	-4.038483988551051	1.380211241711606	0.108067471691021	0.7376784184936244	0	null
GO:0009800	"cinnamic acid biosynthetic process"	-3.1582652210252564	0.7781512503836436	0.023492928628482828	0.5099327148674373	0.09461853	null
GO:0006559	"L-phenylalanine catabolic process"	-3.0207704069778445	1.0791812460476249	0.051684442982662226	0.48790391407767153	0.37321918	null
GO:0009056	"catabolic process"	-2.6985359268567004	3.2425414282983844	8.208429262791899	0.8199142341786856	0.14717834	null
GO:0044281	"small molecule metabolic process"	-2.2104192878355744	3.228400358703005	7.945308462152892	0.820612445555126	0.16958349	null
GO:0034033	"purine nucleoside bisphosphate biosynthetic process"	-2.159642940796644	1.6334684555795864	0.19734060047925575	0.41298201387550887	0.40237218	null
GO:0010218	"response to far red light"	-1.9340470196861304	1.6720978579357175	0.216134943382042	0.9524922820058133	0	null
GO:0044282	"small molecule catabolic process"	-1.9340470196861304	2.4265112613645754	1.2498238030352864	0.5550765990186325	0.43945919	null
GO:0009590	"detection of gravity"	-1.6948636810563606	0.6020599913279624	0.014095757177089697	0.9731746155237544	0.27925889	null
GO:1901135	"carbohydrate derivative metabolic process"	-1.6948636810563606	2.8959747323590648	3.6930883803975	0.7902119855898897	0.10398654	null
GO:0006629	"lipid metabolic process"	-1.6848696828163983	3.0530784434834195	5.304703284311422	0.7669300141126957	0.19437066	null
GO:0055085	"transmembrane transport"	-1.5803746391122568	3.142389466118836	6.516938401541136	0.9429740981035731	0.04013243	null
GO:0009058	"biosynthetic process"	-1.5671909949668317	3.6379897807846855	20.41065639242588	0.7985091329850436	0.20871117	null
GO:0019252	"starch biosynthetic process"	-1.4082677610481644	1.5563025007672873	0.16445050039937978	0.7617119286643664	0.18143399	null
GO:0008152	"metabolic process"	-1.4034029043735399	3.9872639541222354	45.62326739651365	1	0	null
