geneId	cluster
Mp1g00080	C1
Mp1g00110	C2
Mp1g00170	C2
Mp1g00220	C3
Mp1g00250	C3
Mp1g00280	C4
Mp1g00320	C5
Mp1g00440	C5
Mp1g00460	C1
Mp1g00470	C2
Mp1g00540	C6
Mp1g00570	C3
Mp1g00710	C3
Mp1g00740	C1
Mp1g00850	C6
Mp1g00890	C6
Mp1g00910	C3
Mp1g00920	C7
Mp1g00940	C3
Mp1g00960	C3
Mp1g00970	C3
Mp1g01040	C2
Mp1g01135	C3
Mp1g01170	C2
Mp1g01170	C6
Mp1g01180	C3
Mp1g01270	C1
Mp1g01270	C10
Mp1g01320	C3
Mp1g01350	C10
Mp1g01450	C3
Mp1g01550	C3
Mp1g01560	C10
Mp1g01570	C10
Mp1g01675	C6
Mp1g01810	C2
Mp1g01820	C3
Mp1g01830	C9
Mp1g01860	C6
Mp1g01870	C11
Mp1g01880	C6
Mp1g01980	C2
Mp1g01990	C3
Mp1g02000	C6
Mp1g02000	C10
Mp1g02010	C3
Mp1g02020	C2
Mp1g02040	C6
Mp1g02060	C6
Mp1g02090	C3
Mp1g02130	C7
Mp1g02140	C5
Mp1g02170	C1
Mp1g02260	C3
Mp1g02360	C9
Mp1g02450	C2
Mp1g02490	C3
Mp1g02550	C6
Mp1g02710	C6
Mp1g02780	C6
Mp1g02885	C6
Mp1g02930	C6
Mp1g02940	C2
Mp1g02950	C5
Mp1g02960	C9
Mp1g03010	C6
Mp1g03060	C3
Mp1g03130	C3
Mp1g03200	C6
Mp1g03210	C2
Mp1g03240	C11
Mp1g03260	C12
Mp1g03310	C6
Mp1g03410	C1
Mp1g03420	C3
Mp1g03560	C11
Mp1g03600	C2
Mp1g03620	C2
Mp1g03640	C9
Mp1g03730	C3
Mp1g03830	C1
Mp1g03840	C5
Mp1g03970	C6
Mp1g03980	C6
Mp1g03980	C10
Mp1g04070	C2
Mp1g04180	C3
Mp1g04340	C6
Mp1g04560	C3
Mp1g04640	C6
Mp1g04650	C6
Mp1g04680	C6
Mp1g04680	C2
Mp1g04710	C6
Mp1g04720	C6
Mp1g04760	C2
Mp1g04880	C6
Mp1g04990	C10
Mp1g05110	C2
Mp1g05210	C4
Mp1g05220	C5
Mp1g05230	C3
Mp1g05280	C3
Mp1g05330	C2
Mp1g05390	C5
Mp1g05400	C1
Mp1g05410	C3
Mp1g05450	C3
Mp1g05560	C1
Mp1g05610	C6
Mp1g05670	C6
Mp1g05730	C2
Mp1g05760	C2
Mp1g05790	C6
Mp1g05815	C1
Mp1g05970	C3
Mp1g06030	C3
Mp1g06050	C7
Mp1g06110	C3
Mp1g06120	C3
Mp1g06170	C3
Mp1g06200	C3
Mp1g06280	C9
Mp1g06480	C3
Mp1g06480	C1
Mp1g06490	C3
Mp1g06550	C6
Mp1g06660	C7
Mp1g06840	C6
Mp1g06880	C6
Mp1g06930	C6
Mp1g06970	C3
Mp1g07000	C3
Mp1g07020	C3
Mp1g07050	C6
Mp1g07190	C3
Mp1g07300	C6
Mp1g07320	C1
Mp1g07330	C2
Mp1g07370	C6
Mp1g07380	C6
Mp1g07645	C6
Mp1g07660	C3
Mp1g07730	C4
Mp1g07760	C6
Mp1g07780	C10
Mp1g07860	C6
Mp1g07920	C7
Mp1g07950	C7
Mp1g07960	C1
Mp1g08330	C1
