ArrayTaskID	sample	output
1	SRR13377316	/RAID1/working/R425/lavakau/chromatin/data1
2	SRR13377317	/RAID1/working/R425/lavakau/chromatin/data1
3	SRR13377324	/RAID1/working/R425/lavakau/chromatin/data1
4	SRR13377325	/RAID1/working/R425/lavakau/chromatin/data1
5	SRR13377332	/RAID1/working/R425/lavakau/chromatin/data1
6	SRR13377333	/RAID1/working/R425/lavakau/chromatin/data1
7	SRR9974605	/RAID1/working/R425/lavakau/chromatin/data2
8	SRR9974606	/RAID1/working/R425/lavakau/chromatin/data2
9	SRR9974607	/RAID1/working/R425/lavakau/chromatin/data2
10	SRR9974608	/RAID1/working/R425/lavakau/chromatin/data2
11	SRR9974609	/RAID1/working/R425/lavakau/chromatin/data2
12	SRR9974610	/RAID1/working/R425/lavakau/chromatin/data2
13	SRR9974611	/RAID1/working/R425/lavakau/chromatin/data2
14	SRR9974612	/RAID1/working/R425/lavakau/chromatin/data2
15	SRR9974613	/RAID1/working/R425/lavakau/chromatin/data2
16	SRR9974614	/RAID1/working/R425/lavakau/chromatin/data2
17	SRR9974615	/RAID1/working/R425/lavakau/chromatin/data2
18	SRR9974616	/RAID1/working/R425/lavakau/chromatin/data2
19	SRR9974617	/RAID1/working/R425/lavakau/chromatin/data2
20	SRR9974618	/RAID1/working/R425/lavakau/chromatin/data2
21	SRR9974621	/RAID1/working/R425/lavakau/chromatin/data2
22	SRR9974622	/RAID1/working/R425/lavakau/chromatin/data2
23	SRR9974623	/RAID1/working/R425/lavakau/chromatin/data2
24	SRR9974624	/RAID1/working/R425/lavakau/chromatin/data2
25	SRR9974631	/RAID1/working/R425/lavakau/chromatin/data2
26	SRR9974632	/RAID1/working/R425/lavakau/chromatin/data2
27	SRR9974633	/RAID1/working/R425/lavakau/chromatin/data2
28	SRR9974634	/RAID1/working/R425/lavakau/chromatin/data2
