distanceToTSS (log10)	group
1.16681479879091	hsfa CK
1.1796666686905	hsfa CK
1.24363324450614	hsfa CK
1.5492730787186	hsfa CK
-1.54779931061045	hsfa CK
-0.0386201619497028	hsfa CK
-0.291590825658001	hsfa CK
0	hsfa CK
0.804275767129094	hsfa CK
0	hsfa CK
0	hsfa CK
0.528273777167044	hsfa CK
0	hsfa CK
0.146128035678238	hsfa CK
0.0740846890282438	hsfa CK
0.261976191397813	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
-0.351409751925439	hsfa CK
0	hsfa CK
0.861892690391446	hsfa CK
0.348304863048161	hsfa CK
0.247236549506764	hsfa CK
0	hsfa CK
0.88930170250631	hsfa CK
0.865103974641128	hsfa CK
0.838660225988942	hsfa CK
0	hsfa CK
-0.484299839346786	hsfa CK
0	hsfa CK
-0.230193378869046	hsfa CK
-0.0338256939533103	hsfa CK
0.383994789441733	hsfa CK
0.652536418593025	hsfa CK
0	hsfa CK
0.990027898770295	hsfa CK
1.01978073040365	hsfa CK
1.04237859813988	hsfa CK
1.05640932064992	hsfa CK
-1.05227059665675	hsfa CK
-1.02489596010748	hsfa CK
-1.0011710149414	hsfa CK
-0.729731595287035	hsfa CK
-0.489958479424835	hsfa CK
-0.443732241401597	hsfa CK
0	hsfa CK
0	hsfa CK
0.3386556655787	hsfa CK
0.386142108930818	hsfa CK
-0.230704313612569	hsfa CK
0	hsfa CK
0.00860017176191757	hsfa CK
0.337259539750276	hsfa CK
0	hsfa CK
0.440594261839831	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
-0.15503222879097	hsfa CK
-0.301029995663981	hsfa CK
0.00432137378264258	hsfa CK
-0.257198426139345	hsfa CK
0	hsfa CK
-0.123524980942732	hsfa CK
0.198106998873401	hsfa CK
0.60336092434838	hsfa CK
0	hsfa CK
-0.242292904982931	hsfa CK
-0.0386201619497028	hsfa CK
0	hsfa CK
0	hsfa CK
-0.156851901070011	hsfa CK
0.724357804226426	hsfa CK
0.351796306897024	hsfa CK
0	hsfa CK
-0.189209489582306	hsfa CK
-0.000867721531226913	hsfa CK
-0.0182843084265308	hsfa CK
0.817367016287594	hsfa CK
-0.778802204013239	hsfa CK
0	hsfa CK
0	hsfa CK
-0.470998169660874	hsfa CK
-0.3236645356081	hsfa CK
-0.0170333392987804	hsfa CK
0.564547711755948	hsfa CK
0	hsfa CK
0	hsfa CK
0.499687082618404	hsfa CK
-0.209783014848515	hsfa CK
0	hsfa CK
0	hsfa CK
0.809425028797034	hsfa CK
0.824581376233483	hsfa CK
-0.218797998111738	hsfa CK
0.75823040845775	hsfa CK
0	hsfa CK
-0.160768561861128	hsfa CK
-0.6036855496147	hsfa CK
-0.3654879848909	hsfa CK
-0.130976691605617	hsfa CK
0	hsfa CK
0.15956719323362	hsfa CK
0.605843539058089	hsfa CK
0.681783766467881	hsfa CK
-0.52244423350632	hsfa CK
-0.391464411839103	hsfa CK
-0.314077991779213	hsfa CK
0	hsfa CK
-0.130976691605617	hsfa CK
0	hsfa CK
0	hsfa CK
-0.0232524596337114	hsfa CK
0.0441476208787228	hsfa CK
-0.20682587603185	hsfa CK
-0.024895960107485	hsfa CK
0.0149403497929365	hsfa CK
0.145196406114182	hsfa CK
-0.212986184736668	hsfa CK
-0.397940008672038	hsfa CK
0	hsfa CK
0	hsfa CK
0.727947709544797	hsfa CK
0.840168849240756	hsfa CK
-0.600428325732131	hsfa CK
-0.526597709103452	hsfa CK
-0.492620722043192	hsfa CK
-0.00518051250378031	hsfa CK
0.572523097849638	hsfa CK
0.713238461545662	hsfa CK
0.614475366090395	hsfa CK
