distanceToTSS (log10)	group
1.16681479879091	hsfb CK
1.17983892802319	hsfb CK
-1.54779931061045	hsfb CK
-0.0386201619497028	hsfb CK
-0.256236533205923	hsfb CK
0	hsfb CK
0.803866634284984	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.525692524505011	hsfb CK
0	hsfb CK
0.137986732723532	hsfb CK
-0.0989896394011773	hsfb CK
0	hsfb CK
0	hsfb CK
0.701999474889637	hsfb CK
0	hsfb CK
-0.353916230920363	hsfb CK
0	hsfb CK
0.86302529622947	hsfb CK
0.34143452457814	hsfb CK
0.238798562713917	hsfb CK
0	hsfb CK
0.912009375586978	hsfb CK
0.881099218389017	hsfb CK
0.865103974641128	hsfb CK
0.836134149465375	hsfb CK
0	hsfb CK
0	hsfb CK
-0.330616667294438	hsfb CK
-0.251394850040104	hsfb CK
-0.00302947055361796	hsfb CK
0.38327665040765	hsfb CK
0	hsfb CK
0.988425170006303	hsfb CK
1.00393420617371	hsfb CK
1.01874209576238	hsfb CK
1.0407605242287	hsfb CK
1.05629488707623	hsfb CK
-1.05227059665675	hsfb CK
-1.00112770027703	hsfb CK
-0.729407796963068	hsfb CK
-0.468937805665461	hsfb CK
0	hsfb CK
-0.314499227973151	hsfb CK
0	hsfb CK
0.15836249209525	hsfb CK
0.299942900022767	hsfb CK
-0.234770295160917	hsfb CK
0	hsfb CK
0.0711452904510828	hsfb CK
0.00302947055361796	hsfb CK
0.337259539750276	hsfb CK
0	hsfb CK
0.447778009294621	hsfb CK
0	hsfb CK
-0.331629717629932	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-0.0899051114393979	hsfb CK
-0.491361693834273	hsfb CK
0.00475115559100102	hsfb CK
-0.255272505103306	hsfb CK
0	hsfb CK
-0.119255889277937	hsfb CK
0.193681029541282	hsfb CK
0.606918525948291	hsfb CK
0	hsfb CK
-0.240049772112648	hsfb CK
-0.0157787563890409	hsfb CK
0	hsfb CK
0	hsfb CK
-0.161966616364075	hsfb CK
0.725421550074259	hsfb CK
0.671728088239558	hsfb CK
0.352761191723831	hsfb CK
0	hsfb CK
-0.189770956346874	hsfb CK
0	hsfb CK
0	hsfb CK
0.812244696800369	hsfb CK
-0.773859552376687	hsfb CK
0	hsfb CK
0.738384123512156	hsfb CK
0.77981286317058	hsfb CK
0.57217431361306	hsfb CK
0	hsfb CK
-0.470704429722788	hsfb CK
-0.238297067875394	hsfb CK
0	hsfb CK
0.563955464995813	hsfb CK
0	hsfb CK
0	hsfb CK
0.483301952358167	hsfb CK
0	hsfb CK
-0.207903530386052	hsfb CK
0	hsfb CK
0	hsfb CK
0.813314058945835	hsfb CK
0	hsfb CK
0.761551988564182	hsfb CK
0	hsfb CK
-0.103119253545714	hsfb CK
-0.602059991327962	hsfb CK
-0.364175632770619	hsfb CK
-0.129367595722986	hsfb CK
0	hsfb CK
0.0655797147284484	hsfb CK
0.315760490665735	hsfb CK
0.605197267388378	hsfb CK
0.637689819118401	hsfb CK
-0.391288048595297	hsfb CK
-0.270445908017963	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-0.19534605834842	hsfb CK
-0.024895960107485	hsfb CK
0.0157787563890409	hsfb CK
0.150756439860309	hsfb CK
0.316180098893453	hsfb CK
-0.208441356438567	hsfb CK
-0.395326393069351	hsfb CK
0	hsfb CK
0	hsfb CK
0.727703883685354	hsfb CK
0.833274639290563	hsfb CK
0.864095573424247	hsfb CK
-0.600428325732131	hsfb CK
-0.52750101098112	hsfb CK
