output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C14_C3H_1-C9_C3H_1	NA	C14_C3H_1-C9_C3H_1	C_	226	13.91895	32	15.00972	32	-0.03636	1.01461e-06	True
_C2_NAC_19-C4_NAC_22	NA	C2_NAC_19-C4_NAC_22	C_	218	8.97243	19	7.34382	16	0.34734	7.5249e-75	True
_C1_MYB_2	NA	C1_MYB_2	C_	164	13.92253	23	12.29639	22	0.00165	0.231663	True
_C2_MYB_31	NA	C2_MYB_31	C_	212	15.77045	31	13.15436	25	0.00496	0.0453354	True
_C1_MYBrelated_8-C10_MYBrelated_6-C9_MYBrelated_6	NA	C1_MYBrelated_8-C10_MYBrelated_6-C9_MYBrelated_6	C_	153	12.53941	17	11.48203	16	0.00174	0.696759	True
_C10_LOBAS2_15	NA	C10_LOBAS2_15	C_	187	12.12613	24	10.3193	21	-0.01649	0.0100509	True
_C10_CAMTA_5-C2_CAMTA_4-C6_CAMTA_7-C9_CAMTA_2	NA	C10_CAMTA_5-C2_CAMTA_4-C6_CAMTA_7-C9_CAMTA_2	C_	103	11.62485	9	9.31868	11	0.37712	6.71147e-59	True
_C9_WRKY_4	NA	C9_WRKY_4	C_	144	9.34113	10	8.9223	11	0.00878	0.193859	True
_C2_MYB_44-C4_MYB_36-C9_MYB_19	NA	C2_MYB_44-C4_MYB_36-C9_MYB_19	C_	127	11.30462	13	10.92185	13	-0.10153	8.4774e-17	True
_C2_NAC_59	NA	C2_NAC_59	C_	819	11.21817	63	9.90159	64	0.21113	1.91722e-85	True
_C6_C3H_4	NA	C6_C3H_4	C_	504	8.40664	30	6.80108	28	0.30807	2.09934e-81	True
_C3_FAR1_26	NA	C3_FAR1_26	C_	121	11.94686	11	9.00148	10	0.37889	2.06047e-67	True
_C2_C2C2dof_3-C6_C2C2dof_2	NA	C2_C2C2dof_3-C6_C2C2dof_2	C_	667	9.31387	47	7.9695	43	0.22414	1.11502e-81	True
_C10_GeBP_2	NA	C10_GeBP_2	C_	554	14.40826	71	11.79863	66	0.2615	3.32e-81	True
_C4_TCP_24-C9_TCP_15	NA	C4_TCP_24-C9_TCP_15	C_	318	8.56221	19	8.49099	17	-0.01045	0.0357786	True
_C2_LOBAS2_11-C4_LOBAS2_4-C9_LOBAS2_5	NA	C2_LOBAS2_11-C4_LOBAS2_4-C9_LOBAS2_5	C_	659	8.71737	41	7.3459	40	0.22913	1.54083e-81	True
