output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C4_MYB_16	NA	C4_MYB_16	C_	163	12.21691	19	11.74988	21	-0.09617	1.20695e-17	True
_C6_NAC_1	NA	C6_NAC_1	C_	897	9.97648	69	8.92926	66	0.14923	3.52088e-70	True
_C4_Trihelix_10-C6_Trihelix_16	NA	C4_Trihelix_10-C6_Trihelix_16	C_	247	10.71492	15	9.28964	16	0.29774	1.29044e-68	True
_C6_Trihelix_29	NA	C6_Trihelix_29	C_	232	10.26622	19	10.17623	18	-0.05289	5.08881e-13	True
_C10_LOBAS2_15	NA	C10_LOBAS2_15	C_	187	11.463	21	10.34044	19	-0.09834	5.44125e-23	True
_C10_CAMTA_5-C2_CAMTA_4-C6_CAMTA_7-C9_CAMTA_2	NA	C10_CAMTA_5-C2_CAMTA_4-C6_CAMTA_7-C9_CAMTA_2	C_	103	11.34386	9	9.43481	8	0.29401	6.0378e-49	True
_C2_MYB_44-C4_MYB_36-C9_MYB_19	NA	C2_MYB_44-C4_MYB_36-C9_MYB_19	C_	127	11.86035	12	11.04826	13	-0.17038	2.60135e-31	True
_C2_NAC_59	NA	C2_NAC_59	C_	819	11.41041	58	10.04016	61	0.18965	4.50238e-81	True
_C6_C3H_4	NA	C6_C3H_4	C_	504	8.3251	28	6.95355	26	0.25333	5.72994e-73	True
_C2_AP2EREBP_129-C4_AP2EREBP_100-C6_AP2EREBP_158	NA	C2_AP2EREBP_129-C4_AP2EREBP_100-C6_AP2EREBP_158	C_	163	8.57361	13	7.99	12	-0.03614	0.000463975	True
_C3_FAR1_26	NA	C3_FAR1_26	C_	121	11.79309	10	9.23137	10	0.27321	1.38919e-54	True
_C3_CAMTA_1	NA	C3_CAMTA_1	C_	182	12.9597	21	11.28661	20	0.30837	9.95218e-70	True
_C6_EIL_9	NA	C6_EIL_9	C_	490	9.8469	37	8.31741	34	0.22775	5.92212e-73	True
_C4_TCP_24-C9_TCP_15	NA	C4_TCP_24-C9_TCP_15	C_	318	8.96644	16	8.54993	16	-0.0656	5.10171e-22	True
_C10_C3H_3-C13_C3H_1-C4_C3H_2	NA	C10_C3H_3-C13_C3H_1-C4_C3H_2	C_	155	8.61763	10	8.84446	10	-0.23251	4.64322e-50	True
_C2_AP2EREBP_36	NA	C2_AP2EREBP_36	C_	216	18.346	36	17.05175	33	-0.06031	3.13471e-12	True
_C2_WRKY_7	NA	C2_WRKY_7	C_	856	7.4792	35	6.17574	33	0.19539	6.21804e-83	True
_C9_BZR_3	NA	C9_BZR_3	C_	281	6.21239	7	4.74631	8	0.30636	4.54502e-70	True
_C2_BZR_17-C6_BZR_19	NA	C2_BZR_17-C6_BZR_19	C_	501	7.74817	29	6.44924	26	0.23315	7.44379e-74	True
