output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C6_C2H2_48	NA	C6_C2H2_48	C_	64	6.65049	47	5.7986	41	0.13889	5.28104e-19	True
_C6_WRKY_2	NA	C6_WRKY_2	C_	91	15.25916	56	11.48501	54	0.14165	1.58275e-22	True
_C2_MYB_1-C4_MYB_1	NA	C2_MYB_1-C4_MYB_1	C_	315	9.89004	205	9.26709	182	0.19619	1.4603e-58	True
_C6_HSF_15	NA	C6_HSF_15	C_	101	7.05809	63	5.71349	54	0.31167	1.13082e-52	True
_C2_bHLH_20-C5_bHLH_21	NA	C2_bHLH_20-C5_bHLH_21	C_	734	8.4403	465	7.65833	386	0.15464	9.83838e-65	True
_C2_C2C2YABBY_5	NA	C2_C2C2YABBY_5	C_	152	14.61097	100	11.15763	77	0.19651	2.33429e-42	True
_C3_FAR1_26	NA	C3_FAR1_26	C_	58	4.30538	28	5.43259	39	-0.36605	3.81974e-50	True
_C6_CAMTA_12	NA	C6_CAMTA_12	C_	91	15.84577	64	12.00581	50	0.27284	2.02165e-43	True
_C2_bZIP_21-C5_bZIP_25-C6_bZIP_25	NA	C2_bZIP_21-C5_bZIP_25-C6_bZIP_25	C_	857	9.99117	530	8.54675	478	0.11134	4.0989e-60	True
_C6_bZIP_30	NA	C6_bZIP_30	C_	206	12.41581	135	9.47174	104	0.30306	2.24946e-68	True
_C6_Trihelix_27	NA	C6_Trihelix_27	C_	490	14.51124	318	11.61358	266	0.18198	1.20207e-63	True
_C10_LOBAS2_6	NA	C10_LOBAS2_6	C_	109	4.94805	63	5.94803	72	-0.25097	8.75298e-51	True
_C4_ZFHD_4-C5_ZFHD_2-C6_ZFHD_1	NA	C4_ZFHD_4-C5_ZFHD_2-C6_ZFHD_1	C_	396	6.66026	216	7.22944	247	-0.22007	1.23855e-61	True
_C5_AP2EREBP_195	NA	C5_AP2EREBP_195	C_	118	6.1337	61	6.69598	76	-0.25417	1.10911e-48	True
_C5_ZFHD_4	NA	C5_ZFHD_4	C_	98	10.87636	50	11.34499	62	-0.34526	7.15828e-56	True
_C2_AP2EREBP_17	NA	C2_AP2EREBP_17	C_	169	10.60738	107	9.76563	84	0.22213	9.99607e-46	True
_C9_BZR_3	NA	C9_BZR_3	C_	615	6.0922	412	5.51156	356	0.14815	7.00159e-60	True
_C2_AP2EREBP_183-C4_AP2EREBP_131-C6_AP2EREBP_214	NA	C2_AP2EREBP_183-C4_AP2EREBP_131-C6_AP2EREBP_214	C_	667	8.81735	461	7.32553	386	0.19912	8.50403e-77	True
_C2_BZR_17-C6_BZR_19	NA	C2_BZR_17-C6_BZR_19	C_	129	18.55794	90	13.46658	70	0.33665	5.44089e-62	True
_C2_AP2EREBP_96	NA	C2_AP2EREBP_96	C_	161	6.7213	108	6.58016	84	0.20277	5.02018e-44	True
_C5_MYBrelated_10-C6_MYBrelated_3	NA	C5_MYBrelated_10-C6_MYBrelated_3	C_	355	6.89668	229	6.25501	202	0.14649	1.86771e-48	True
_C6_C2H2_19	NA	C6_C2H2_19	C_	516	9.99708	352	8.25094	274	0.26705	1.84061e-76	True
_C6_C2H2_24	NA	C6_C2H2_24	C_	138	12.86529	98	10.40998	76	0.27351	8.19963e-56	True
_C6_FHA_6	NA	C6_FHA_6	C_	155	6.94926	98	6.24987	81	0.19883	1.68836e-42	True
_C2_NAC_26-C6_NAC_38	NA	C2_NAC_26-C6_NAC_38	C_6-C2_NAC_27-C3_NAC_11-C4_NAC_25-C6_NAC_39-C7_NAC_4	103	5.96219	74	5.15144	62	0.26576	4.90557e-45	True
_C6_NAC_14	NA	C6_NAC_14	C_	118	8.04863	82	7.21368	66	0.2166	4.93532e-42	True
_C10_CAMTA_4	NA	C10_CAMTA_4	C_	110	5.40664	74	4.64965	60	0.2009	1.39732e-31	True
_C2_BZR_18-C5_BZR_15	NA	C2_BZR_18-C5_BZR_15	C_	152	5.72002	103	5.78151	88	0.15333	7.95834e-34	True
_C13_C2C2YABBY_5-C6_C2C2YABBY_17	NA	C13_C2C2YABBY_5-C6_C2C2YABBY_17	C_	691	6.64267	473	5.96671	409	0.17488	2.72794e-65	True
_C5_bHLH_55	NA	C5_bHLH_55	C_	140	9.36814	98	7.86865	81	0.15306	1.65536e-39	True
_C3_bHLH_41	NA	C3_bHLH_41	C_	63	8.47805	36	10.15791	48	-0.40533	3.08208e-50	True
_C4_BBRBPC_5	NA	C4_BBRBPC_5	C_	246	6.44996	144	5.82997	131	0.15213	1.39344e-39	True
_C2_bZIP_7-C4_bZIP_8-C5_bZIP_8-C6_bZIP_9	NA	C2_bZIP_7-C4_bZIP_8-C5_bZIP_8-C6_bZIP_9	C_	735	8.22772	478	7.01979	396	0.20706	1.71891e-82	True
_C4_bZIP_35-C5_bZIP_48-C6_bZIP_56	NA	C4_bZIP_35-C5_bZIP_48-C6_bZIP_56	C_	212	5.86675	144	5.3374	117	0.14777	2.60211e-39	True
_C10_bZIP_68-C2_bZIP_71-C4_bZIP_55-C5_bZIP_74-C6_bZIP_82-C9_bZIP_35	NA	C10_bZIP_68-C2_bZIP_71-C4_bZIP_55-C5_bZIP_74-C6_bZIP_82-C9_bZIP_35	C_	526	10.99937	347	9.16467	291	0.18009	1.03714e-66	True
_C10_NAC_48	NA	C10_NAC_48	C_	108	6.37634	75	6.00835	63	0.19079	3.44836e-35	True
_C3_NAC_30	NA	C3_NAC_30	C_	109	6.84334	79	6.02704	71	0.15529	2.83618e-29	True
_C6_SBP_8	NA	C6_SBP_8	C_	209	6.7064	151	5.67436	129	0.25832	2.51574e-59	True
_C2_AP2EREBP_176-C6_AP2EREBP_208	NA	C2_AP2EREBP_176-C6_AP2EREBP_208	C_	179	6.0772	125	5.83678	112	0.14912	5.91452e-39	True
_C4_C2H2_54-C5_C2H2_79-C6_C2H2_75-C9_C2H2_37	NA	C4_C2H2_54-C5_C2H2_79-C6_C2H2_75-C9_C2H2_37	C_	802	8.54058	559	7.37497	480	0.16654	4.27017e-70	True
_C4_C2C2dof_5-C6_C2C2dof_3	NA	C4_C2C2dof_5-C6_C2C2dof_3	C_	211	12.12018	158	9.83326	130	0.22773	3.79134e-57	True
_C5_MYB_23	NA	C5_MYB_23	C_	209	6.084	129	5.55132	121	0.15243	9.97806e-39	True
_C2_AP2EREBP_83	NA	C2_AP2EREBP_83	C_	158	5.48182	94	5.18277	79	0.14353	1.68908e-31	True
_C4_C2H2_42	NA	C4_C2H2_42	C_	277	5.75749	177	5.37436	148	0.14441	1.83986e-41	True
_C13_TCP_9	NA	C13_TCP_9	C_	610	9.28769	429	8.653	336	0.16329	9.23954e-64	True
_C3_HMG_3	NA	C3_HMG_3	C_	58	5.56202	35	7.38771	42	-0.33735	5.10887e-47	True
_C10_bHLH_2-C2_bHLH_3-C3_bHLH_1	NA	C10_bHLH_2-C2_bHLH_3-C3_bHLH_1	C_	195	6.77503	145	8.88632	160	-0.31513	1.23413e-64	True
_C6_bHLH_2	NA	C6_bHLH_2	C_	39	15.39388	29	12.68365	19	0.42076	1.21153e-45	True
_C6_TCP_40	NA	C6_TCP_40	C_	432	10.31221	291	8.88702	263	0.17359	4.27915e-60	True
_C10_Trihelix_21-C2_Trihelix_20-C3_Trihelix_15-C4_Trihelix_18-C5_Trihelix_19-C9_Trihelix_14	NA	C10_Trihelix_21-C2_Trihelix_20-C3_Trihelix_15-C4_Trihelix_18-C5_Trihelix_19-C9_Trihelix_14	C_	440	8.94477	275	8.99733	297	-0.16034	3.22439e-60	True
_C10_DBP_10-C2_DBP_11	NA	C10_DBP_10-C2_DBP_11	C_	98	6.35443	71	7.53091	76	-0.25274	6.52848e-44	True
_C6_bHLH_58	NA	C6_bHLH_58	C_	67	7.26267	46	6.51846	37	0.3004	1.21186e-42	True
_C3_WRKY_13	NA	C3_WRKY_13	C_	69	15.00342	46	12.15521	37	0.14576	3.09289e-21	True
_C5_Trihelix_27	NA	C5_Trihelix_27	C_	143	7.70937	96	7.75855	82	0.18044	1.11224e-36	True
_C2_AP2EREBP_85	NA	C2_AP2EREBP_85	C_	108	6.93566	81	6.50079	63	0.20965	3.29863e-38	True
_C6_ABI3VP1_26	NA	C6_ABI3VP1_26	C_	116	12.65628	76	9.71486	64	0.2035	1.86566e-40	True
