output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C1_WRKY_1	NA	C1_WRKY_1	C_	66	23.3715	41	19.91206	43	-0.28256	9.59729e-47	True
_C2_MYB_1-C4_MYB_1	NA	C2_MYB_1-C4_MYB_1	C_	315	9.92708	239	8.39685	172	0.22746	1.97315e-64	True
_C2_EIL_1	NA	C2_EIL_1	C_	119	5.98959	86	4.98047	66	0.18258	2.03232e-39	True
_C6_HSF_15	NA	C6_HSF_15	C_	101	6.52042	71	5.40232	53	0.1818	5.65907e-32	True
_C10_NAC_24	NA	C10_NAC_24	C_	45	3.84081	27	4.09979	29	-0.21352	3.12834e-21	True
_C2_bHLH_20-C5_bHLH_21	NA	C2_bHLH_20-C5_bHLH_21	C_	734	8.57757	527	7.19023	375	0.19336	5.87515e-74	True
_C2_C2C2YABBY_5	NA	C2_C2C2YABBY_5	C_	152	16.19903	114	12.80829	77	0.21223	3.72455e-45	True
_C2_NAC_47	NA	C2_NAC_47	C_	55	9.89356	40	9.28193	30	0.2559	2.53432e-28	True
_C2_AP2EREBP_152	NA	C2_AP2EREBP_152	C_	47	4.81985	33	3.86753	21	0.23192	1.43743e-30	True
_C2_bZIP_21-C5_bZIP_25-C6_bZIP_25	NA	C2_bZIP_21-C5_bZIP_25-C6_bZIP_25	C_	857	10.62506	618	8.87272	468	0.15494	1.75684e-73	True
_C6_bZIP_30	NA	C6_bZIP_30	C_	206	13.8828	160	10.83188	107	0.34745	4.31642e-74	True
_C6_Trihelix_27	NA	C6_Trihelix_27	C_	490	15.89462	370	12.79541	252	0.21719	5.69517e-71	True
_C5_AP2EREBP_195	NA	C5_AP2EREBP_195	C_	118	5.96397	74	5.57101	73	-0.22647	2.25868e-44	True
_C5_ZFHD_4	NA	C5_ZFHD_4	C_	98	11.75659	58	11.04627	62	-0.25302	5.94139e-44	True
_C2_AP2EREBP_17	NA	C2_AP2EREBP_17	C_	169	11.67689	123	10.0508	86	0.1881	9.04544e-40	True
_C2_Trihelix_38-C9_Trihelix_23	NA	C2_Trihelix_38-C9_Trihelix_23	C_	515	6.95763	380	6.22097	269	0.18903	6.1674e-66	True
_C2_WRKY_7	NA	C2_WRKY_7	C_	190	4.41099	139	3.34866	87	0.28875	9.42041e-64	True
_C9_WRKY_8	NA	C9_WRKY_8	C_	103	8.50618	82	7.58096	63	0.20159	7.01454e-35	True
_C9_BZR_3	NA	C9_BZR_3	C_	615	5.46997	436	4.47358	318	0.16326	8.18743e-64	True
_C2_AP2EREBP_183-C4_AP2EREBP_131-C6_AP2EREBP_214	NA	C2_AP2EREBP_183-C4_AP2EREBP_131-C6_AP2EREBP_214	C_	667	8.66891	482	7.09362	374	0.16414	6.34065e-69	True
_C2_BZR_17-C6_BZR_19	NA	C2_BZR_17-C6_BZR_19	C_	129	20.15816	98	15.84783	73	0.33443	1.00921e-61	True
_C2_AP2EREBP_96	NA	C2_AP2EREBP_96	C_	161	6.3382	121	5.3888	94	0.20572	1.39785e-44	True
_C6_C2H2_19	NA	C6_C2H2_19	C_	516	10.41345	373	8.56064	260	0.19247	4.07745e-63	True
_C6_C2H2_24	NA	C6_C2H2_24	C_	138	14.25484	103	11.06105	71	0.22613	4.7085e-48	True
_C2_NAC_26-C6_NAC_38	NA	C2_NAC_26-C6_NAC_38	C_6-C2_NAC_27-C3_NAC_11-C4_NAC_25-C6_NAC_39-C7_NAC_4	103	4.83601	78	3.74637	58	0.16706	1.43169e-28	True
_C10_C2H2_25-C2_C2H2_27-C5_C2H2_33	NA	C10_C2H2_25-C2_C2H2_27-C5_C2H2_33	C_	700	6.57435	489	5.54007	369	0.12936	7.92089e-57	True
_C13_C2C2YABBY_5-C6_C2C2YABBY_17	NA	C13_C2C2YABBY_5-C6_C2C2YABBY_17	C_	691	6.35676	509	5.11085	379	0.18007	1.75161e-66	True
_C5_bHLH_55	NA	C5_bHLH_55	C_	140	9.92994	103	7.63331	77	0.19289	1.41185e-47	True
_C3_bHLH_41	NA	C3_bHLH_41	C_	63	7.88708	43	6.53696	47	-0.20493	1.59699e-27	True
_C9_Trihelix_24	NA	C9_Trihelix_24	C_	145	4.56756	107	3.53971	77	0.22515	4.02692e-52	True
_C2_bZIP_7-C4_bZIP_8-C5_bZIP_8-C6_bZIP_9	NA	C2_bZIP_7-C4_bZIP_8-C5_bZIP_8-C6_bZIP_9	C_	735	8.198	525	6.85105	396	0.16344	1.03691e-72	True
_C10_NAC_48	NA	C10_NAC_48	C_	108	5.86661	87	4.77513	57	0.23483	5.36233e-42	True
_C4_C2H2_54-C5_C2H2_79-C6_C2H2_75-C9_C2H2_37	NA	C4_C2H2_54-C5_C2H2_79-C6_C2H2_75-C9_C2H2_37	C_	802	8.56052	594	6.73807	454	0.17817	7.40446e-73	True
