bin	tar	beg	group	zscore	kmer_family
100	1.02	1.04	zscore_tar	-0.787104763929408	BES1
125	1.02	1.03	zscore_tar	-0.787104763929408	BES1
150	1.02	1.04	zscore_tar	-0.787104763929408	BES1
175	1.03	1.06	zscore_tar	-0.403643468681748	BES1
200	1.02	1.04	zscore_tar	-0.787104763929408	BES1
225	1.01	1.03	zscore_tar	-1.17056605917707	BES1
250	1.03	1.04	zscore_tar	-0.403643468681748	BES1
275	1.02	1.02	zscore_tar	-0.787104763929408	BES1
300	1.02	1.02	zscore_tar	-0.787104763929408	BES1
325	1.02	1.05	zscore_tar	-0.787104763929408	BES1
350	1	1.03	zscore_tar	-1.55402735442473	BES1
375	1.01	1.05	zscore_tar	-1.17056605917707	BES1
400	1.02	1.07	zscore_tar	-0.787104763929408	BES1
425	1.03	1.06	zscore_tar	-0.403643468681748	BES1
450	1.03	1.06	zscore_tar	-0.403643468681748	BES1
475	1.02	1.04	zscore_tar	-0.787104763929408	BES1
500	1.03	1.04	zscore_tar	-0.403643468681748	BES1
525	1.02	1.02	zscore_tar	-0.787104763929408	BES1
550	1.02	1.02	zscore_tar	-0.787104763929408	BES1
575	1.02	1.02	zscore_tar	-0.787104763929408	BES1
600	1	1	zscore_tar	-1.55402735442473	BES1
625	1	1	zscore_tar	-1.55402735442473	BES1
650	1.02	1.03	zscore_tar	-0.787104763929408	BES1
675	1.05	1.09	zscore_tar	0.363279121813571	BES1
700	1.07	1.11	zscore_tar	1.13020171230889	BES1
725	1.08	1.13	zscore_tar	1.51366300755655	BES1
750	1.06	1.11	zscore_tar	0.746740417061231	BES1
775	1.04	1.07	zscore_tar	-0.0201821734340882	BES1
800	1.04	1.09	zscore_tar	-0.0201821734340882	BES1
825	1.04	1.1	zscore_tar	-0.0201821734340882	BES1
850	1.06	1.13	zscore_tar	0.746740417061231	BES1
875	1.05	1.13	zscore_tar	0.363279121813571	BES1
900	1.04	1.11	zscore_tar	-0.0201821734340882	BES1
925	1.05	1.15	zscore_tar	0.363279121813571	BES1
950	1.03	1.14	zscore_tar	-0.403643468681748	BES1
975	1.04	1.16	zscore_tar	-0.0201821734340882	BES1
1000	1.04	1.22	zscore_tar	-0.0201821734340882	BES1
1025	1.03	1.22	zscore_tar	-0.403643468681748	BES1
1050	1.05	1.27	zscore_tar	0.363279121813571	BES1
1075	1.05	1.27	zscore_tar	0.363279121813571	BES1
1100	1.07	1.29	zscore_tar	1.13020171230889	BES1
1125	1.07	1.27	zscore_tar	1.13020171230889	BES1
1150	1.07	1.24	zscore_tar	1.13020171230889	BES1
1175	1.08	1.25	zscore_tar	1.51366300755655	BES1
1200	1.06	1.16	zscore_tar	0.746740417061231	BES1
1225	1.05	1.11	zscore_tar	0.363279121813571	BES1
1250	1.04	1.07	zscore_tar	-0.0201821734340882	BES1
1275	1.07	1.07	zscore_tar	1.13020171230888	BES1
1300	1.08	1.09	zscore_tar	1.51366300755655	BES1
1325	1.11	1.12	zscore_tar	2.66404689329952	BES1
1350	1.12	1.16	zscore_tar	3.04750818854719	BES1
1375	1.07	1.12	zscore_tar	1.13020171230889	BES1
1400	1.07	1.13	zscore_tar	1.13020171230889	BES1
1425	1.04	1.11	zscore_tar	-0.0201821734340882	BES1
1450	1.02	1.07	zscore_tar	-0.787104763929408	BES1
1475	1.03	1.08	zscore_tar	-0.403643468681748	BES1
1500	1.01	1.05	zscore_tar	-1.17056605917707	BES1
100	1.02	1.04	zscore_beg	-0.788567290328286	BES1
125	1.02	1.03	zscore_beg	-0.919995172049667	BES1
150	1.02	1.04	zscore_beg	-0.788567290328286	BES1
175	1.03	1.06	zscore_beg	-0.525711526885524	BES1
200	1.02	1.04	zscore_beg	-0.788567290328286	BES1
225	1.01	1.03	zscore_beg	-0.919995172049667	BES1
250	1.03	1.04	zscore_beg	-0.788567290328286	BES1
275	1.02	1.02	zscore_beg	-1.05142305377105	BES1
300	1.02	1.02	zscore_beg	-1.05142305377105	BES1
325	1.02	1.05	zscore_beg	-0.657139408606905	BES1
350	1	1.03	zscore_beg	-0.919995172049667	BES1
375	1.01	1.05	zscore_beg	-0.657139408606905	BES1
400	1.02	1.07	zscore_beg	-0.394283645164143	BES1
425	1.03	1.06	zscore_beg	-0.525711526885524	BES1
450	1.03	1.06	zscore_beg	-0.525711526885524	BES1
475	1.02	1.04	zscore_beg	-0.788567290328286	BES1
500	1.03	1.04	zscore_beg	-0.788567290328286	BES1
525	1.02	1.02	zscore_beg	-1.05142305377105	BES1
550	1.02	1.02	zscore_beg	-1.05142305377105	BES1
575	1.02	1.02	zscore_beg	-1.05142305377105	BES1
600	1	1	zscore_beg	-1.31427881721381	BES1
625	1	1	zscore_beg	-1.31427881721381	BES1
650	1.02	1.03	zscore_beg	-0.919995172049667	BES1
675	1.05	1.09	zscore_beg	-0.131427881721381	BES1
700	1.07	1.11	zscore_beg	0.131427881721378	BES1
725	1.08	1.13	zscore_beg	0.39428364516414	BES1
750	1.06	1.11	zscore_beg	0.131427881721378	BES1
775	1.04	1.07	zscore_beg	-0.394283645164143	BES1
800	1.04	1.09	zscore_beg	-0.131427881721381	BES1
825	1.04	1.1	zscore_beg	0	BES1
850	1.06	1.13	zscore_beg	0.39428364516414	BES1
875	1.05	1.13	zscore_beg	0.39428364516414	BES1
900	1.04	1.11	zscore_beg	0.131427881721381	BES1
925	1.05	1.15	zscore_beg	0.657139408606902	BES1
950	1.03	1.14	zscore_beg	0.525711526885524	BES1
975	1.04	1.16	zscore_beg	0.788567290328283	BES1
1000	1.04	1.22	zscore_beg	1.57713458065657	BES1
1025	1.03	1.22	zscore_beg	1.57713458065657	BES1
1050	1.05	1.27	zscore_beg	2.23427398926347	BES1
1075	1.05	1.27	zscore_beg	2.23427398926347	BES1
1100	1.07	1.29	zscore_beg	2.49712975270624	BES1
1125	1.07	1.27	zscore_beg	2.23427398926347	BES1
1150	1.07	1.24	zscore_beg	1.83999034409933	BES1
1175	1.08	1.25	zscore_beg	1.97141822582071	BES1
1200	1.06	1.16	zscore_beg	0.788567290328283	BES1
1225	1.05	1.11	zscore_beg	0.131427881721378	BES1
1250	1.04	1.07	zscore_beg	-0.394283645164146	BES1
1275	1.07	1.07	zscore_beg	-0.394283645164146	BES1
1300	1.08	1.09	zscore_beg	-0.131427881721381	BES1
1325	1.11	1.12	zscore_beg	0.262855763442762	BES1
1350	1.12	1.16	zscore_beg	0.788567290328283	BES1
1375	1.07	1.12	zscore_beg	0.262855763442762	BES1
1400	1.07	1.13	zscore_beg	0.39428364516414	BES1
1425	1.04	1.11	zscore_beg	0.131427881721378	BES1
1450	1.02	1.07	zscore_beg	-0.394283645164143	BES1
1475	1.03	1.08	zscore_beg	-0.262855763442762	BES1
1500	1.01	1.05	zscore_beg	-0.657139408606905	BES1
100	1.13	1.24	zscore_tar	-1.10518947311145	bHLH
125	1.12	1.22	zscore_tar	-1.15591072912381	bHLH
150	1.13	1.28	zscore_tar	-1.10518947311145	bHLH
175	1.15	1.25	zscore_tar	-1.00374696108673	bHLH
200	1.12	1.24	zscore_tar	-1.15591072912381	bHLH
225	1.11	1.24	zscore_tar	-1.20663198513617	bHLH
250	1.09	1.21	zscore_tar	-1.30807449716089	bHLH
275	1.07	1.19	zscore_tar	-1.40951700918562	bHLH
300	1.1	1.18	zscore_tar	-1.25735324114853	bHLH
325	1.1	1.2	zscore_tar	-1.25735324114853	bHLH
350	1.13	1.31	zscore_tar	-1.10518947311145	bHLH
375	1.17	1.41	zscore_tar	-0.902304449062005	bHLH
