bin	tar	beg	group	zscore	kmer_family
100	1.43	1.61	zscore_tar	-0.962402550098657	AP2EREBP
125	1.43	1.63	zscore_tar	-0.962402550098657	AP2EREBP
150	1.43	1.63	zscore_tar	-0.962402550098657	AP2EREBP
175	1.53	1.71	zscore_tar	-0.899283294137751	AP2EREBP
200	1.59	1.74	zscore_tar	-0.861411740561208	AP2EREBP
225	1.61	1.75	zscore_tar	-0.848787889369026	AP2EREBP
250	1.61	1.77	zscore_tar	-0.848787889369026	AP2EREBP
275	1.52	1.72	zscore_tar	-0.905595219733842	AP2EREBP
300	1.56	1.74	zscore_tar	-0.880347517349479	AP2EREBP
325	1.51	1.7	zscore_tar	-0.911907145329932	AP2EREBP
350	1.57	1.73	zscore_tar	-0.874035591753389	AP2EREBP
375	1.59	1.75	zscore_tar	-0.861411740561208	AP2EREBP
400	1.71	1.88	zscore_tar	-0.78566863340812	AP2EREBP
425	1.86	2.02	zscore_tar	-0.690989749466761	AP2EREBP
450	1.82	1.96	zscore_tar	-0.716237451851124	AP2EREBP
475	1.95	2.06	zscore_tar	-0.634182419101946	AP2EREBP
500	1.77	1.86	zscore_tar	-0.747797079831577	AP2EREBP
525	1.71	1.82	zscore_tar	-0.78566863340812	AP2EREBP
550	1.75	1.87	zscore_tar	-0.760420931023758	AP2EREBP
575	1.74	1.91	zscore_tar	-0.766732856619849	AP2EREBP
600	1.88	2.07	zscore_tar	-0.67836589827458	AP2EREBP
625	2.08	2.3	zscore_tar	-0.552127386352768	AP2EREBP
650	2.07	2.31	zscore_tar	-0.558439311948859	AP2EREBP
675	2.05	2.28	zscore_tar	-0.57106316314104	AP2EREBP
700	1.98	2.18	zscore_tar	-0.615246642313674	AP2EREBP
725	1.98	2.16	zscore_tar	-0.615246642313674	AP2EREBP
750	2.11	2.3	zscore_tar	-0.533191609564496	AP2EREBP
775	2.21	2.38	zscore_tar	-0.47007235360359	AP2EREBP
800	2.45	2.67	zscore_tar	-0.318586139297415	AP2EREBP
825	2.72	2.94	zscore_tar	-0.148164148202969	AP2EREBP
850	3.07	3.26	zscore_tar	0.072753247660202	AP2EREBP
875	3.33	3.6	zscore_tar	0.236863313158558	AP2EREBP
900	3.78	4.11	zscore_tar	0.520899964982635	AP2EREBP
925	4.13	4.5	zscore_tar	0.741817360845807	AP2EREBP
950	4.8	5.19	zscore_tar	1.16471637578388	AP2EREBP
975	5.29	5.72	zscore_tar	1.47400072999232	AP2EREBP
1000	5.93	6.39	zscore_tar	1.87796396814212	AP2EREBP
1025	6.64	7.07	zscore_tar	2.32611068546455	AP2EREBP
1050	6.59	7.08	zscore_tar	2.29455105748409	AP2EREBP
1075	6.8	7.28	zscore_tar	2.427101495002	AP2EREBP
1100	6.39	6.89	zscore_tar	2.16831254556228	AP2EREBP
1125	5.8	6.31	zscore_tar	1.79590893539294	AP2EREBP
1150	5.3	5.76	zscore_tar	1.48031265558841	AP2EREBP
1175	4.95	5.33	zscore_tar	1.25939525972524	AP2EREBP
1200	4.47	4.87	zscore_tar	0.956422831112887	AP2EREBP
1225	4.1	4.5	zscore_tar	0.722881584057534	AP2EREBP
1250	3.92	4.31	zscore_tar	0.609266923327903	AP2EREBP
1275	3.77	4.2	zscore_tar	0.514588039386545	AP2EREBP
1300	3.72	4.07	zscore_tar	0.483028411406091	AP2EREBP
1325	3.35	3.78	zscore_tar	0.249487164350739	AP2EREBP
1350	3.09	3.5	zscore_tar	0.0853770988523833	AP2EREBP
1375	2.77	3.12	zscore_tar	-0.116604520222516	AP2EREBP
1400	2.63	2.92	zscore_tar	-0.204971478567785	AP2EREBP
1425	2.52	2.71	zscore_tar	-0.274402660124781	AP2EREBP
1450	2.45	2.7	zscore_tar	-0.318586139297415	AP2EREBP
1475	2.34	2.61	zscore_tar	-0.388017320854412	AP2EREBP
1500	2.27	2.52	zscore_tar	-0.432200800027046	AP2EREBP
100	1.43	1.61	zscore_beg	-0.951556816831229	AP2EREBP
125	1.43	1.63	zscore_beg	-0.939763222884853	AP2EREBP
150	1.43	1.63	zscore_beg	-0.939763222884853	AP2EREBP
175	1.53	1.71	zscore_beg	-0.892588847099352	AP2EREBP
200	1.59	1.74	zscore_beg	-0.874898456179789	AP2EREBP
225	1.61	1.75	zscore_beg	-0.869001659206602	AP2EREBP
250	1.61	1.77	zscore_beg	-0.857208065260226	AP2EREBP
275	1.52	1.72	zscore_beg	-0.886692050126165	AP2EREBP
300	1.56	1.74	zscore_beg	-0.874898456179789	AP2EREBP
325	1.51	1.7	zscore_beg	-0.89848564407254	AP2EREBP
350	1.57	1.73	zscore_beg	-0.880795253152977	AP2EREBP
375	1.59	1.75	zscore_beg	-0.869001659206602	AP2EREBP
400	1.71	1.88	zscore_beg	-0.792343298555162	AP2EREBP
425	1.86	2.02	zscore_beg	-0.709788140930535	AP2EREBP
450	1.82	1.96	zscore_beg	-0.745168922769661	AP2EREBP
475	1.95	2.06	zscore_beg	-0.686200953037784	AP2EREBP
500	1.77	1.86	zscore_beg	-0.804136892501538	AP2EREBP
525	1.71	1.82	zscore_beg	-0.827724080394288	AP2EREBP
550	1.75	1.87	zscore_beg	-0.79824009552835	AP2EREBP
575	1.74	1.91	zscore_beg	-0.774652907635599	AP2EREBP
