bin	tar	beg	group	zscore	kmer_family
100	1.29	1.58	zscore_tar	-1.13870509025592	AP2EREBP
125	1.3	1.6	zscore_tar	-1.12451484317577	AP2EREBP
150	1.3	1.62	zscore_tar	-1.12451484317577	AP2EREBP
175	1.34	1.74	zscore_tar	-1.06775385485519	AP2EREBP
200	1.36	1.76	zscore_tar	-1.0393733606949	AP2EREBP
225	1.33	1.74	zscore_tar	-1.08194410193534	AP2EREBP
250	1.34	1.7	zscore_tar	-1.06775385485519	AP2EREBP
275	1.4	1.71	zscore_tar	-0.982612372374315	AP2EREBP
300	1.35	1.79	zscore_tar	-1.05356360777504	AP2EREBP
325	1.33	1.78	zscore_tar	-1.08194410193534	AP2EREBP
350	1.37	1.98	zscore_tar	-1.02518311361475	AP2EREBP
375	1.37	1.96	zscore_tar	-1.02518311361475	AP2EREBP
400	1.44	1.97	zscore_tar	-0.925851384053731	AP2EREBP
425	1.51	2.16	zscore_tar	-0.82651965449271	AP2EREBP
450	1.47	2.02	zscore_tar	-0.883280642813293	AP2EREBP
475	1.38	2.1	zscore_tar	-1.01099286653461	AP2EREBP
500	1.34	1.99	zscore_tar	-1.06775385485519	AP2EREBP
525	1.35	1.94	zscore_tar	-1.05356360777504	AP2EREBP
550	1.45	2.04	zscore_tar	-0.911661136973586	AP2EREBP
575	1.55	2.03	zscore_tar	-0.769758666172126	AP2EREBP
600	1.63	2.17	zscore_tar	-0.656236689530959	AP2EREBP
625	1.67	2.25	zscore_tar	-0.599475701210375	AP2EREBP
650	1.65	2.34	zscore_tar	-0.627856195370667	AP2EREBP
675	1.61	2.38	zscore_tar	-0.684617183691251	AP2EREBP
700	1.66	2.51	zscore_tar	-0.613665948290521	AP2EREBP
725	1.75	2.63	zscore_tar	-0.485953724569208	AP2EREBP
750	1.84	2.71	zscore_tar	-0.358241500847894	AP2EREBP
775	1.96	2.85	zscore_tar	-0.187958535886144	AP2EREBP
800	2.06	2.97	zscore_tar	-0.0460560650846851	AP2EREBP
825	2.11	3.21	zscore_tar	0.0248951703160455	AP2EREBP
850	2.07	3.62	zscore_tar	-0.0318658180045388	AP2EREBP
875	2.38	4.18	zscore_tar	0.408031841479985	AP2EREBP
900	2.38	4.54	zscore_tar	0.408031841479985	AP2EREBP
925	2.49	4.88	zscore_tar	0.56412455936159	AP2EREBP
950	2.82	5.53	zscore_tar	1.0324027130064	AP2EREBP
975	2.72	5.75	zscore_tar	0.890500242204947	AP2EREBP
1000	2.86	6.6	zscore_tar	1.08916370132699	AP2EREBP
1025	3.16	7.64	zscore_tar	1.51487111373137	AP2EREBP
1050	3.33	7.88	zscore_tar	1.75610531409385	AP2EREBP
1075	3.64	8.78	zscore_tar	2.19600297357837	AP2EREBP
1100	3.68	8.44	zscore_tar	2.25276396189895	AP2EREBP
1125	3.48	7.69	zscore_tar	1.96895902029604	AP2EREBP
1150	3.16	6.82	zscore_tar	1.51487111373137	AP2EREBP
1175	2.85	6.02	zscore_tar	1.07497345424684	AP2EREBP
1200	2.78	5.46	zscore_tar	0.975641724685822	AP2EREBP
1225	2.8	5.09	zscore_tar	1.00402221884611	AP2EREBP
1250	2.77	4.98	zscore_tar	0.961451477605676	AP2EREBP
1275	2.8	4.62	zscore_tar	1.00402221884611	AP2EREBP
1300	2.81	4.59	zscore_tar	1.01821246592626	AP2EREBP
1325	2.67	4.22	zscore_tar	0.819549006804216	AP2EREBP
1350	2.57	3.95	zscore_tar	0.677646536002757	AP2EREBP
1375	2.41	3.58	zscore_tar	0.450602582720423	AP2EREBP
1400	2.35	3.42	zscore_tar	0.365461100239547	AP2EREBP
1425	2.29	3.35	zscore_tar	0.280319617758672	AP2EREBP
1450	2.24	3.42	zscore_tar	0.209368382357942	AP2EREBP
1475	2.2	3.35	zscore_tar	0.152607394037359	AP2EREBP
1500	2.05	3.13	zscore_tar	-0.0602463121648307	AP2EREBP
100	1.29	1.58	zscore_beg	-1.01371355691052	AP2EREBP
125	1.3	1.6	zscore_beg	-1.00363828703364	AP2EREBP
150	1.3	1.62	zscore_beg	-0.993563017156761	AP2EREBP
175	1.34	1.74	zscore_beg	-0.933111397895489	AP2EREBP
200	1.36	1.76	zscore_beg	-0.92303612801861	AP2EREBP
225	1.33	1.74	zscore_beg	-0.933111397895489	AP2EREBP
250	1.34	1.7	zscore_beg	-0.953261937649246	AP2EREBP
275	1.4	1.71	zscore_beg	-0.948224302710807	AP2EREBP
300	1.35	1.79	zscore_beg	-0.907923223203292	AP2EREBP
325	1.33	1.78	zscore_beg	-0.912960858141732	AP2EREBP
350	1.37	1.98	zscore_beg	-0.812208159372944	AP2EREBP
375	1.37	1.96	zscore_beg	-0.822283429249823	AP2EREBP
400	1.44	1.97	zscore_beg	-0.817245794311383	AP2EREBP
425	1.51	2.16	zscore_beg	-0.721530730481035	AP2EREBP
450	1.47	2.02	zscore_beg	-0.792057619619187	AP2EREBP
475	1.38	2.1	zscore_beg	-0.751756540111672	AP2EREBP
500	1.34	1.99	zscore_beg	-0.807170524434505	AP2EREBP
525	1.35	1.94	zscore_beg	-0.832358699126702	AP2EREBP
550	1.45	2.04	zscore_beg	-0.781982349742308	AP2EREBP
575	1.55	2.03	zscore_beg	-0.787019984680747	AP2EREBP
600	1.63	2.17	zscore_beg	-0.716493095542596	AP2EREBP
625	1.67	2.25	zscore_beg	-0.676192016035081	AP2EREBP
650	1.65	2.34	zscore_beg	-0.630853301589127	AP2EREBP
675	1.61	2.38	zscore_beg	-0.610702761835369	AP2EREBP
700	1.66	2.51	zscore_beg	-0.545213507635658	AP2EREBP
725	1.75	2.63	zscore_beg	-0.484761888374385	AP2EREBP
750	1.84	2.71	zscore_beg	-0.44446080886687	AP2EREBP
775	1.96	2.85	zscore_beg	-0.373933919728719	AP2EREBP
800	2.06	2.97	zscore_beg	-0.313482300467447	AP2EREBP
825	2.11	3.21	zscore_beg	-0.192579061944902	AP2EREBP
850	2.07	3.62	zscore_beg	0.0139639705311123	AP2EREBP
875	2.38	4.18	zscore_beg	0.296071527083717	AP2EREBP
900	2.38	4.54	zscore_beg	0.477426384867535	AP2EREBP
925	2.49	4.88	zscore_beg	0.648705972774473	AP2EREBP
950	2.82	5.53	zscore_beg	0.976152243773032	AP2EREBP
975	2.72	5.75	zscore_beg	1.0869802124187	AP2EREBP
1000	2.86	6.6	zscore_beg	1.51517918218604	AP2EREBP
1025	3.16	7.64	zscore_beg	2.03909321578374	AP2EREBP
1050	3.33	7.88	zscore_beg	2.15999645430629	AP2EREBP
1075	3.64	8.78	zscore_beg	2.61338359876583	AP2EREBP
1100	3.68	8.44	zscore_beg	2.44210401085889	AP2EREBP
1125	3.48	7.69	zscore_beg	2.06428139047594	AP2EREBP
1150	3.16	6.82	zscore_beg	1.62600715083171	AP2EREBP
1175	2.85	6.02	zscore_beg	1.22299635575656	AP2EREBP
1200	2.78	5.46	zscore_beg	0.940888799203956	AP2EREBP
1225	2.8	5.09	zscore_beg	0.7544963064817	AP2EREBP
1250	2.77	4.98	zscore_beg	0.699082322158867	AP2EREBP
1275	2.8	4.62	zscore_beg	0.51772746437505	AP2EREBP
1300	2.81	4.59	zscore_beg	0.502614559559732	AP2EREBP
1325	2.67	4.22	zscore_beg	0.316222066837475	AP2EREBP
1350	2.57	3.95	zscore_beg	0.180205923499612	AP2EREBP
1375	2.41	3.58	zscore_beg	-0.00618656922264452	AP2EREBP
1400	2.35	3.42	zscore_beg	-0.0867887282376748	AP2EREBP
1425	2.29	3.35	zscore_beg	-0.12205217280675	AP2EREBP
1450	2.24	3.42	zscore_beg	-0.0867887282376748	AP2EREBP
1475	2.2	3.35	zscore_beg	-0.12205217280675	AP2EREBP
1500	2.05	3.13	zscore_beg	-0.232880141452417	AP2EREBP
100	1	1.01	zscore_tar	-0.868240756850933	BES1
125	1	1.01	zscore_tar	-0.868240756850933	BES1
150	1	1.01	zscore_tar	-0.868240756850933	BES1
175	1	1.01	zscore_tar	-0.868240756850933	BES1
200	1	1	zscore_tar	-0.868240756850933	BES1
225	1	1	zscore_tar	-0.868240756850933	BES1
250	1	1	zscore_tar	-0.868240756850933	BES1
275	1	1	zscore_tar	-0.868240756850933	BES1
300	1	1	zscore_tar	-0.868240756850933	BES1
325	1.01	1.01	zscore_tar	-0.161244711986603	BES1
350	1.01	1.01	zscore_tar	-0.161244711986603	BES1
375	1.02	1.03	zscore_tar	0.545751332877726	BES1
400	1.02	1.03	zscore_tar	0.545751332877726	BES1
425	1.01	1.03	zscore_tar	-0.161244711986603	BES1
450	1.01	1.03	zscore_tar	-0.161244711986603	BES1
475	1	1.01	zscore_tar	-0.868240756850933	BES1
500	1	1.01	zscore_tar	-0.868240756850933	BES1
525	1	1	zscore_tar	-0.868240756850933	BES1
550	1	1	zscore_tar	-0.868240756850933	BES1
575	1	1	zscore_tar	-0.868240756850933	BES1
600	1	1	zscore_tar	-0.868240756850933	BES1
625	1	1	zscore_tar	-0.868240756850933	BES1
650	1.01	1.01	zscore_tar	-0.161244711986603	BES1
675	1.01	1.04	zscore_tar	-0.161244711986603	BES1
700	1.01	1.05	zscore_tar	-0.161244711986603	BES1
725	1.01	1.06	zscore_tar	-0.161244711986603	BES1
750	1.01	1.06	zscore_tar	-0.161244711986603	BES1
775	1.01	1.04	zscore_tar	-0.161244711986603	BES1
800	1.03	1.05	zscore_tar	1.25274737774206	BES1
825	1.03	1.06	zscore_tar	1.25274737774206	BES1
850	1.03	1.06	zscore_tar	1.25274737774206	BES1
875	1.03	1.05	zscore_tar	1.25274737774206	BES1
900	1.01	1.03	zscore_tar	-0.161244711986603	BES1
925	1.02	1.04	zscore_tar	0.545751332877726	BES1
950	1.02	1.05	zscore_tar	0.545751332877726	BES1
975	1.04	1.07	zscore_tar	1.95974342260639	BES1
1000	1.04	1.1	zscore_tar	1.95974342260639	BES1
1025	1.03	1.09	zscore_tar	1.25274737774206	BES1
1050	1.02	1.1	zscore_tar	0.545751332877726	BES1
1075	1	1.09	zscore_tar	-0.868240756850933	BES1
1100	1	1.06	zscore_tar	-0.868240756850933	BES1
1125	1	1.04	zscore_tar	-0.868240756850933	BES1
1150	1.01	1.02	zscore_tar	-0.161244711986603	BES1
1175	1.01	1.02	zscore_tar	-0.161244711986603	BES1
1200	1.01	1.02	zscore_tar	-0.161244711986603	BES1
1225	1.01	1.02	zscore_tar	-0.161244711986603	BES1
1250	1.01	1.03	zscore_tar	-0.161244711986603	BES1
1275	1.04	1.05	zscore_tar	1.95974342260639	BES1
1300	1.05	1.06	zscore_tar	2.66673946747072	BES1
1325	1.05	1.06	zscore_tar	2.66673946747072	BES1
1350	1.04	1.04	zscore_tar	1.95974342260639	BES1
1375	1.01	1.01	zscore_tar	-0.161244711986603	BES1
1400	1	1.02	zscore_tar	-0.868240756850933	BES1
1425	1	1.02	zscore_tar	-0.868240756850933	BES1
1450	1	1.02	zscore_tar	-0.868240756850933	BES1
1475	1.01	1.04	zscore_tar	-0.161244711986603	BES1
1500	1.01	1.02	zscore_tar	-0.161244711986603	BES1
100	1	1.01	zscore_beg	-0.79597182118875	BES1
125	1	1.01	zscore_beg	-0.79597182118875	BES1
150	1	1.01	zscore_beg	-0.79597182118875	BES1
175	1	1.01	zscore_beg	-0.79597182118875	BES1
200	1	1	zscore_beg	-1.16483681149573	BES1
225	1	1	zscore_beg	-1.16483681149573	BES1
250	1	1	zscore_beg	-1.16483681149573	BES1
275	1	1	zscore_beg	-1.16483681149573	BES1
300	1	1	zscore_beg	-1.16483681149573	BES1
325	1.01	1.01	zscore_beg	-0.79597182118875	BES1
350	1.01	1.01	zscore_beg	-0.79597182118875	BES1
375	1.02	1.03	zscore_beg	-0.058241840574789	BES1
400	1.02	1.03	zscore_beg	-0.058241840574789	BES1
425	1.01	1.03	zscore_beg	-0.058241840574789	BES1
450	1.01	1.03	zscore_beg	-0.058241840574789	BES1
475	1	1.01	zscore_beg	-0.79597182118875	BES1
500	1	1.01	zscore_beg	-0.79597182118875	BES1
525	1	1	zscore_beg	-1.16483681149573	BES1
550	1	1	zscore_beg	-1.16483681149573	BES1
575	1	1	zscore_beg	-1.16483681149573	BES1
600	1	1	zscore_beg	-1.16483681149573	BES1
625	1	1	zscore_beg	-1.16483681149573	BES1
650	1.01	1.01	zscore_beg	-0.79597182118875	BES1
675	1.01	1.04	zscore_beg	0.310623149732191	BES1
700	1.01	1.05	zscore_beg	0.679488140039172	BES1
725	1.01	1.06	zscore_beg	1.04835313034615	BES1
750	1.01	1.06	zscore_beg	1.04835313034615	BES1
775	1.01	1.04	zscore_beg	0.310623149732191	BES1
800	1.03	1.05	zscore_beg	0.679488140039172	BES1
825	1.03	1.06	zscore_beg	1.04835313034615	BES1
850	1.03	1.06	zscore_beg	1.04835313034615	BES1
875	1.03	1.05	zscore_beg	0.679488140039172	BES1
900	1.01	1.03	zscore_beg	-0.058241840574789	BES1
925	1.02	1.04	zscore_beg	0.310623149732191	BES1
950	1.02	1.05	zscore_beg	0.679488140039172	BES1
975	1.04	1.07	zscore_beg	1.41721812065313	BES1
1000	1.04	1.1	zscore_beg	2.52381309157407	BES1
1025	1.03	1.09	zscore_beg	2.15494810126709	BES1
1050	1.02	1.1	zscore_beg	2.52381309157407	BES1
1075	1	1.09	zscore_beg	2.15494810126709	BES1
1100	1	1.06	zscore_beg	1.04835313034615	BES1
1125	1	1.04	zscore_beg	0.310623149732191	BES1
1150	1.01	1.02	zscore_beg	-0.427106830881769	BES1
1175	1.01	1.02	zscore_beg	-0.427106830881769	BES1
1200	1.01	1.02	zscore_beg	-0.427106830881769	BES1
1225	1.01	1.02	zscore_beg	-0.427106830881769	BES1
1250	1.01	1.03	zscore_beg	-0.058241840574789	BES1
1275	1.04	1.05	zscore_beg	0.679488140039172	BES1
1300	1.05	1.06	zscore_beg	1.04835313034615	BES1
1325	1.05	1.06	zscore_beg	1.04835313034615	BES1
1350	1.04	1.04	zscore_beg	0.310623149732191	BES1
1375	1.01	1.01	zscore_beg	-0.79597182118875	BES1
1400	1	1.02	zscore_beg	-0.427106830881769	BES1
1425	1	1.02	zscore_beg	-0.427106830881769	BES1
1450	1	1.02	zscore_beg	-0.427106830881769	BES1
1475	1.01	1.04	zscore_beg	0.310623149732191	BES1
1500	1.01	1.02	zscore_beg	-0.427106830881769	BES1
100	1.11	1.32	zscore_tar	-1.30469678639457	bZIP
125	1.11	1.37	zscore_tar	-1.30469678639457	bZIP
150	1.1	1.39	zscore_tar	-1.33850029404207	bZIP
175	1.18	1.44	zscore_tar	-1.0680722328621	bZIP
200	1.2	1.49	zscore_tar	-1.00046521756711	bZIP
225	1.2	1.42	zscore_tar	-1.00046521756711	bZIP
250	1.23	1.46	zscore_tar	-0.899054694624623	bZIP
275	1.17	1.47	zscore_tar	-1.1018757405096	bZIP
300	1.2	1.47	zscore_tar	-1.00046521756711	bZIP
325	1.27	1.58	zscore_tar	-0.76384066403464	bZIP
350	1.29	1.61	zscore_tar	-0.696233648739648	bZIP
375	1.25	1.52	zscore_tar	-0.831447679329631	bZIP
400	1.23	1.53	zscore_tar	-0.899054694624622	bZIP
425	1.24	1.51	zscore_tar	-0.865251186977127	bZIP
450	1.19	1.45	zscore_tar	-1.03426872521461	bZIP
475	1.22	1.54	zscore_tar	-0.932858202272117	bZIP
500	1.16	1.52	zscore_tar	-1.13567924815709	bZIP
525	1.12	1.5	zscore_tar	-1.27089327874707	bZIP
550	1.16	1.56	zscore_tar	-1.13567924815709	bZIP
575	1.21	1.57	zscore_tar	-0.966661709919614	bZIP
600	1.39	1.72	zscore_tar	-0.358198572264691	bZIP
625	1.4	1.7	zscore_tar	-0.324395064617196	bZIP
650	1.43	1.72	zscore_tar	-0.222984541674708	bZIP
675	1.47	1.84	zscore_tar	-0.0877705110847249	bZIP
700	1.43	1.9	zscore_tar	-0.222984541674708	bZIP
725	1.47	2	zscore_tar	-0.0877705110847249	bZIP
750	1.53	2.06	zscore_tar	0.115050534800248	bZIP
775	1.5	2.08	zscore_tar	0.0136400118577615	bZIP
800	1.51	2.08	zscore_tar	0.0474435195052573	bZIP
825	1.65	2.29	zscore_tar	0.520692626570196	bZIP
850	1.65	2.65	zscore_tar	0.520692626570197	bZIP
875	1.81	2.94	zscore_tar	1.06154874893013	bZIP
900	1.9	3.16	zscore_tar	1.36578031775759	bZIP
925	1.86	3.42	zscore_tar	1.23056628716761	bZIP
950	1.96	3.68	zscore_tar	1.56860136364256	bZIP
975	1.93	3.8	zscore_tar	1.46719084070008	bZIP
