TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_MYB_7-C13_MYB_4-C2_MYB_6-C4_MYB_5-C6_MYB_8-C9_MYB_3	C13_AP2EREBP_43-C2_AP2EREBP_177-C6_AP2EREBP_209	1	2	1	0.7071067811865476	inf
C10_MYB_7-C13_MYB_4-C2_MYB_6-C4_MYB_5-C6_MYB_8-C9_MYB_3	C6_AP2EREBP_101	1	2	1	0.7071067811865476	inf
C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	C10_RWPRK_1-C13_RWPRK_1-C3_RWPRK_1	3	9	6	0.408248290463863	4.184792280125247
C2_SBP_3-C4_SBP_3-C6_SBP_1	C4_G2like_10	1	1	6	0.408248290463863	3.9581140290126378
C10_AP2EREBP_37-C11_AP2EREBP_6-C13_AP2EREBP_17-C2_AP2EREBP_35-C3_AP2EREBP_35-C4_AP2EREBP_31-C5_AP2EREBP_10-C6_AP2EREBP_40	C4_G2like_10	1	2	6	0.28867513459481287	3.0000000000000013
C10_RWPRK_1-C13_RWPRK_1-C3_RWPRK_1	C13_AP2EREBP_4-C4_AP2EREBP_10	1	6	5	0.18257418583505536	2.1343747458109497
C10_AP2EREBP_64-C11_AP2EREBP_11-C2_AP2EREBP_58-C3_AP2EREBP_58-C4_AP2EREBP_50-C6_AP2EREBP_75-C9_AP2EREBP_37	C13_AP2EREBP_4-C4_AP2EREBP_10	1	7	5	0.1690308509457033	1.2465004776815032
C10_BES1_3-C5_BES1_2-C6_BES1_3	C13_AP2EREBP_4-C4_AP2EREBP_10	1	7	5	0.1690308509457033	1.779513042005218
C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	C13_AP2EREBP_4-C4_AP2EREBP_10	1	9	5	0.14907119849998596	1.1338934190276815
C10_BES1_3-C5_BES1_2-C6_BES1_3	C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	1	7	9	0.12598815766974242	0.9999999999999998
C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	1	9	9	0.1111111111111111	1.0397066299035838
