TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_AP2EREBP_10-C3_AP2EREBP_12-C6_AP2EREBP_12	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.9365370981321128
C10_AP2EREBP_167	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.4391388708721518
C10_AP2EREBP_24-C2_AP2EREBP_26-C6_AP2EREBP_29	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.7368421052631584
C10_AP2EREBP_25-C2_AP2EREBP_27-C3_AP2EREBP_28-C4_AP2EREBP_23-C5_AP2EREBP_6	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.6957950029010542
C10_AP2EREBP_29-C6_AP2EREBP_32	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.0425720702853738
C10_AP2EREBP_34-C3_AP2EREBP_34-C5_AP2EREBP_9-C6_AP2EREBP_37	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.7368421052631582
C10_FAR1_2-C2_FAR1_3-C3_FAR1_1-C4_FAR1_3-C6_FAR1_3-C7_FAR1_1	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.4253829022092444
C10_bZIP_71	C2_NAC_8	2	1	3	1.1547005383792515	1.849195788975051
C1_AP2EREBP_1-C10_AP2EREBP_1-C11_AP2EREBP_1-C3_AP2EREBP_1-C4_AP2EREBP_1-C6_AP2EREBP_1-C9_AP2EREBP_1	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.7174627141137524
C1_AP2EREBP_10-C10_AP2EREBP_30-C13_AP2EREBP_11-C2_AP2EREBP_29-C3_AP2EREBP_30-C4_AP2EREBP_26-C5_AP2EREBP_8-C6_AP2EREBP_33	C2_AP2EREBP_133-C6_AP2EREBP_163	2	1	3	1.1547005383792515	1.9609960780117663
C2_AP2EREBP_133-C6_AP2EREBP_163	C3_AP2EREBP_20	2	3	1	1.1547005383792515	2.2368034052379775
C2_AP2EREBP_133-C6_AP2EREBP_163	C3_AP2EREBP_66	2	3	1	1.1547005383792515	1.3673513833128157
C2_AP2EREBP_133-C6_AP2EREBP_163	C3_E2FDP_7-C6_E2FDP_9	2	3	1	1.1547005383792515	1.649915822768611
C2_AP2EREBP_133-C6_AP2EREBP_163	C3_MYB_24-C5_MYB_19	2	3	1	1.1547005383792515	1.712895254323586
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C2_NAC_8	2	1	3	1.1547005383792515	1.6796557752456491
C2_C2H2_20	C2_NAC_8	2	1	3	1.1547005383792515	1.6789364814379892
C2_C2H2_36	C2_NAC_8	2	1	3	1.1547005383792515	1.6644794391276483
C2_LOBAS2_23	C2_NAC_8	2	1	3	1.1547005383792515	1.5875708343408688
C2_NAC_8	C2_WRKY_19	2	3	1	1.1547005383792515	2.447077640038819
C2_NAC_8	C2_bHLH_45	2	3	1	1.1547005383792515	2.0010510274518087
C2_NAC_8	C4_Trihelix_50	2	3	1	1.1547005383792515	1.2742402269282034
C10_AP2EREBP_10-C3_AP2EREBP_12-C6_AP2EREBP_12	C6_C2H2_58	1	1	1	1.0	2.478478796128212
C10_AP2EREBP_167	C6_C2H2_58	1	1	1	1.0	1.4577379737113252
C10_AP2EREBP_24-C2_AP2EREBP_26-C6_AP2EREBP_29	C6_C2H2_58	1	1	1	1.0	1.779513042005218
C10_AP2EREBP_25-C2_AP2EREBP_27-C3_AP2EREBP_28-C4_AP2EREBP_23-C5_AP2EREBP_6	C6_C2H2_58	1	1	1	1.0	1.687054784573947
C10_AP2EREBP_29-C6_AP2EREBP_32	C6_C2H2_58	1	1	1	1.0	1.6035674514745464
C10_AP2EREBP_34-C3_AP2EREBP_34-C5_AP2EREBP_9-C6_AP2EREBP_37	C6_C2H2_58	1	1	1	1.0	1.3333333333333335
C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C10_bZIP_71	1	1	1	1.0	1.457737973711325
C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C2_C2C2YABBY_8-C6_C2C2YABBY_3	1	1	1	1.0	1.687054784573947
C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C2_C2H2_20	1	1	1	1.0	1.6870547845739468
C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C2_C2H2_36	1	1	1	1.0	1.6870547845739468
C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C2_LOBAS2_23	1	1	1	1.0	2.1343747458109497
C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C2_SBP_1-C4_SBP_1	1	1	1	1.0	1.5275252316519468
C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C2_WRKY_19	1	1	1	1.0	1.9999999999999998
C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	C6_C2H2_70	1	1	1	1.0	1.5275252316519468
C10_FAR1_2-C2_FAR1_3-C3_FAR1_1-C4_FAR1_3-C6_FAR1_3-C7_FAR1_1	C6_C2H2_58	1	1	1	1.0	1.603567451474546
C10_bZIP_71	C2_C2C2YABBY_8-C6_C2C2YABBY_3	1	1	1	1.0	1.5275252316519468
C10_bZIP_71	C2_C2H2_20	1	1	1	1.0	1.8829377433825434
C10_bZIP_71	C2_C2H2_36	1	1	1	1.0	2.291287847477921
C10_bZIP_71	C2_LOBAS2_23	1	1	1	1.0	1.8829377433825434
C10_bZIP_71	C2_NAC_59	1	1	1	1.0	1.6870547845739472
C10_bZIP_71	C2_SBP_1-C4_SBP_1	1	1	1	1.0	1.8829377433825434
C10_bZIP_71	C2_WRKY_19	1	1	1	1.0	2.0
C10_bZIP_71	C2_bHLH_39	1	1	1	1.0	1.603567451474546
C10_bZIP_71	C2_bHLH_45	1	1	1	1.0	1.7795130420052185
C10_bZIP_71	C4_AP2EREBP_144	1	1	1	1.0	2.1343747458109497
C10_bZIP_71	C4_C2C2YABBY_5	1	1	1	1.0	1.6035674514745462
C10_bZIP_71	C4_HSF_5-C5_HSF_1-C6_HSF_7	1	1	1	1.0	2.1343747458109497
C10_bZIP_71	C4_Trihelix_50	1	1	1	1.0	1.779513042005218
C10_bZIP_71	C6_AP2EREBP_101	1	1	1	1.0	2.4784787961282104
C10_bZIP_71	C6_C2C2COlike_6-C9_C2C2COlike_3	1	1	1	1.0	1.8829377433825434
C10_bZIP_71	C6_C2H2_70	1	1	1	1.0	1.779513042005218
C1_AP2EREBP_1-C10_AP2EREBP_1-C11_AP2EREBP_1-C3_AP2EREBP_1-C4_AP2EREBP_1-C6_AP2EREBP_1-C9_AP2EREBP_1	C6_C2H2_58	1	1	1	1.0	1.9999999999999998
C1_AP2EREBP_10-C10_AP2EREBP_30-C13_AP2EREBP_11-C2_AP2EREBP_29-C3_AP2EREBP_30-C4_AP2EREBP_26-C5_AP2EREBP_8-C6_AP2EREBP_33	C6_C2H2_58	1	1	1	1.0	1.6870547845739463
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C2_C2H2_36	1	1	1	1.0	1.779513042005218
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C2_NAC_59	1	1	1	1.0	1.7795130420052183
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C2_SBP_1-C4_SBP_1	1	1	1	1.0	1.8829377433825436
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C2_WRKY_19	1	1	1	1.0	1.6035674514745462
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C2_bHLH_39	1	1	1	1.0	2.291287847477921
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C2_bHLH_45	1	1	1	1.0	1.4577379737113252
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C4_AP2EREBP_144	1	1	1	1.0	1.5275252316519468
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C4_C2C2YABBY_5	1	1	1	1.0	1.457737973711325
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C4_HSF_5-C5_HSF_1-C6_HSF_7	1	1	1	1.0	2.13437474581095
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C4_Trihelix_50	1	1	1	1.0	1.8829377433825436
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C6_AP2EREBP_101	1	1	1	1.0	1.5275252316519468
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C6_C2C2COlike_6-C9_C2C2COlike_3	1	1	1	1.0	1.6035674514745464
C2_C2C2YABBY_8-C6_C2C2YABBY_3	C6_C2H2_70	1	1	1	1.0	1.7795130420052185
C2_C2H2_20	C2_C2H2_36	1	1	1	1.0	2.0
C2_C2H2_20	C2_NAC_59	1	1	1	1.0	1.3932610920384716
C2_C2H2_20	C2_SBP_1-C4_SBP_1	1	1	1	1.0	1.8829377433825434
C2_C2H2_20	C2_WRKY_19	1	1	1	1.0	2.1343747458109497
C2_C2H2_20	C2_bHLH_39	1	1	1	1.0	1.779513042005218
C2_C2H2_20	C2_bHLH_45	1	1	1	1.0	1.7795130420052185
C2_C2H2_20	C4_AP2EREBP_144	1	1	1	1.0	1.779513042005218
C2_C2H2_20	C4_C2C2YABBY_5	1	1	1	1.0	1.9999999999999998
C2_C2H2_20	C4_HSF_5-C5_HSF_1-C6_HSF_7	1	1	1	1.0	2.0
C2_C2H2_20	C4_Trihelix_50	1	1	1	1.0	2.0
C2_C2H2_20	C6_AP2EREBP_101	1	1	1	1.0	2.0
C2_C2H2_20	C6_C2C2COlike_6-C9_C2C2COlike_3	1	1	1	1.0	2.0
C2_C2H2_20	C6_C2H2_70	1	1	1	1.0	1.6870547845739468
C2_C2H2_36	C2_LOBAS2_23	1	1	1	1.0	2.4784787961282104
C2_C2H2_36	C2_NAC_59	1	1	1	1.0	1.9999999999999998
C2_C2H2_36	C2_SBP_1-C4_SBP_1	1	1	1	1.0	2.7080128015453186
C2_C2H2_36	C2_bHLH_39	1	1	1	1.0	1.3932610920384723
