TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_AP2EREBP_129-C3_AP2EREBP_122	C4_AP2EREBP_87	4	2	2	2.0	inf
C10_AP2EREBP_129-C3_AP2EREBP_122	C2_Trihelix_72	2	2	1	1.4142135623730951	inf
C10_AP2EREBP_129-C3_AP2EREBP_122	C3_C2H2_26	2	2	1	1.4142135623730951	inf
C10_AP2EREBP_153-C3_AP2EREBP_152	C2_MYB_24	2	2	1	1.4142135623730951	14.142857142857148
C10_TCP_57-C2_TCP_45-C3_TCP_49-C5_TCP_65-C6_TCP_70-C9_TCP_30	C2_MYB_24	2	2	1	1.4142135623730951	inf
C3_C2H2_26	C4_AP2EREBP_87	2	1	2	1.4142135623730951	inf
C10_TCP_31-C2_TCP_27-C3_TCP_20-C4_TCP_35-C5_TCP_33-C6_TCP_37	C2_MYB_24	2	3	1	1.1547005383792515	inf
C10_TCP_31-C2_TCP_27-C3_TCP_20-C4_TCP_35-C5_TCP_33-C6_TCP_37	C9_BES1_3	2	3	1	1.1547005383792515	inf
C10_AP2EREBP_153-C3_AP2EREBP_152	C10_TCP_57-C2_TCP_45-C3_TCP_49-C5_TCP_65-C6_TCP_70-C9_TCP_30	2	2	2	1.0	inf
C10_ARF_4-C2_ARF_3-C3_ARF_2-C5_ARF_4	C1_AP2EREBP_34	1	1	1	1.0	inf
C10_ARF_4-C2_ARF_3-C3_ARF_2-C5_ARF_4	C1_NAC_10-C10_NAC_40-C13_NAC_13-C2_NAC_45-C3_NAC_22-C4_NAC_40-C5_NAC_45-C6_NAC_64	1	1	1	1.0	inf
C1_AP2EREBP_34	C3_HSF_4	1	1	1	1.0	inf
C1_NAC_10-C10_NAC_40-C13_NAC_13-C2_NAC_45-C3_NAC_22-C4_NAC_40-C5_NAC_45-C6_NAC_64	C3_HSF_4	1	1	1	1.0	inf
C2_E2FDP_14	C4_AP2EREBP_87	2	2	2	1.0	inf
C2_MYB_24	C3_LOBAS2_18	1	1	1	1.0	inf
C2_MYB_24	C9_BES1_3	1	1	1	1.0	inf
C2_MYB_24	C9_C2H2_18	1	1	1	1.0	inf
C2_Trihelix_72	C3_C2H2_26	1	1	1	1.0	inf
C3_C2H2_26	C9_C2H2_18	1	1	1	1.0	inf
C3_LOBAS2_18	C9_BES1_3	1	1	1	1.0	inf
C9_BES1_3	C9_C2H2_18	1	1	1	1.0	inf
C10_AP2EREBP_153-C3_AP2EREBP_152	C10_TCP_31-C2_TCP_27-C3_TCP_20-C4_TCP_35-C5_TCP_33-C6_TCP_37	2	2	3	0.816496580927726	10.002083116364641
C10_TCP_31-C2_TCP_27-C3_TCP_20-C4_TCP_35-C5_TCP_33-C6_TCP_37	C10_TCP_57-C2_TCP_45-C3_TCP_49-C5_TCP_65-C6_TCP_70-C9_TCP_30	2	3	2	0.816496580927726	inf
