TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_SRS_4	C2_FHA_3-C6_FHA_3	2	1	2	1.4142135623730951	inf
C2_FHA_3-C6_FHA_3	C6_HSF_1	2	2	1	1.4142135623730951	14.14285714285715
C2_FHA_3-C6_FHA_3	C6_HSF_5-C9_HSF_2	2	2	1	1.4142135623730951	10.00208311636464
C2_FHA_3-C6_FHA_3	C6_SBP_8	2	2	1	1.4142135623730951	14.14285714285715
C10_SRS_4	C2_AP2EREBP_79-C6_AP2EREBP_98	1	1	1	1.0	inf
C10_SRS_4	C4_MADS_4	1	1	1	1.0	7.000000000000002
C10_SRS_4	C6_HSF_5-C9_HSF_2	1	1	1	1.0	inf
C10_SRS_4	C6_SBP_8	1	1	1	1.0	inf
C2_AP2EREBP_79-C6_AP2EREBP_98	C2_WRKY_2-C6_WRKY_1-C7_WRKY_1-C9_WRKY_2	1	1	1	1.0	4.898979485566354
C2_AP2EREBP_79-C6_AP2EREBP_98	C2_WRKY_7	1	1	1	1.0	3.9581140290126378
C2_AP2EREBP_79-C6_AP2EREBP_98	C4_C2C2gata_8	1	1	1	1.0	inf
C2_AP2EREBP_79-C6_AP2EREBP_98	C4_MADS_4	1	1	1	1.0	inf
C2_AP2EREBP_79-C6_AP2EREBP_98	C6_HSF_1	1	1	1	1.0	inf
C2_AP2EREBP_79-C6_AP2EREBP_98	C9_WRKY_3	1	1	1	1.0	inf
C2_WRKY_2-C6_WRKY_1-C7_WRKY_1-C9_WRKY_2	C4_MADS_4	1	1	1	1.0	7.0000000000000036
C2_WRKY_7	C4_MADS_4	1	1	1	1.0	inf
C4_C2C2gata_8	C4_MADS_4	1	1	1	1.0	7.000000000000001
C4_MADS_4	C6_HSF_1	1	1	1	1.0	inf
C4_MADS_4	C6_HSF_5-C9_HSF_2	1	1	1	1.0	7.000000000000006
C4_MADS_4	C6_SBP_8	1	1	1	1.0	inf
C4_MADS_4	C9_WRKY_3	1	1	1	1.0	inf
C6_HSF_1	C6_HSF_5-C9_HSF_2	1	1	1	1.0	4.898979485566354
C6_HSF_1	C6_SBP_8	1	1	1	1.0	inf
C1_TCP_21-C13_TCP_22-C2_TCP_46-C3_TCP_50-C4_TCP_59-C6_TCP_71-C9_TCP_31	C2_C2H2_20	5	16	6	0.5103103630798288	2.5193551276204307
C2_FHA_3-C6_FHA_3	C2_FHA_3-C6_FHA_3	1	2	2	0.5	7.000000000000002
C10_AP2EREBP_166-C2_AP2EREBP_196-C3_AP2EREBP_172-C4_AP2EREBP_140-C5_AP2EREBP_59-C6_AP2EREBP_222	C1_TCP_21-C13_TCP_22-C2_TCP_46-C3_TCP_50-C4_TCP_59-C6_TCP_71-C9_TCP_31	4	5	16	0.44721359549995787	1.816125013904011
C10_AP2EREBP_166-C2_AP2EREBP_196-C3_AP2EREBP_172-C4_AP2EREBP_140-C5_AP2EREBP_59-C6_AP2EREBP_222	C2_WRKY_18-C6_WRKY_20-C7_WRKY_3	1	5	3	0.25819888974716104	1.718809413416305
C2_C2H2_20	C2_E2FDP_18-C3_E2FDP_17-C4_E2FDP_10-C6_E2FDP_20-C9_E2FDP_8	1	6	3	0.2357022603955158	1.417843080692793
C2_C2H2_20	C3_Trihelix_53-C4_Trihelix_51	1	6	4	0.2041241452319315	1.1066057433370033
