TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_C2H2_3	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	108	27	17	5.041008302500836	37.22947221381625
C10_C2H2_3	C3_C2H2_21	94	27	19	4.150201385470471	30.410117220388976
C10_C2H2_3	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	86	27	16	4.1376769291923186	24.721101733585684
C10_C2H2_3	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	87	27	17	4.060812243681228	19.51612613887917
C10_C2H2_3	C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	59	27	8	4.0144415228946535	34.02311325496168
C10_C2H2_3	C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	69	27	14	3.548977049128114	21.86177636209272
C10_C2H2_3	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	86	27	22	3.528622741407539	34.11902643103653
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	55	17	16	3.3348648442495783	25.81273215308767
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	54	17	17	3.176470588235294	31.183607080123846
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C3_C2H2_21	57	17	19	3.1715648392255464	20.473908136894906
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	35	8	17	3.001225239993904	25.906309492252667
C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	49	16	17	2.9710614066950787	21.60004591363348
C10_C2H2_3	C10_C2H2_3	79	27	27	2.925925925925926	26.68743812296725
C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	44	14	17	2.8520963836295232	22.23178261206128
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	55	17	22	2.8439822949726055	21.006331233293576
C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	C3_C2H2_21	49	16	19	2.810342739914381	19.425653681212594
C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	C3_C2H2_21	49	17	19	2.7264329319658205	18.930308147171942
C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	50	16	22	2.6650089544451303	24.091037430618872
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C3_C2H2_21	32	8	19	2.5955427380922007	24.393923098365462
C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	50	17	22	2.5854384499750958	21.049559469260405
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	30	8	17	2.5724787771376327	20.04290715683106
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	28	8	16	2.4748737341529163	23.860219561424405
C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	37	14	16	2.4721664876899254	19.20044715741064
C10_AP2EREBP_63-C6_AP2EREBP_74	C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	18	7	8	2.40535117721182	18.54846232293811
C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	37	14	17	2.3983537771430083	13.341854806406431
C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	C3_C2H2_21	49	22	19	2.3966683414181404	15.77942159401114
C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	C3_C2H2_21	39	14	19	2.3912434239913667	18.013804107482056
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	28	8	22	2.1105794120443453	14.492003762949793
C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	37	14	22	2.108270664503302	15.639453813753075
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	22	8	14	2.07880460155075	16.813456149534147
C10_AP2EREBP_63-C6_AP2EREBP_74	C10_C2H2_3	28	7	27	2.0367003088692623	19.826469400498144
C10_AP2EREBP_63-C6_AP2EREBP_74	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	22	7	17	2.0167366934620645	15.093036557508706
C10_AP2EREBP_63-C6_AP2EREBP_74	C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	19	7	14	1.9192898346492007	14.769295720171256
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	31	17	17	1.823529411764706	19.904668875389063
C10_C2H2_3	C10_bZIP_58-C11_bZIP_6-C2_bZIP_59-C3_bZIP_52-C4_bZIP_47-C5_bZIP_63-C6_bZIP_68	9	27	1	1.7320508075688776	28.793801200117144
C10_AP2EREBP_63-C6_AP2EREBP_74	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	18	7	16	1.7008401285415227	14.338539497698093
C10_AP2EREBP_63-C6_AP2EREBP_74	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	18	7	17	1.6500572946507803	12.646859708964147
C10_AP2EREBP_63-C6_AP2EREBP_74	C3_C2H2_21	18	7	19	1.560797945143416	13.078999558280701
C10_AP2EREBP_63-C6_AP2EREBP_74	C10_bZIP_58-C11_bZIP_6-C2_bZIP_59-C3_bZIP_52-C4_bZIP_47-C5_bZIP_63-C6_bZIP_68	4	7	1	1.511857892036909	20.20829037796121
C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	24	16	16	1.5	14.018866990803748
C10_AP2EREBP_63-C6_AP2EREBP_74	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	18	7	22	1.4504813352456847	9.937024875337862
C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	24	17	17	1.411764705882353	13.316937326734607
C3_C2H2_21	C3_C2H2_21	26	19	19	1.3684210526315788	16.453529612008975
C10_C2H2_3	C3_AP2EREBP_103-C4_AP2EREBP_90-C5_AP2EREBP_119	7	27	1	1.347150628109127	9.874917013017683
C10_C2H2_3	C3_TCP_45	7	27	1	1.347150628109127	14.295463657925861
C10_C2H2_3	C1_TCP_12-C10_TCP_33-C13_TCP_14-C3_TCP_23-C5_TCP_36-C6_TCP_38	13	27	4	1.2509255832441892	5.505629470448738
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	10	8	8	1.2500000000000002	18.111111111111104
C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	27	22	22	1.2272727272727273	15.825303486406506
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C10_bZIP_58-C11_bZIP_6-C2_bZIP_59-C3_bZIP_52-C4_bZIP_47-C5_bZIP_63-C6_bZIP_68	3	8	1	1.0606601717798214	6.999999999999991
C10_BZR_9-C2_BZR_19-C4_BZR_14-C5_BZR_18-C6_BZR_22-C9_BZR_9	C2_AP2EREBP_52-C6_AP2EREBP_64	1	1	1	1.0	inf
C10_BZR_9-C2_BZR_19-C4_BZR_14-C5_BZR_18-C6_BZR_22-C9_BZR_9	C3_AP2EREBP_48	1	1	1	1.0	inf
C10_LOBAS2_23-C2_LOBAS2_33-C3_LOBAS2_19-C4_LOBAS2_20-C5_LOBAS2_29-C6_LOBAS2_29-C9_LOBAS2_21	C2_HSF_9-C9_HSF_3	1	1	1	1.0	inf
C10_MYB_32	C5_LOBAS2_23	1	1	1	1.0	7.000000000000001
C10_bHLH_10-C2_bHLH_16-C3_bHLH_11-C5_bHLH_13-C6_bHLH_17	C3_bHLH_41	2	4	1	1.0	4.9269387325930145
C10_bZIP_26-C3_bZIP_23-C4_bZIP_23-C5_bZIP_32-C6_bZIP_32	C1_Trihelix_1-C10_Trihelix_1-C2_Trihelix_1-C3_Trihelix_1-C4_Trihelix_1-C5_Trihelix_1-C6_Trihelix_1-C9_Trihelix_1	3	3	3	1.0	8.242382973170564
C10_bZIP_58-C11_bZIP_6-C2_bZIP_59-C3_bZIP_52-C4_bZIP_47-C5_bZIP_63-C6_bZIP_68	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	4	1	16	1.0	14.44931170317992
C10_bZIP_58-C11_bZIP_6-C2_bZIP_59-C3_bZIP_52-C4_bZIP_47-C5_bZIP_63-C6_bZIP_68	C3_bHLH_41	1	1	1	1.0	inf
C1_AP2EREBP_24-C2_AP2EREBP_82	C3_bHLH_41	1	1	1	1.0	7.000000000000006
