TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_AP2EREBP_170-C2_AP2EREBP_201-C5_AP2EREBP_197-C6_AP2EREBP_226	C3_HSF_3-C4_HSF_8-C6_HSF_13	1	1	1	1.0	inf
C10_AP2EREBP_170-C2_AP2EREBP_201-C5_AP2EREBP_197-C6_AP2EREBP_226	C5_AP2EREBP_85-C6_AP2EREBP_100	1	1	1	1.0	inf
C3_HSF_3-C4_HSF_8-C6_HSF_13	C5_AP2EREBP_85-C6_AP2EREBP_100	1	1	1	1.0	inf
C10_AP2EREBP_170-C2_AP2EREBP_201-C5_AP2EREBP_197-C6_AP2EREBP_226	C5_C2H2_86-C6_C2H2_82-C9_C2H2_39	1	1	2	0.7071067811865476	inf
C3_HSF_3-C4_HSF_8-C6_HSF_13	C5_C2H2_86-C6_C2H2_82-C9_C2H2_39	1	1	2	0.7071067811865476	7.0000000000000036
C4_AP2EREBP_118-C5_AP2EREBP_159-C6_AP2EREBP_190	C5_C2H2_80-C6_C2H2_77	1	2	1	0.7071067811865476	inf
C5_AP2EREBP_85-C6_AP2EREBP_100	C5_C2H2_86-C6_C2H2_82-C9_C2H2_39	1	1	2	0.7071067811865476	inf
C5_C2H2_80-C6_C2H2_77	C5_bHLH_47	1	1	2	0.7071067811865476	7.000000000000001
C10_AP2EREBP_170-C2_AP2EREBP_201-C5_AP2EREBP_197-C6_AP2EREBP_226	C10_LOBAS2_8-C3_LOBAS2_3	1	1	3	0.5773502691896257	inf
C10_LOBAS2_8-C3_LOBAS2_3	C3_HSF_3-C4_HSF_8-C6_HSF_13	1	3	1	0.5773502691896257	inf
C2_Trihelix_30	C3_bHLH_16-C6_bHLH_30	1	4	1	0.5	inf
C3_AP2EREBP_123	C3_AP2EREBP_90	2	4	4	0.5	inf
C3_AP2EREBP_90	C3_HMG_2	1	4	1	0.5	inf
C4_AP2EREBP_118-C5_AP2EREBP_159-C6_AP2EREBP_190	C5_bHLH_47	1	2	2	0.5	inf
C3_HMG_2	C6_AP2EREBP_137	1	1	5	0.44721359549995787	7.000000000000001
C10_LOBAS2_8-C3_LOBAS2_3	C5_C2H2_86-C6_C2H2_82-C9_C2H2_39	1	3	2	0.408248290463863	inf
C3_MADS_2	C3_bZIP_37-C6_bZIP_51	1	2	3	0.408248290463863	inf
C10_Trihelix_11-C9_Trihelix_9	C3_MADS_2	1	4	2	0.3535533905932738	inf
C2_Trihelix_30	C6_E2FDP_15	1	4	2	0.3535533905932738	inf
C3_AP2EREBP_123	C6_AP2EREBP_73	1	4	2	0.3535533905932738	inf
C3_AP2EREBP_90	C6_AP2EREBP_73	1	4	2	0.3535533905932738	7.000000000000004
C2_AP2EREBP_127	C6_AP2EREBP_137	2	7	5	0.3380617018914066	10.00208311636464
C1_MYBrelated_1	C2_C2C2COlike_14	1	1	9	0.3333333333333333	inf
C10_AP2EREBP_170-C2_AP2EREBP_201-C5_AP2EREBP_197-C6_AP2EREBP_226	C10_LOBAS2_6	1	1	10	0.3162277660168379	7.000000000000002
C10_LOBAS2_6	C3_HSF_3-C4_HSF_8-C6_HSF_13	1	10	1	0.3162277660168379	7.000000000000007
C10_LOBAS2_6	C5_AP2EREBP_85-C6_AP2EREBP_100	1	10	1	0.3162277660168379	inf
C3_bZIP_12	C5_C2H2_55-C6_C2H2_59	1	1	10	0.3162277660168379	inf
C5_C2H2_55-C6_C2H2_59	C5_ZFHD_4	2	10	4	0.3162277660168379	7.077213895435061
C2_SBP_10	C6_MADS_2	1	4	3	0.28867513459481287	inf
C3_AP2EREBP_90	C3_bZIP_36	1	4	3	0.28867513459481287	inf
C3_bZIP_37-C6_bZIP_51	C5_MYB_30-C6_MYB_29	1	3	4	0.28867513459481287	7.000000000000006
C2_AP2EREBP_127	C6_E2FDP_15	1	7	2	0.2672612419124244	inf
C3_bZIP_36	C6_AP2EREBP_137	1	3	5	0.25819888974716104	7.0000000000000036
C10_Trihelix_11-C9_Trihelix_9	C10_Trihelix_11-C9_Trihelix_9	1	4	4	0.25	inf
C2_C2C2COlike_12-C3_C2C2COlike_6	C3_AP2EREBP_62	1	4	4	0.25	inf
C2_C2C2COlike_12-C3_C2C2COlike_6	C5_ZFHD_4	1	4	4	0.25	7.000000000000004
C2_C2C2YABBY_6	C3_MYB_24	1	2	8	0.25	inf
C2_C2C2YABBY_6	C6_bZIP_49	1	2	8	0.25	7.0000000000000036
C2_C2C2YABBY_6	C9_C2C2COlike_2	1	2	8	0.25	7.000000000000001
C2_Trihelix_30	C3_AP2EREBP_107-C6_AP2EREBP_147	1	4	4	0.25	7.000000000000004
C3_AP2EREBP_62	C3_AP2EREBP_90	1	4	4	0.25	4.898979485566354
C3_AP2EREBP_62	C5_ZFHD_4	1	4	4	0.25	inf
C3_MYB_24	C6_bZIP_49	2	8	8	0.25	8.16887363434523
C4_NAC_51-C6_NAC_79	C5_ZFHD_4	1	4	4	0.25	4.898979485566354
C5_AP2EREBP_55	C5_AP2EREBP_55	1	4	4	0.25	inf
C6_AP2EREBP_73	C6_bZIP_49	1	2	8	0.25	inf
C10_AP2EREBP_170-C2_AP2EREBP_201-C5_AP2EREBP_197-C6_AP2EREBP_226	C10_AP2EREBP_67-C3_AP2EREBP_61	1	1	17	0.24253562503633297	7.000000000000007
C10_AP2EREBP_67-C3_AP2EREBP_61	C5_AP2EREBP_85-C6_AP2EREBP_100	1	17	1	0.24253562503633297	inf
C10_C2C2YABBY_4	C3_MYB_24	2	9	8	0.23570226039551584	6.333333333333338
C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	3	13	13	0.23076923076923078	9.666666666666671
C10_C2C2YABBY_5	C2_AP2EREBP_127	2	11	7	0.22792115291927587	7.077213895435059
C10_LOBAS2_6	C5_C2H2_86-C6_C2H2_82-C9_C2H2_39	1	10	2	0.22360679774997894	7.000000000000001
C3_AP2EREBP_62	C6_AP2EREBP_137	1	4	5	0.22360679774997894	inf
C3_AP2EREBP_90	C6_AP2EREBP_137	1	4	5	0.22360679774997894	7.000000000000002
C10_LOBAS2_28-C3_LOBAS2_21	C3_bZIP_36	1	7	3	0.21821789023599236	4.898979485566356
C10_C2C2YABBY_5	C6_E2FDP_15	1	11	2	0.21320071635561041	7.000000000000006
C10_AP2EREBP_171-C5_AP2EREBP_200	C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	2	8	12	0.2041241452319315	3.435822761549332
C3_MYB_24	C6_BZR_6	1	8	3	0.2041241452319315	7.000000000000002
C6_BZR_6	C6_bZIP_49	1	3	8	0.2041241452319315	3.9581140290126378
C6_BZR_6	C9_C2C2COlike_2	1	3	8	0.2041241452319315	inf
C10_C2C2YABBY_4	C6_BZR_6	1	9	3	0.19245008972987523	3.391164991562634
C10_LOBAS2_28-C3_LOBAS2_21	C3_AP2EREBP_90	1	7	4	0.18898223650461363	7.000000000000004
C10_LOBAS2_28-C3_LOBAS2_21	C4_NAC_51-C6_NAC_79	1	7	4	0.18898223650461363	3.9581140290126373
C10_LOBAS2_28-C3_LOBAS2_21	C5_ZFHD_4	1	7	4	0.18898223650461363	7.000000000000006
C2_Trihelix_30	C6_bZIP_49	1	4	8	0.1767766952966369	7.000000000000001
C3_AP2EREBP_107-C6_AP2EREBP_147	C6_bZIP_49	1	4	8	0.1767766952966369	3.9581140290126386
C3_AP2EREBP_123	C3_MYB_24	1	4	8	0.1767766952966369	inf
C3_AP2EREBP_123	C6_bZIP_49	1	4	8	0.1767766952966369	7.000000000000004
C3_AP2EREBP_62	C9_C2C2COlike_2	1	4	8	0.1767766952966369	7.0000000000000036
C3_AP2EREBP_90	C6_bZIP_49	1	4	8	0.1767766952966369	7.000000000000002
C2_AP2EREBP_142	C2_AP2EREBP_204-C3_AP2EREBP_180-C5_AP2EREBP_201-C6_AP2EREBP_231	7	28	57	0.1752191610126156	3.7548458483644636
C10_C2C2YABBY_5	C6_bZIP_17	1	11	3	0.17407765595569782	3.9581140290126373
C10_AP2EREBP_67-C3_AP2EREBP_61	C2_C2C2YABBY_6	1	17	2	0.17149858514250882	7.000000000000002
C10_AP2EREBP_67-C3_AP2EREBP_61	C5_C2H2_86-C6_C2H2_82-C9_C2H2_39	1	17	2	0.17149858514250882	4.898979485566354
C10_AP2EREBP_67-C3_AP2EREBP_61	C6_E2FDP_15	1	17	2	0.17149858514250882	7.000000000000006
C10_LOBAS2_28-C3_LOBAS2_21	C6_AP2EREBP_137	1	7	5	0.1690308509457033	7.000000000000001
C10_C2C2YABBY_4	C3_AP2EREBP_123	1	9	4	0.16666666666666666	4.898979485566353
C10_C2C2YABBY_4	C4_NAC_51-C6_NAC_79	1	9	4	0.16666666666666666	7.000000000000001
C2_AP2EREBP_142	C3_AP2EREBP_183	5	28	34	0.16205093088804112	2.9428802319362313
C1_Trihelix_13-C10_Trihelix_33-C13_Trihelix_10-C2_Trihelix_42-C5_Trihelix_36	C6_MADS_2	1	13	3	0.1601281538050871	4.898979485566353
C2_AP2EREBP_204-C3_AP2EREBP_180-C5_AP2EREBP_201-C6_AP2EREBP_231	C3_AP2EREBP_183	7	57	34	0.15900879764848913	3.464101615137754
C4_NAC_51-C6_NAC_79	C5_C2H2_55-C6_C2H2_59	1	4	10	0.15811388300841894	inf
C1_Trihelix_13-C10_Trihelix_33-C13_Trihelix_10-C2_Trihelix_42-C5_Trihelix_36	C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	2	13	13	0.15384615384615385	4.201989578510451
C10_C2C2YABBY_5	C2_Trihelix_30	1	11	4	0.15075567228888181	3.9581140290126378
C10_C2C2YABBY_5	C3_AP2EREBP_107-C6_AP2EREBP_147	1	11	4	0.15075567228888181	3.958114029012638
C10_C2C2YABBY_5	C5_MYB_30-C6_MYB_29	1	11	4	0.15075567228888181	3.391164991562631
C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	C2_Trihelix_30	1	12	4	0.14433756729740643	3.0000000000000013
C10_bZIP_26-C3_bZIP_23-C4_bZIP_23-C5_bZIP_32-C6_bZIP_32	C10_bZIP_26-C3_bZIP_23-C4_bZIP_23-C5_bZIP_32-C6_bZIP_32	1	7	7	0.14285714285714285	inf
C2_AP2EREBP_127	C2_AP2EREBP_127	1	7	7	0.14285714285714285	inf
C10_AP2EREBP_67-C3_AP2EREBP_61	C10_LOBAS2_8-C3_LOBAS2_3	1	17	3	0.14002800840280097	3.3911649915626336
C3_AP2EREBP_123	C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	1	4	13	0.1386750490563073	3.9581140290126373
C10_LOBAS2_28-C3_LOBAS2_21	C3_MYB_24	1	7	8	0.1336306209562122	2.306226640788219
C2_AP2EREBP_127	C6_bZIP_49	1	7	8	0.1336306209562122	3.000000000000001
C4_G2like_1	C4_LOBAS2_24	2	47	5	0.13046561461068842	3.869565217391304
C10_C2C2YABBY_4	C10_LOBAS2_28-C3_LOBAS2_21	1	9	7	0.12598815766974242	3.9581140290126378
C10_C2C2YABBY_4	C2_AP2EREBP_127	1	9	7	0.12598815766974242	2.478478796128211
C10_AP2EREBP_171-C5_AP2EREBP_200	C10_AP2EREBP_171-C5_AP2EREBP_200	1	8	8	0.125	7.000000000000002
C3_MYB_24	C3_MYB_24	1	8	8	0.125	2.238095238095238
C3_MYB_24	C9_C2C2COlike_2	1	8	8	0.125	2.4961508830135313
C6_bZIP_49	C9_C2C2COlike_2	1	8	8	0.125	3.0000000000000018
C4_G2like_1	C6_G2like_8	3	47	13	0.12136700910941024	3.31133089266261
C10_AP2EREBP_67-C3_AP2EREBP_61	C2_Trihelix_30	1	17	4	0.12126781251816648	4.898979485566354
C10_LOBAS2_28-C3_LOBAS2_21	C5_C2H2_55-C6_C2H2_59	1	7	10	0.11952286093343936	7.000000000000001
C10_C2C2YABBY_4	C6_bZIP_49	1	9	8	0.11785113019775792	3.391164991562634
C10_C2C2YABBY_4	C9_C2C2COlike_2	1	9	8	0.11785113019775792	3.9581140290126373
C10_NAC_24	C6_G2like_8	1	6	13	0.11322770341445956	2.1473175285873674
C10_AP2EREBP_171-C5_AP2EREBP_200	C10_LOBAS2_6	1	8	10	0.11180339887498947	3.3911649915626327
C5_C2H2_55-C6_C2H2_59	C6_bZIP_49	1	10	8	0.11180339887498947	2.4784787961282104
C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	C10_bZIP_26-C3_bZIP_23-C4_bZIP_23-C5_bZIP_32-C6_bZIP_32	1	12	7	0.10910894511799618	2.708012801545319
C10_AP2EREBP_67-C3_AP2EREBP_61	C6_AP2EREBP_137	1	17	5	0.10846522890932808	2.7080128015453186
C10_C2C2YABBY_5	C3_MYB_24	1	11	8	0.10660035817780521	2.708012801545319
C2_AP2EREBP_204-C3_AP2EREBP_180-C5_AP2EREBP_201-C6_AP2EREBP_231	C2_AP2EREBP_204-C3_AP2EREBP_180-C5_AP2EREBP_201-C6_AP2EREBP_231	6	57	57	0.10526315789473684	2.6670026670040006
C10_LOBAS2_28-C3_LOBAS2_21	C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	1	7	13	0.10482848367219182	3.391164991562634
C10_bZIP_26-C3_bZIP_23-C4_bZIP_23-C5_bZIP_32-C6_bZIP_32	C1_Trihelix_13-C10_Trihelix_33-C13_Trihelix_10-C2_Trihelix_42-C5_Trihelix_36	1	7	13	0.10482848367219182	3.9581140290126373
C10_bZIP_26-C3_bZIP_23-C4_bZIP_23-C5_bZIP_32-C6_bZIP_32	C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	1	7	13	0.10482848367219182	3.000000000000002
C2_C2C2YABBY_6	C4_G2like_1	1	2	47	0.10314212462587934	3.3911649915626327
C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	C3_MYB_24	1	12	8	0.10206207261596575	2.30622664078822
C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	C3_MYB_24	1	13	8	0.09805806756909201	3.3911649915626314
C10_C2C2YABBY_4	C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	1	9	13	0.09245003270420486	3.3911649915626336
C3_HMG_3	C6_SBP_13	2	20	27	0.08606629658238704	1.7700287750520096
C2_Trihelix_30	C3_AP2EREBP_183	1	4	34	0.08574929257125441	2.7080128015453195
C3_AP2EREBP_107-C6_AP2EREBP_147	C3_AP2EREBP_183	1	4	34	0.08574929257125441	2.1473175285873682
C1_C2C2YABBY_1-C3_C2C2YABBY_4-C5_C2C2YABBY_8-C6_C2C2YABBY_4	C2_AP2EREBP_142	3	46	28	0.08359173188630294	1.960876658415174
C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	1	12	12	0.08333333333333333	2.7080128015453186
