TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_BZR_2-C13_BZR_1-C2_BZR_3-C4_BZR_2-C5_BZR_2-C6_BZR_4-C9_BZR_2	C10_Trihelix_25-C2_Trihelix_25	1	1	1	1.0	inf
C2_Trihelix_14	C5_AP2EREBP_67	1	1	1	1.0	inf
C2_Trihelix_14	C3_AP2EREBP_107-C6_AP2EREBP_147	1	1	2	0.7071067811865476	inf
C3_AP2EREBP_107-C6_AP2EREBP_147	C5_AP2EREBP_67	1	2	1	0.7071067811865476	inf
C3_Trihelix_38	C6_E2FDP_15	1	1	2	0.7071067811865476	7.000000000000002
C3_TCP_77-C5_TCP_103	C6_G2like_8	2	5	2	0.6324555320336758	8.168873634345232
C3_Trihelix_38	C5_E2FDP_5	1	1	3	0.5773502691896257	7.000000000000002
C2_WRKY_23	C3_C2H2_6	2	3	5	0.5163977794943221	8.168873634345232
C2_BZR_15	C6_bHLH_53	1	2	2	0.5	7.000000000000007
C3_C2H2_28	C9_TCP_51	1	1	4	0.5	inf
C3_bHLH_41	C5_bZIP_76	1	1	4	0.5	inf
C6_G2like_8	C6_G2like_8	1	2	2	0.5	inf
C10_RWPRK_3	C2_AP2EREBP_142	2	2	9	0.4714045207910317	5.785300076028637
C1_bZIP_10-C10_bZIP_63-C13_bZIP_13-C2_bZIP_64-C4_bZIP_51-C5_bZIP_68-C6_bZIP_73	C6_E2FDP_15	3	22	2	0.45226701686664544	7.340166808764486
C10_LOBAS2_25-C4_LOBAS2_23-C6_LOBAS2_31	C5_AP2EREBP_67	2	20	1	0.44721359549995787	8.168873634345232
C1_ND_2	C2_MYB_34-C5_MYB_44	2	5	4	0.44721359549995787	7.0772138954350625
C1_ND_2	C6_MADS_2	1	5	1	0.44721359549995787	7.000000000000001
C3_Trihelix_38	C6_AP2EREBP_154	1	1	5	0.44721359549995787	inf
C10_MYB_32	C9_BZR_3	3	2	25	0.4242640687119285	5.24985140688953
C1_AP2EREBP_16-C10_AP2EREBP_53-C2_AP2EREBP_48-C3_AP2EREBP_43-C4_AP2EREBP_43-C5_AP2EREBP_51-C6_AP2EREBP_57-C9_AP2EREBP_31	C3_bZIP_6	5	18	8	0.4166666666666667	7.152996178575006
C10_AP2EREBP_56-C4_AP2EREBP_45	C2_ABI3VP1_19	2	8	3	0.408248290463863	6.2483192760880675
C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	C2_CAMTA_5	1	1	6	0.408248290463863	inf
C10_HMG_4-C5_HMG_5-C6_HMG_5	C3_bHLH_41	1	6	1	0.408248290463863	inf
C2_CAMTA_5	C3_FAR1_21	1	6	1	0.408248290463863	7.000000000000004
C3_C2H2_21	C3_WRKY_10	1	3	2	0.408248290463863	inf
C3_LOBAS2_20-C5_LOBAS2_30-C6_LOBAS2_30	C3_MYB_24	1	2	3	0.408248290463863	3.9581140290126378
C3_Trihelix_38	C3_bZIP_37-C6_bZIP_51	1	1	6	0.408248290463863	4.898979485566354
C3_Trihelix_38	C6_TCP_48	1	1	6	0.408248290463863	7.000000000000001
C3_bHLH_19-C6_bHLH_33	C5_AP2EREBP_67	1	6	1	0.408248290463863	7.000000000000004
C3_bHLH_35	C6_E2FDP_15	1	3	2	0.408248290463863	7.000000000000004
C10_C2C2gata_21	C6_MYB_50	3	8	7	0.4008918628686366	6.510775061208501
C1_ND_2	C3_HMG_3	2	5	5	0.39999999999999997	8.168873634345232
C10_AP2EREBP_72-C3_AP2EREBP_63-C5_AP2EREBP_73	C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	1	7	1	0.37796447300922725	inf
C2_AP2EREBP_52-C6_AP2EREBP_64	C6_bZIP_17	2	4	7	0.37796447300922725	8.168873634345232
C2_Trihelix_72	C3_Trihelix_38	1	7	1	0.37796447300922725	7.000000000000007
C3_FHA_2	C6_bZIP_17	1	1	7	0.37796447300922725	inf
C3_TCP_16	C6_MYB_50	1	1	7	0.37796447300922725	4.898979485566354
C3_bHLH_41	C6_MYB_50	1	1	7	0.37796447300922725	3.000000000000002
C10_AP2EREBP_56-C4_AP2EREBP_45	C3_bZIP_6	3	8	8	0.375	6.4624420999136865
C1_bZIP_10-C10_bZIP_63-C13_bZIP_13-C2_bZIP_64-C4_bZIP_51-C5_bZIP_68-C6_bZIP_73	C2_SBP_10	3	22	3	0.36927447293799814	4.438772657244647
C1_bZIP_10-C10_bZIP_63-C13_bZIP_13-C2_bZIP_64-C4_bZIP_51-C5_bZIP_68-C6_bZIP_73	C5_E2FDP_5	3	22	3	0.36927447293799814	8.862587350511955
C6_AP2EREBP_154	C6_TCP_48	2	5	6	0.3651483716701107	4.406000912017297
C10_AP2EREBP_56-C4_AP2EREBP_45	C3_Trihelix_38	1	8	1	0.3535533905932738	7.000000000000001
C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	C3_bZIP_6	1	1	8	0.3535533905932738	7.000000000000007
C10_Trihelix_4-C3_Trihelix_5-C9_Trihelix_3	C3_WRKY_10	1	4	2	0.3535533905932738	7.000000000000001
C2_AP2EREBP_52-C6_AP2EREBP_64	C3_MADS_2	1	4	2	0.3535533905932738	3.3911649915626323
C2_AP2EREBP_85	C3_bZIP_6	2	4	8	0.3535533905932738	5.785300076028636
C3_FAR1_21	C3_HSF_3-C4_HSF_8-C6_HSF_13	1	1	8	0.3535533905932738	inf
C3_FHA_2	C3_HSF_3-C4_HSF_8-C6_HSF_13	1	1	8	0.3535533905932738	4.898979485566354
C3_WRKY_10	C6_bHLH_58	1	2	4	0.3535533905932738	3.9581140290126378
C6_E2FDP_15	C6_bHLH_58	1	2	4	0.3535533905932738	4.898979485566355
C10_bZIP_9-C4_bZIP_9-C5_bZIP_9-C6_bZIP_10-C9_bZIP_7	C1_bHLH_6-C10_bHLH_28-C2_bHLH_35-C3_bHLH_29-C4_bHLH_25-C5_bHLH_37-C6_bHLH_40	14	40	40	0.35	3.875478604891688
C1_bZIP_10-C10_bZIP_63-C13_bZIP_13-C2_bZIP_64-C4_bZIP_51-C5_bZIP_68-C6_bZIP_73	C2_NAC_18-C5_NAC_22-C6_NAC_27	11	22	45	0.34960294939005054	3.9815765030360115
C13_GRF_3	C2_DBP_5-C6_DBP_6	4	28	5	0.3380617018914066	5.5
