TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_AP2EREBP_89-C2_AP2EREBP_87-C4_AP2EREBP_67-C6_AP2EREBP_104	C2_AP2EREBP_176-C6_AP2EREBP_208	1	1	1	1.0	3.000000000000001
C10_AP2EREBP_89-C2_AP2EREBP_87-C4_AP2EREBP_67-C6_AP2EREBP_104	C4_G2like_18	1	1	1	1.0	4.898979485566353
C10_AP2EREBP_89-C2_AP2EREBP_87-C4_AP2EREBP_67-C6_AP2EREBP_104	C6_SBP_8	1	1	1	1.0	3.391164991562635
C10_GRF_4	C6_C2C2gata_1	1	1	1	1.0	3.0000000000000013
C2_AP2EREBP_176-C6_AP2EREBP_208	C4_MADS_2	1	1	1	1.0	7.0000000000000036
C2_NAC_59	C6_C2C2gata_1	1	1	1	1.0	3.0000000000000013
C2_Orphan_1	C6_AP2EREBP_100	1	1	1	1.0	3.3911649915626314
C2_Orphan_1	C6_AP2EREBP_101	1	1	1	1.0	2.478478796128212
C3_TCP_17-C4_TCP_29-C6_TCP_34-C9_TCP_18	C6_C2C2gata_1	1	1	1	1.0	2.7080128015453186
C4_BBRBPC_5	C6_C2C2gata_1	1	1	1	1.0	2.7080128015453195
C4_G2like_18	C4_MADS_2	1	1	1	1.0	4.898979485566354
C4_MADS_2	C6_SBP_8	1	1	1	1.0	3.3911649915626336
C10_MYB_7-C13_MYB_4-C2_MYB_6-C4_MYB_5-C6_MYB_8-C9_MYB_3	C2_Orphan_1	1	2	1	0.7071067811865476	2.2912878474779212
C10_MYB_7-C13_MYB_4-C2_MYB_6-C4_MYB_5-C6_MYB_8-C9_MYB_3	C6_AP2EREBP_100	1	2	1	0.7071067811865476	2.1343747458109497
C10_MYB_7-C13_MYB_4-C2_MYB_6-C4_MYB_5-C6_MYB_8-C9_MYB_3	C6_AP2EREBP_101	1	2	1	0.7071067811865476	2.7080128015453186
