TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C13_LOBAS2_3-C2_LOBAS2_14	C9_HSF_1	2	2	2	1.0	inf
C2_C2C2gata_11-C4_C2C2gata_12-C6_C2C2gata_10-C9_C2C2gata_9	C9_HSF_1	2	2	2	1.0	inf
C4_C2H2_54-C5_C2H2_79-C6_C2H2_75-C9_C2H2_37	C9_HSF_1	2	3	2	0.816496580927726	inf
C10_AP2EREBP_55-C11_AP2EREBP_10-C2_AP2EREBP_49-C3_AP2EREBP_49-C4_AP2EREBP_44-C5_AP2EREBP_53-C6_AP2EREBP_59-C9_AP2EREBP_32	C9_HSF_1	1	1	2	0.7071067811865476	inf
C10_LOBAS2_8-C3_LOBAS2_3	C9_HSF_1	1	1	2	0.7071067811865476	inf
C3_GRF_3-C4_GRF_5-C5_GRF_7-C6_GRF_5-C9_GRF_1	C9_HSF_1	1	1	2	0.7071067811865476	inf
C1_Trihelix_12	C9_HSF_1	1	2	2	0.5	inf
C3_FAR1_21	C9_HSF_1	1	2	2	0.5	inf
C9_HSF_1	C9_HSF_1	1	2	2	0.5	inf
C3_FAR1_21	C6_HSF_15	1	2	3	0.408248290463863	inf
