output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C2_C2H2_29	NA	C2_C2H2_29	C_	1080	8.56791	120	10.01064	146	-0.26352	1.84418e-96	True
_C2_C2H2_30	NA	C2_C2H2_30	C_	381	6.61911	28	9.35474	39	-0.46976	1.95941e-98	True
_C3_ABI3VP1_26	NA	C3_ABI3VP1_26	C_	157	12.13709	35	10.02995	25	0.37361	3.54169e-74	True
_C2_C2C2gata_23	NA	C2_C2C2gata_23	C_	449	7.20848	35	9.49215	49	-0.36423	2.1091e-90	True
_C2_HSF_12	NA	C2_HSF_12	C_	348	6.63437	26	8.96174	34	-0.41164	3.62881e-86	True
_C2_CPP_3	NA	C2_CPP_3	C_	389	7.22231	29	8.96679	48	-0.25547	2.7945e-74	True
_C3_MYB_39	NA	C3_MYB_39	C_	108	9.9627	17	8.32797	13	0.32493	1.2456e-53	True
_C1_RWPRK_2	NA	C1_RWPRK_2	C_	855	18.43787	315	10.73971	119	0.53416	1.64867e-119	True
_C1_RWPRK_3	NA	C1_RWPRK_3	C_	613	19.40689	256	10.19623	78	0.70081	7.18826e-124	True
_C1_RWPRK_4	NA	C1_RWPRK_4	C_	1017	20.61515	451	11.01132	158	0.6962	5.48343e-136	True
_C2_C2C2dof_13	NA	C2_C2C2dof_13	C_5	342	8.87947	39	10.25311	46	-0.2456	3.19632e-67	True
_C2_MADS_5	NA	C2_MADS_5	C_	415	7.92191	45	9.44708	63	-0.25488	1.59477e-68	True
_C2_MYB_12	NA	C2_MYB_12	C_	3385	8.49888	305	9.9782	459	-0.18669	2.50785e-109	True
_C2_ARID_30	NA	C2_ARID_30	C_	460	7.87153	38	9.88261	54	-0.27513	8.45132e-82	True
_C2_MYBrelated_1	NA	C2_MYBrelated_1	C_	604	8.96289	74	10.88138	89	-0.27434	1.51272e-87	True
_C2_MYBrelated_5	NA	C2_MYBrelated_5	C_	965	9.5463	139	11.15992	160	-0.26154	1.04526e-92	True
_C2_MYBrelated_6	NA	C2_MYBrelated_6	C_	363	7.89635	40	10.31209	50	-0.4213	2.2014e-90	True
