output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C3_C2H2_55	NA	C3_C2H2_55	C_	68	7.65183	7	6.60957	5	0.26406	6.51432e-45	True
_C3_MYB_44	NA	C3_MYB_44	C_	162	5.99666	7	7.22129	16	-0.1988	4.49623e-43	True
_C2_C2C2dof_12	NA	C2_C2C2dof_12	C_	36	5.91126	4	7.35353	7	-0.26707	6.40284e-29	True
_C1_C2C2dof_1	NA	C1_C2C2dof_1	C_	1541	8.67064	217	8.17842	205	0.11198	2.13074e-67	True
_C2_MYBrelated_9-C5_MYBrelated_3	NA	C2_MYBrelated_9-C5_MYBrelated_3	C_	4650	7.189	476	7.86745	589	-0.11234	2.56177e-93	True
_C5_MYBrelated_2	NA	C5_MYBrelated_2	C_	296	8.30212	36	10.44681	56	-0.33605	8.32932e-81	True
_C2_MYBrelated_23	NA	C2_MYBrelated_23	C_	107	7.12607	11	8.72205	16	-0.25634	1.74167e-47	True
_C2_MYB_11	NA	C2_MYB_11	C_	1538	5.87363	106	6.84167	145	-0.17341	1.33671e-83	True
_C3_MYBrelated_9	NA	C3_MYBrelated_9	C_	44	8.04565	2	6.32871	2	0.29661	1.15861e-35	True
_C2_Trihelix_30	NA	C2_Trihelix_30	C_	34	3.76866	0	4.42768	0	-0.19442	1.79786e-15	True
_C2_MYB_16	NA	C2_MYB_16	C_	112	5.22187	4	6.01791	10	-0.18659	2.6448e-39	True
_C2_LOBAS2_19-C3_LOBAS2_56	NA	C2_LOBAS2_19-C3_LOBAS2_56	C_	61	4.15148	3	5.21142	3	-0.31452	2.61142e-44	True
_C2_NAC_39	NA	C2_NAC_39	C_	125	6.48001	8	7.2084	13	-0.1979	1.61661e-40	True
_C2_HSF_7	NA	C2_HSF_7	C_	40	3.54763	0	5.69153	4	-0.48809	1.87238e-57	True
_C1_C2C2dof_6-C2_C2C2dof_10	NA	C1_C2C2dof_6-C2_C2C2dof_10	C_	848	9.609	144	8.45015	115	0.16285	1.93908e-68	True
_C1_MYBrelated_15-C2_MYBrelated_30	NA	C1_MYBrelated_15-C2_MYBrelated_30	C_	256	10.06095	46	8.19223	30	0.26568	1.51859e-60	True
_C2_MADS_10	NA	C2_MADS_10	C_	105	5.05048	5	6.39624	9	-0.2593	1.71926e-44	True
_C4_MYBrelated_2	NA	C4_MYBrelated_2	C_	612	8.65962	86	9.82785	112	-0.17822	1.21472e-67	True
_C2_ARID_2	NA	C2_ARID_2	C_	3526	6.3248	280	7.06466	361	-0.13257	3.57866e-89	True
_C2_ARID_11	NA	C2_ARID_11	C_	190	6.88792	19	7.65481	26	-0.19102	1.1679e-48	True
_C2_NAC_45	NA	C2_NAC_45	C_	175	5.80463	14	6.98856	18	-0.25146	6.79277e-55	True
_C2_ARID_7	NA	C2_ARID_7	C_	1110	5.7464	78	6.68356	103	-0.17655	3.62321e-80	True
_C2_ARID_8	NA	C2_ARID_8	C_	144	5.88862	10	7.07949	14	-0.20822	3.69407e-45	True
_C1_MYBrelated_4-C4_MYBrelated_6	NA	C1_MYBrelated_4-C4_MYBrelated_6	C_	1097	9.05328	171	8.11233	136	0.16106	1.531e-75	True
_C1_MYB_19	NA	C1_MYB_19	C_	203	11.09731	44	8.82252	29	0.29401	3.05703e-65	True
_C1_MYB_20	NA	C1_MYB_20	C_	56	14.00747	17	11.41982	9	0.288	2.93818e-35	True
_C2_MYB_51	NA	C2_MYB_51	C_	44	6.92703	3	8.21407	5	-0.21591	6.78958e-23	True
_C1_NAC_27	NA	C1_NAC_27	C_	76	9.44787	11	8.21103	10	0.23582	2.11606e-37	True
_C3_NLP_14	NA	C3_NLP_14	C_	44	7.60663	3	6.60137	2	0.29755	9.11701e-36	True
_C3_NAC_53	NA	C3_NAC_53	C_	329	8.30491	40	7.08043	38	0.24835	8.86387e-67	True
_C2_MYB_45-C4_MYB_22	NA	C2_MYB_45-C4_MYB_22	C_	136	7.53859	19	9.14376	23	-0.19524	1.24244e-37	True
_C3_MYB_94	NA	C3_MYB_94	C_	14	3.38453	0	3.94924	0	-0.22928	4.15614e-09	True
_C2_HSF_27	NA	C2_HSF_27	C_	98	6.45204	10	7.30631	14	-0.19633	5.99052e-35	True
_C2_WRKY_1-C3_WRKY_10	NA	C2_WRKY_1-C3_WRKY_10	C_	183	6.4565	9	6.92205	12	-0.21584	5.54298e-53	True
_C3_WRKY_15	NA	C3_WRKY_15	C_	48	7.8122	5	6.03786	2	0.38763	4.42713e-47	True
_C1_CAMTA_1-C4_CAMTA_2	NA	C1_CAMTA_1-C4_CAMTA_2	C_	122	12.76266	29	10.78743	18	0.25485	5.31523e-49	True
_C2_MYB_49	NA	C2_MYB_49	C_	179	6.61677	22	8.20545	29	-0.23592	7.1002e-54	True
_C2_ND_11	NA	C2_ND_11	C_	237	6.77384	30	7.91731	29	-0.2125	2.06774e-49	True
_C2_NAC_54	NA	C2_NAC_54	C_	147	7.50154	15	8.8069	20	-0.25015	4.09144e-51	True
_C3_C2H2_13	NA	C3_C2H2_13	C_	111	6.85044	8	5.86336	5	0.26201	4.16789e-48	True
_C4_HSF_7	NA	C4_HSF_7	C_	53	9.07093	11	6.99358	5	0.33102	4.49956e-44	True
_C2_GeBP_4	NA	C2_GeBP_4	C_	123	6.41414	7	7.4014	12	-0.2492	2.17893e-48	True
_C3_bZIP_41	NA	C3_bZIP_41	C_	171	10.31325	35	7.37696	15	0.37132	2.26914e-72	True
_C4_C2C2dof_13	NA	C4_C2C2dof_13	C_3	418	10.00053	80	8.34846	57	0.2033	7.74613e-69	True
_C2_AP2EREBP_79	NA	C2_AP2EREBP_79	C_	35	8.41946	1	8.70538	4	-0.25844	6.46322e-29	True
_C4_FAR1_5	NA	C4_FAR1_5	C_	69	13.07844	17	11.89852	16	0.22681	4.28298e-34	True
_C1_C2C2dof_7-C2_C2C2dof_11	NA	C1_C2C2dof_7-C2_C2C2dof_11	C_	621	10.09886	112	8.38179	82	0.20348	5.4749e-68	True
_C1_MYB_11	NA	C1_MYB_11	C_	127	12.10633	31	9.60923	20	0.32135	1.64182e-55	True
_C2_GeBP_2-C3_GeBP_2	NA	C2_GeBP_2-C3_GeBP_2	C_	93	6.27142	7	8.22335	16	-0.25436	3.94812e-46	True
_C1_GeBP_3	NA	C1_GeBP_3	C_	177	12.60006	46	9.72381	28	0.24997	1.20846e-60	True
_C2_NAC_10	NA	C2_NAC_10	C_0-C4_HB_7	388	6.78904	39	7.52938	47	-0.19354	3.42687e-61	True
_C4_TCP_7	NA	C4_TCP_7	C_	681	10.20814	135	8.87645	104	0.18423	1.56922e-68	True
_C5_Homeobox_1	NA	C5_Homeobox_1	C_	1095	6.66138	111	7.4513	135	-0.15472	9.31741e-75	True
_C2_NAC_14	NA	C2_NAC_14	C_	95	5.46886	4	8.44216	16	-0.49543	9.62461e-67	True
_C1_bHLH_15	NA	C1_bHLH_15	C_3-C4_bHLH_11	35	17.34852	14	11.2818	7	0.54351	2.10472e-56	True
_C2_MYBrelated_1-C4_MYBrelated_1-C5_MYBrelated_1	NA	C2_MYBrelated_1-C4_MYBrelated_1-C5_MYBrelated_1	C_	1275	8.8771	188	9.40767	217	-0.12977	1.48589e-69	True
_C2_MYBrelated_27	NA	C2_MYBrelated_27	C_	38	7.90887	5	9.98505	10	-0.3926	5.18251e-47	True
_C2_MYBrelated_2	NA	C2_MYBrelated_2	C_	65	6.09793	4	8.9065	7	-0.66259	6.60318e-81	True
_C5_ND_4	NA	C5_ND_4	C_	728	6.94999	70	7.99315	96	-0.15581	1.07149e-67	True
_C2_ND_5	NA	C2_ND_5	C_	336	7.03086	34	8.53753	51	-0.22843	3.09077e-64	True
_C2_MYB_32	NA	C2_MYB_32	C_	98	5.25773	4	6.46736	7	-0.38182	7.02307e-60	True
_C4_HB_10	NA	C4_HB_10	C_	50	10.05812	7	11.58202	13	-0.31731	1.10189e-45	True
_C1_bZIP_12	NA	C1_bZIP_12	C_	791	9.90063	142	8.41319	119	0.16934	8.57345e-73	True
