"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Up_regulated","Down_regulated","Negative"
"0.238626.240665",134966.779082862,-0.889098704658997,1.15846976921577,-0.767476828731471,0.442798064709225,0.585187172350027,"NO","NO","YES"
"0.241166.241889",50317.6343816961,-0.990230193327815,1.13455674497808,-0.872790363030228,0.38277735330802,0.529926104781989,"NO","NO","YES"
"0.242722.242987",14099.5295932425,-0.842109965327775,1.09495673168106,-0.769080586440075,0.441845472185828,0.584245993317576,"NO","NO","YES"
"0.244271.246781",180217.227213197,-0.947275170747224,1.15441639208763,-0.820566285475371,0.411893358230043,0.556551781938293,"NO","NO","YES"
"0.247619.247913",24263.4958131374,-0.915060216709556,1.11437212209627,-0.821144210776031,0.411564129875638,0.556360413811981,"NO","NO","YES"
"0.249690.250185",54568.3364105351,-0.98588825902614,1.13415802696957,-0.869268863405572,0.384700089281188,0.53147153638738,"NO","NO","YES"
"0.250984.252369",119895.121045178,-0.977253341103462,1.15967976531932,-0.842692414172093,0.399400490837229,0.54555402885988,"NO","NO","YES"
"0.253160.256068",303559.997189232,-0.930317417561934,1.13855997040895,-0.817100057740285,0.41387124996187,0.558333966779493,"NO","NO","YES"
"0.257121.257855",80262.207698279,-0.911712604702344,1.15240947377344,-0.791135985473147,0.428864641965393,0.571755258794651,"NO","NO","YES"
"0.258288.258559",26592.0300206211,-0.861271683166175,1.12560845746262,-0.765160991334123,0.44417568497847,0.586629714132479,"NO","NO","YES"
"0.259363.260907",166552.387948841,-0.95222196158316,1.15790973835005,-0.822362857868366,0.410870411712272,0.555929443084797,"NO","NO","YES"
"0.261287.261878",60419.8373853985,-0.903654771699899,1.14141865179359,-0.791694414910708,0.42853887968937,0.57146549029751,"NO","NO","YES"
"0.350139.350394",10407.5698148874,-0.951310039264491,1.0667588805761,-0.891776067287797,0.372512972047796,0.520290096123899,"NO","NO","YES"
"0.350711.352650",111330.72469241,-0.96562188808073,1.16058815196071,-0.832010809734185,0.40540284297964,0.550625004807245,"NO","NO","YES"
"0.353781.355213",94520.4462503882,-0.945926116062784,1.15963294941339,-0.815711658194332,0.414665069628285,0.559004030755112,"NO","NO","YES"
"0.357641.361844",504220.096194217,-0.930031407349401,1.10803708756642,-0.83935043130373,0.401272691002805,0.54695207787217,"NO","NO","YES"
"0.362307.362748",69848.7086062934,-1.0244729696419,1.14235190381169,-0.896810314075317,0.369820143354103,0.517829684517069,"NO","NO","YES"
"0.363051.363688",97212.0658546748,-0.938289732324054,1.15618552203617,-0.811539077804417,0.41705616105451,0.561099147875696,"NO","NO","YES"
"0.364457.365809",255277.721275659,-1.0480615851914,1.14071028532802,-0.91877981523592,0.358210752227067,0.507282302039668,"NO","NO","YES"
"0.366759.369530",555196.799093353,-0.998319447344528,1.09812419934584,-0.90911342081272,0.363290259044129,0.512152342689846,"NO","NO","YES"
"0.618565.620849",219001.896456477,-0.896800511858597,1.15292646550845,-0.777847103599186,0.436659155258345,0.579366604582687,"NO","NO","YES"
"0.622043.626219",853052.910964454,-1.01143934347757,1.06223382974619,-0.952181445510213,0.341004969267975,0.491411535878257,"NO","NO","YES"
"0.626522.627103",111265.192144106,-0.92532831277969,1.16147783280604,-0.796681853621064,0.42563582547018,0.568728983886489,"NO","NO","YES"
"0.627324.633365",857121.872668339,-0.926261329956926,1.0640533505552,-0.870502714430274,0.384025736451116,0.531158488489014,"NO","NO","YES"
"0.679097.679920",9873.41709907016,-0.602313223340346,1.07926516081371,-0.558077148424055,0.576791704149308,0.697907764424914,"NO","NO","YES"
"0.697430.698410",106448.481889207,-1.07979505842435,1.15494443901967,-0.934932471159295,0.349823101692208,0.499418507021112,"NO","NO","YES"
"0.721321.721716",1012.82726376733,-0.813356770653633,1.07823784720803,-0.754338917669901,0.450645739230494,0.592317202235737,"NO","NO","YES"
"0.724610.725352",11631.4145320059,-0.880072358122421,1.08105057106159,-0.814089906319733,0.415593447849839,0.559766089701009,"NO","NO","YES"
"0.867682.868703",19578.2230501999,-0.936797828213076,1.09986594222394,-0.851738191218887,0.394359418500336,0.540827090003466,"NO","NO","YES"
"0.868968.871537",63089.5591872182,-1.01682515361979,1.14079337924311,-0.89133156987151,0.372751316947306,0.520541275605114,"NO","NO","YES"
"0.872403.874337",52538.2670388459,-1.02244543760127,1.12645930422125,-0.907663005463042,0.364056295147982,0.512971899073047,"NO","NO","YES"
"0.874792.877472",82476.8038799568,-1.03917886226372,1.13975568213271,-0.911755807454464,0.361897278756049,0.510755090274837,"NO","NO","YES"
"0.877777.879262",39708.2591653465,-1.05239479809408,1.10827512766994,-0.949579009597245,0.342326208241606,0.492669855072712,"NO","NO","YES"
"0.882536.882978",5512.96414402005,-1.00983586931218,0.96004074930809,-1.05186771503187,0.29286024604784,0.444350772666216,"NO","NO","YES"
"0.883688.884066",4145.83404007908,-0.98433457052177,0.904127821107575,-1.08871173692669,0.276281024383598,0.426637555140305,"NO","NO","YES"
"0.885629.885877",2348.5977970274,-1.03053707524117,0.760168126532025,-1.35566993573198,0.17520420916221,0.307970334666835,"NO","NO","YES"
"0.886744.887021",3272.94389245465,-0.930467800174782,0.841944375041866,-1.10514165514618,0.269098213462852,0.418642575832143,"NO","NO","YES"
"0.887488.887721",2696.90847312984,-1.0278078229886,0.788660795533373,-1.30323179345245,0.192495638865245,0.329884275959848,"NO","NO","YES"
"0.888415.888774",4791.93249892364,-1.07954768147564,0.942433974974789,-1.14548892563483,0.252006680312453,0.400196953991948,"NO","NO","YES"
"0.888992.889325",4238.59599642911,-1.07075479517804,0.907084061039071,-1.18043612623011,0.23782680069658,0.384678572403308,"NO","NO","YES"
"0.889661.889939",2242.9294866589,-1.06070774140207,0.720945531158506,-1.47127306510603,0.141217284480258,0.262212885202062,"NO","NO","YES"
"0.890582.890806",2305.95841076641,-0.944771761147186,0.742950743027386,-1.27164791207748,0.203498245301579,0.343944507683918,"NO","NO","YES"
"0.891698.891979",2967.01261339724,-1.00864565772957,0.828798866137942,-1.21699690834482,0.223605392157376,0.367967663742564,"NO","NO","YES"
"0.892498.893034",4169.69978436375,-1.07752158497105,0.916761224523952,-1.17535684990448,0.23985197908838,0.386973081503186,"NO","NO","YES"
"0.893585.893866",2108.52331511256,-1.07555327759843,0.71935052732685,-1.49517271029918,0.134869373682439,0.253245282973304,"NO","NO","YES"
"0.895169.895438",2945.88238659233,-1.03139165337305,0.811769955500864,-1.27054671878892,0.203889952322367,0.344396603470462,"NO","NO","YES"
"0.895778.896191",2357.85507566007,-1.11854145458429,0.748786958831706,-1.49380466819226,0.1352266810554,0.253687249625702,"NO","NO","YES"
"0.896698.897628",7847.15545548075,-0.986936261571825,1.02145275562064,-0.966208428281302,0.333939896301926,0.485309254720391,"NO","NO","YES"
"0.898396.898941",2229.95177843338,-0.875455356732644,0.733621347807424,-1.19333408078857,0.232738560195731,0.378932193258563,"NO","NO","YES"
"0.902085.902700",4702.09152183974,-0.989276497997844,0.94661751132165,-1.04506464983585,0.295993090760539,0.447713452651567,"NO","NO","YES"
"0.902930.903200",1668.33694936888,-1.01720169164787,1.03767547012772,-0.980269574573893,0.326953069105985,0.478241094259918,"NO","NO","YES"
"0.903710.904399",10622.3969004441,-1.04416561811982,1.0567954639759,-0.988048921208868,0.32312868968944,0.474252269545455,"NO","NO","YES"
"0.905089.905379",2873.44732082315,-1.15391308022348,0.818963386088082,-1.40899226977087,0.158837453924723,0.286097140918769,"NO","NO","YES"
"0.907577.907784",1357.66612108938,-1.1210351369804,1.09970620245711,-1.01939512069281,0.308015421664699,0.459993824011889,"NO","NO","YES"
