TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C3_C2H2_40	C3_Homeobox_14	58	97	75	0.6800040428422371	3.1485406430804077
C3_ABI3VP1_7	C3_C2H2_40	64	92	97	0.6774857942013902	2.745720265036597
C3_C2H2_16	C3_C2H2_40	62	93	97	0.6527762545374736	2.514958053739041
C3_AP2EREBP_62	C3_ARF_6	21	24	50	0.606217782649107	6.429480331894432
C3_ARF_6	C3_Trihelix_1	21	50	25	0.5939696961966999	3.480114448090076
C3_ARF_6	C3_WRKY_8	21	50	25	0.5939696961966999	5.427204202399744
C3_Homeobox_14	C3_NLP_18	44	75	80	0.5680375574437545	2.5577383227893264
C3_C2C2YABBY_21	C3_C2H2_40	36	47	97	0.5331724550806867	2.396685081290821
C3_ABI3VP1_7	C3_C2C2YABBY_21	32	92	47	0.4866392517379788	2.333096278234344
C3_Trihelix_1	C3_WRKY_8	12	25	25	0.48	5.185449728701348
C3_C2C2YABBY_21	C3_Homeobox_14	28	47	75	0.4716050757972507	3.0401472179626343
C2_HSF_1	C3_G2like_3	16	35	33	0.4707919090691997	5.396636308634862
C3_NLP_20	C3_WRKY_8	21	84	25	0.45825756949558405	3.224903099319419
C3_Homeobox_14	C3_NLP_12	27	75	48	0.44999999999999996	2.4884439026852663
C3_AP2EREBP_62	C3_Trihelix_1	11	24	25	0.4490731195102493	5.475109475371647
C3_AP2EREBP_62	C3_WRKY_8	11	24	25	0.4490731195102493	4.527090936226073
C3_NLP_20	C3_Trihelix_1	20	84	25	0.43643578047198484	2.4630604269214893
C3_AP2EREBP_62	C3_NLP_20	19	24	84	0.4231636330280053	2.7679315567802685
C3_C2H2_40	C3_C2H2_40	41	97	97	0.422680412371134	3.036643805798265
C2_bZIP_3-C3_bZIP_6-C4_bZIP_1	C4_C2C2gata_5	16	27	54	0.41902624070313926	2.751788340238218
C3_C2H2_26	C3_Homeobox_14	14	15	75	0.41739935579996074	3.178324339772116
C2_G2like_49	C2_HSF_1	6	6	35	0.4140393356054125	5.0990195135927845
C3_C2C2YABBY_21	C3_HSF_30	14	47	25	0.4084219761941048	3.3345360800463486
C2_GeBP_2	C3_G2like_3	11	22	33	0.408248290463863	3.430039829631866
C3_C2H2_40	C3_HSF_30	20	97	25	0.40613846605344767	2.3895705846585096
