TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C3_ND_2	C4_ND_3	263	52	69	4.390657203659219	16.921248111527966
C3_C2C2gata_3	C3_ND_2	203	52	52	3.903846153846154	17.765056788574245
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2C2gata_3	256	88	52	3.784399334330129	14.701896926642636
C3_C2C2gata_1-C4_C2C2gata_1	C3_ND_2	253	88	52	3.740050904630948	17.15165283786814
C3_C2C2gata_3	C4_ND_3	223	52	69	3.7228766403650417	16.777410298314297
C3_C2C2gata_1-C4_C2C2gata_1	C4_ND_3	279	88	69	3.5804558413169345	11.647166163048901
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2C2gata_46	179	88	37	3.1369733766166976	13.599733101835366
C3_C2C2gata_3	C3_C2C2gata_46	137	52	37	3.123331155224739	13.969940046957516
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2H2_41-C5_C2H2_8	166	88	44	2.667721038112884	9.137219820515528
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2H2_26	156	88	40	2.629379463606644	12.147710249783339
C3_C2C2gata_3	C3_C2H2_41-C5_C2H2_8	125	52	44	2.6132562812721587	10.773680649463454
C3_C2C2gata_3	C3_C2H2_26	114	52	40	2.4996153550250337	12.157323187141449
C3_C2C2gata_46	C3_ND_2	109	37	52	2.484986101602165	11.183434254345181
C3_ND_2	C3_ND_2	128	52	52	2.4615384615384617	14.117291875193263
C3_C2C2gata_46	C3_C2H2_26	90	37	40	2.3394386020951634	11.317660855326107
C3_C2C2gata_46	C4_ND_3	118	37	69	2.3353748553166533	10.669570850191429
C3_C2C2gata_46	C3_C2H2_41-C5_C2H2_8	92	37	44	2.2801353466444048	9.306298581737307
C3_C2H2_26	C3_ND_2	101	40	52	2.214571498750249	13.364514487576258
C4_ND_3	C4_ND_3	151	69	69	2.1884057971014497	13.080487489563371
C3_C2H2_41-C5_C2H2_8	C3_ND_2	103	44	52	2.153323175768259	8.202306403119376
C3_C2H2_26	C4_ND_3	106	40	69	2.0176755172112344	7.917419770015803
C3_C2H2_41-C5_C2H2_8	C4_ND_3	110	44	69	1.9963735237617262	6.447266238322663
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2C2gata_1-C4_C2C2gata_1	171	88	88	1.9431818181818183	10.568395317725098
C3_C2H2_26	C3_C2H2_41-C5_C2H2_8	81	40	44	1.9307617432223245	7.794336589607978
C3_C2C2gata_3	C3_C2C2gata_3	96	52	52	1.8461538461538463	12.01624335980809
C3_C2C2gata_46	C3_C2C2gata_46	50	37	37	1.3513513513513515	10.715521656530992
