TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C3_ND_2	C4_ND_3	263	52	69	4.390657203659219	16.921248111527966
C3_C2C2gata_3	C3_ND_2	203	52	52	3.903846153846154	17.765056788574245
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2C2gata_3	256	88	52	3.784399334330129	14.701896926642636
C3_C2C2gata_1-C4_C2C2gata_1	C3_ND_2	253	88	52	3.740050904630948	17.15165283786814
C3_C2C2gata_3	C4_ND_3	223	52	69	3.7228766403650417	16.777410298314297
C3_C2C2gata_1-C4_C2C2gata_1	C4_ND_3	279	88	69	3.5804558413169345	11.647166163048901
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2C2gata_46	179	88	37	3.1369733766166976	13.599733101835366
C3_C2C2gata_3	C3_C2C2gata_46	137	52	37	3.123331155224739	13.969940046957516
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2H2_41-C5_C2H2_8	166	88	44	2.667721038112884	9.137219820515528
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2H2_26	156	88	40	2.629379463606644	12.147710249783339
C3_C2C2gata_3	C3_C2H2_41-C5_C2H2_8	125	52	44	2.6132562812721587	10.773680649463454
C3_C2C2gata_3	C3_C2H2_26	114	52	40	2.4996153550250337	12.157323187141449
C3_C2C2gata_46	C3_ND_2	109	37	52	2.484986101602165	11.183434254345181
C3_ND_2	C3_ND_2	128	52	52	2.4615384615384617	14.117291875193263
C3_C2C2gata_46	C3_C2H2_26	90	37	40	2.3394386020951634	11.317660855326107
C3_C2C2gata_46	C4_ND_3	118	37	69	2.3353748553166533	10.669570850191429
C3_C2C2gata_46	C3_C2H2_41-C5_C2H2_8	92	37	44	2.2801353466444048	9.306298581737307
C3_C2H2_26	C3_ND_2	101	40	52	2.214571498750249	13.364514487576258
C4_ND_3	C4_ND_3	151	69	69	2.1884057971014497	13.080487489563371
C3_C2H2_41-C5_C2H2_8	C3_ND_2	103	44	52	2.153323175768259	8.202306403119376
C3_C2H2_26	C4_ND_3	106	40	69	2.0176755172112344	7.917419770015803
C3_C2H2_41-C5_C2H2_8	C4_ND_3	110	44	69	1.9963735237617262	6.447266238322663
C3_C2C2gata_1-C4_C2C2gata_1	C3_C2C2gata_1-C4_C2C2gata_1	171	88	88	1.9431818181818183	10.568395317725098
C3_C2H2_26	C3_C2H2_41-C5_C2H2_8	81	40	44	1.9307617432223245	7.794336589607978
C3_C2C2gata_3	C3_C2C2gata_3	96	52	52	1.8461538461538463	12.01624335980809
C3_C2C2gata_46	C3_C2C2gata_46	50	37	37	1.3513513513513515	10.715521656530992
C2_HSF_14-C3_HSF_12	C3_HSF_2	81	60	64	1.3071318793450033	2.563125717426086
C2_HSF_15	C3_HSF_2	61	43	64	1.1628015987861104	3.346577116200037
C2_HSF_14-C3_HSF_12	C2_HSF_15	58	60	43	1.1418738848893288	2.406560784631584
C2_HSF_2	C3_HSF_2	60	46	64	1.1058146711617285	3.3361907525277976
C2_HSF_14-C3_HSF_12	C2_HSF_2	57	60	46	1.0849764573683054	1.8822652481827793
C3_C2H2_26	C3_C2H2_26	41	40	40	1.025	4.276103241441922
C3_HSF_2	C3_HSF_4	43	64	29	0.9981124427016538	3.4123044038371564
C2_HSF_15	C2_HSF_2	43	43	46	0.966841563388569	2.3502180789600464
C3_C2H2_41-C5_C2H2_8	C3_C2H2_41-C5_C2H2_8	42	44	44	0.9545454545454545	5.703759254162752
C2_HSF_16	C3_HSF_2	41	31	64	0.9204771728872213	2.4106354840667246
C2_HSF_14-C3_HSF_12	C3_HSF_4	38	60	29	0.9109802728222299	1.859958317223377
C2_HSF_14-C3_HSF_12	C2_HSF_16	39	60	31	0.9042908467323281	2.2215048265649853
C2_AP2EREBP_3-C3_AP2EREBP_24	C3_AP2EREBP_22	16	18	18	0.8888888888888888	4.982275333855138
C2_BBRBPC_4	C2_HSF_15	28	24	43	0.8716019289105664	3.4404101297158314
C2_HSF_15	C2_HSF_16	30	43	31	0.8216865534971651	1.9841328110688483
C2_HSF_2	C3_HSF_4	30	46	29	0.8213785172900904	2.1977024231573874
C2_HSF_15	C3_HSF_4	29	43	29	0.8212299340934686	2.4146256909625268
C2_HSF_16	C3_HSF_4	24	31	29	0.8004448151580841	2.549414620747163
C2_BBRBPC_4	C3_HSF_2	31	24	64	0.7909810627737347	2.2813089839880116
C2_HSF_15	C2_ND_33	23	43	20	0.7842934903910445	2.527400121723544
C2_C2C2gata_25	C2_NAC_51	13	25	11	0.7839294959021854	3.3090385118972474
C2_AP2EREBP_3-C3_AP2EREBP_24	C2_Trihelix_9	14	18	18	0.7777777777777778	4.121330265745303
C2_Trihelix_9	C3_AP2EREBP_22	14	18	18	0.7777777777777778	5.287501124629681
C2_BBRBPC_4	C2_HSF_26	17	24	20	0.7759402897989853	3.5524549432354906
C2_HSF_16	C2_HSF_2	29	31	46	0.7679593549319452	1.7680623767970187
C2_BBRBPC_4	C2_HSF_14-C3_HSF_12	29	24	60	0.7642171012073584	2.0170083455092365
C2_Trihelix_9	C3_AP2EREBP_7	12	18	14	0.7559289460184545	4.252343932161613
C1_bHLH_18-C4_bHLH_13	C1_bZIP_3	18	27	22	0.7385489458759965	3.015044754902748
C2_MADS_5	C3_HSF_2	24	17	64	0.7276068751089989	2.1033723263571216
C2_HSF_14-C3_HSF_12	C2_MADS_5	23	60	17	0.7201579347479219	1.6793850844396707
C2_G2like_47	C3_HSF_2	23	16	64	0.71875	2.3199521404335206
C2_ND_33	C3_HSF_2	25	20	64	0.6987712429686842	2.0210352764084663
C2_HSF_14-C3_HSF_12	C2_ND_33	24	60	20	0.6928203230275509	1.5310636316482231
C2_BBRBPC_4	C2_HSF_2	23	24	46	0.6922186552431729	1.8318582636182792
C2_G2like_47	C2_HSF_15	18	16	43	0.686243566496721	2.9103229313420824
C2_HSF_26	C2_Trihelix_6	11	20	13	0.6821910402406465	4.146473070198592
C2_HSF_2	C2_MADS_5	19	46	17	0.679438612859544	2.0230002929919495
C2_G2like_47	C2_HSF_14-C3_HSF_12	21	16	60	0.677772085586298	1.807384109005271
C2_AP2EREBP_3-C3_AP2EREBP_24	C2_BBRBPC_4	14	18	24	0.6735753140545634	3.404822223150203
C2_BBRBPC_4	C3_AP2EREBP_22	14	24	18	0.6735753140545634	2.8421661136738856
C2_HSF_14-C3_HSF_12	C2_HSF_26	23	60	20	0.6639528095680696	1.2334921128498695
C2_AP2EREBP_3-C3_AP2EREBP_24	C2_Trihelix_6	10	18	13	0.6537204504606136	3.069703067574602
C2_Trihelix_6	C3_AP2EREBP_22	10	13	18	0.6537204504606136	3.7577184805772377
C2_AP2EREBP_3-C3_AP2EREBP_24	C2_HSF_15	18	18	43	0.6469966392206304	2.1538470788468804
C2_HSF_15	C3_AP2EREBP_22	18	43	18	0.6469966392206304	1.9479935844877212
C2_HSF_26	C3_HSF_2	23	20	64	0.6428695435311894	1.5576185512447371
C3_HSF_2	C3_HSF_2	41	64	64	0.640625	2.111750323039921
C2_BBRBPC_4	C2_C2H2_56	17	24	30	0.6335525936249404	2.826147721782335
C1_bZIP_3	C3_AP2EREBP_7	11	22	14	0.6267831705280087	3.104185064115976
C2_HSF_2	C2_ND_33	19	46	20	0.6264114497259977	1.1572259824780524
C2_BBRBPC_4	C2_Trihelix_9	13	24	18	0.6254627916220945	2.892867296513449
C2_C2C2gata_25	C3_HSF_2	25	25	64	0.625	0.870062840141097
C2_BBRBPC_4	C2_HSF_16	17	24	31	0.6232502388407515	1.9701714362353213
