TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C2_C2H2_23-C3_C2H2_37-C4_C2H2_1	C3_C2H2_46	20	9	6	2.721655269759087	16.656708122469098
C3_C2H2_46	C3_C2H2_52	20	6	12	2.3570226039551585	11.78874969152115
C3_C2H2_46	C3_bZIP_9	8	6	2	2.309401076758503	18.77339519033457
C2_C2H2_23-C3_C2H2_37-C4_C2H2_1	C3_C2H2_52	20	9	12	1.9245008972987527	12.44444668893178
C2_C2H2_23-C3_C2H2_37-C4_C2H2_1	C3_bZIP_9	8	9	2	1.8856180831641267	15.921683328090676
C3_C2H2_46	C3_C2H2_46	10	6	6	1.6666666666666667	11.372079997327807
C2_bZIP_5-C3_bZIP_7	C3_C2H2_46	4	1	6	1.632993161855452	14.44931170317992
C3_C2C2gata_5	C3_C2H2_46	4	1	6	1.632993161855452	6.275716324421884
C3_C2H2_46	C3_MYBrelated_14	8	6	4	1.632993161855452	15.921683328090676
C3_C2H2_52	C3_bZIP_9	8	12	2	1.632993161855452	10.001020356106933
C3_C2C2gata_5	C3_bZIP_9	2	1	2	1.4142135623730951	10.00208311636464
C3_MYBrelated_14	C3_bZIP_9	4	4	2	1.4142135623730951	14.449311703179916
C2_C2H2_23-C3_C2H2_37-C4_C2H2_1	C2_bZIP_5-C3_bZIP_7	4	9	1	1.3333333333333333	10.816653826391976
C2_C2H2_23-C3_C2H2_37-C4_C2H2_1	C3_C2C2gata_5	4	9	1	1.3333333333333333	11.939874624995268
C2_C2H2_23-C3_C2H2_37-C4_C2H2_1	C3_MYBrelated_14	8	9	4	1.3333333333333333	16.05546539403118
C2_bZIP_5-C3_bZIP_7	C3_C2H2_52	4	1	12	1.1547005383792515	9.195132338123052
C3_C2C2gata_5	C3_C2H2_52	4	1	12	1.1547005383792515	9.637960070171207
C3_C2H2_52	C3_MYBrelated_14	8	12	4	1.1547005383792515	9.330283339326748
C2_C2H2_23-C3_C2H2_37-C4_C2H2_1	C2_C2H2_23-C3_C2H2_37-C4_C2H2_1	10	9	9	1.1111111111111112	13.722561046394578
C1_TCP_31-C3_TCP_25	C3_AP2EREBP_118	1	1	1	1.0	7.000000000000006
C2_bZIP_5-C3_bZIP_7	C3_C2C2gata_5	1	1	1	1.0	inf
C2_bZIP_5-C3_bZIP_7	C3_MYBrelated_14	2	1	4	1.0	14.142857142857148
C3_C2C2gata_5	C3_MYBrelated_14	2	1	4	1.0	6.333333333333336
C3_C2H2_52	C3_C2H2_52	10	12	12	0.8333333333333334	8.480081047507218
C1_AP2EREBP_21	C2_C2C2gata_15	2	1	6	0.816496580927726	14.142857142857155
C1_AP2EREBP_21	C2_Orphan_6	2	1	6	0.816496580927726	10.00208311636464
C2_C2C2gata_7	C2_NAC_81-C3_NAC_84	1	2	1	0.7071067811865476	inf
C2_bZIP_5-C3_bZIP_7	C3_bZIP_9	1	1	2	0.7071067811865476	7.000000000000007
C2_AP2EREBP_45	C3_TCP_23	1	1	3	0.5773502691896257	3.3911649915626323
C1_GeBP_3	C2_NAC_81-C3_NAC_84	1	4	1	0.5	4.898979485566354
C1_Trihelix_10	C3_NAC_61	1	2	2	0.5	3.391164991562634
C3_C2C2gata_13	C4_C2C2dof_21	1	2	2	0.5	4.898979485566354
C3_bZIP_9	C3_bZIP_9	1	2	2	0.5	7.000000000000006
C2_HSF_4	C2_Orphan_6	5	19	6	0.468292905790847	2.064741604835056
C2_MYBrelated_2	C4_MYBrelated_22	1	2	3	0.408248290463863	1.5550318345163539
C2_C2C2gata_15	C2_HSF_4	4	6	19	0.37463432463267754	2.0241394127792427
C2_MYBrelated_2	C2_ND_11	2	2	15	0.3651483716701107	1.805787796286538
C2_HSF_2	C2_ND_11	5	14	15	0.3450327796711771	0.7541538818534391
C2_C2C2gata_15	C2_Orphan_6	2	6	6	0.3333333333333333	2.4870327725812067
C2_MYB_45-C4_MYB_22	C2_NAC_81-C3_NAC_84	1	9	1	0.3333333333333333	1.3333333333333344
C2_Trihelix_5-C3_Trihelix_3	C4_C2C2dof_20	1	1	9	0.3333333333333333	2.4784787961282118
C3_WRKY_18	C4_MYBrelated_22	1	3	3	0.3333333333333333	2.7295978138458614
C2_HSF_4	C4_HB_10	2	19	2	0.3244428422615251	1.4000000000000004
C2_HSF_4	C2_MYB_45-C4_MYB_22	4	19	9	0.305887645160749	0.9787391491587385
C1_TCP_31-C3_TCP_25	C3_C2H2_52	1	1	12	0.28867513459481287	1.354525987712016
C3_AP2EREBP_98	C3_C2C2gata_13	1	6	2	0.28867513459481287	1.5851515797054703
C3_AP2EREBP_98	C4_C2C2dof_21	1	6	2	0.28867513459481287	1.7888543819998328
C2_MYB_45-C4_MYB_22	C2_Orphan_6	2	9	6	0.2721655269759086	1.1015056712578355
C1_bHLH_19-C4_bHLH_15	C3_AP2EREBP_171	1	14	1	0.2672612419124244	1.3908297396831544
C2_HSF_2	C2_MYB_45-C4_MYB_22	3	14	9	0.2672612419124244	0.8749999999999999
C2_HSF_2	C2_NAC_81-C3_NAC_84	1	14	1	0.2672612419124244	0.8633538537567975
C2_HSF_4	C3_WRKY_18	2	19	3	0.26490647141300877	1.8491957889750503
C2_HSF_4	C4_MYBrelated_22	2	19	3	0.26490647141300877	1.477564275700497
C2_NAC_45	C3_WRKY_18	1	5	3	0.25819888974716104	2.306226640788219
C2_NAC_45	C4_MYBrelated_22	1	5	3	0.25819888974716104	1.0131091737451023
C3_MYBrelated_14	C3_MYBrelated_14	1	4	4	0.25	7.000000000000001
C2_C2C2gata_7	C2_MYB_45-C4_MYB_22	1	2	9	0.23570226039551584	1.6329931618554525
C2_MYBrelated_2	C4_C2C2dof_20	1	2	9	0.23570226039551584	2.011435198964418
C2_C2C2gata_15	C3_WRKY_18	1	6	3	0.2357022603955158	2.0114351989644184
C2_C2C2gata_15	C4_MYBrelated_22	1	6	3	0.2357022603955158	1.9210983219177116
C2_Orphan_6	C3_WRKY_18	1	6	3	0.2357022603955158	2.2912878474779212
C2_Orphan_6	C4_MYBrelated_22	1	6	3	0.2357022603955158	1.0
C1_AP2EREBP_21	C2_HSF_4	1	1	19	0.22941573387056174	2.1473175285873674
C4_C2C2dof_20	C4_C2C2dof_20	2	9	9	0.2222222222222222	3.609368189355846
C2_HSF_4	C2_NAC_10	3	19	11	0.2075143391598224	-0.046984098573494
C2_HSF_4	C2_NAC_45	2	19	5	0.2051956704170308	0.5648326036836897
C2_ND_11	C2_ND_11	3	15	15	0.2	0.9447780870674427
C2_MYB_45-C4_MYB_22	C3_WRKY_18	1	9	3	0.19245008972987523	0.41558138688564905
C2_MYB_45-C4_MYB_22	C4_MYBrelated_22	1	9	3	0.19245008972987523	0.7745966692414833
