TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_Trihelix_57	52	31	46	1.3770305674641776	6.4844970275548
C3_Trihelix_21	C3_Trihelix_57	44	23	46	1.3527260161829604	8.015108683799287
C2_Trihelix_5-C3_Trihelix_3	C3_Trihelix_57	50	32	46	1.3032150878567172	5.041743252871043
C3_Trihelix_15	C3_Trihelix_57	44	26	46	1.2722928503257285	6.012447808839292
C3_Trihelix_18	C3_Trihelix_57	43	28	46	1.1981481570370087	4.748245311704743
C3_Trihelix_15	C3_Trihelix_21	28	26	23	1.1450051481533428	5.464544264541989
C3_Trihelix_18	C3_Trihelix_21	28	28	23	1.1033545687347408	8.486821460779117
C2_Trihelix_5-C3_Trihelix_3	C3_Trihelix_21	29	32	23	1.0689541821230042	4.850492052267982
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_Trihelix_21	28	31	23	1.0486082407823936	6.312097768074175
C3_Trihelix_15	C3_Trihelix_18	28	26	28	1.0377490433255416	4.995741060269309
C2_Trihelix_5-C3_Trihelix_3	C3_Trihelix_18	31	32	28	1.0356373124106446	5.262923734728404
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_Trihelix_18	30	31	28	1.018266349953196	4.600353107384349
C2_AP2EREBP_5-C3_AP2EREBP_7	C2_Trihelix_5-C3_Trihelix_3	32	31	32	1.016001016001524	5.168129875914034
C2_Trihelix_5-C3_Trihelix_3	C3_Trihelix_15	29	32	26	1.0053941056582278	4.4596357504692925
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_Trihelix_15	28	31	26	0.9862579351468856	5.384828696485871
C3_Trihelix_57	C3_Trihelix_57	39	46	46	0.8478260869565217	5.317755493620677
C2_HSF_13	C2_NAC_81-C3_NAC_84	1	2	1	0.7071067811865476	3.9581140290126378
C3_Trihelix_21	C3_Trihelix_21	14	23	23	0.6086956521739131	5.496549908950363
C3_Trihelix_15	C3_Trihelix_15	14	26	26	0.5384615384615384	3.8092527276243793
C3_Trihelix_18	C3_Trihelix_18	15	28	28	0.5357142857142857	4.787744204280841
C2_HSF_3-C5_HSF_1	C3_BZR_5	1	4	1	0.5	3.0000000000000013
C2_Trihelix_5-C3_Trihelix_3	C2_Trihelix_5-C3_Trihelix_3	16	32	32	0.5	2.692885269407442
C3_BZR_5	C3_C2H2_23	1	1	4	0.5	7.0000000000000036
C2_AP2EREBP_5-C3_AP2EREBP_7	C2_AP2EREBP_5-C3_AP2EREBP_7	15	31	31	0.4838709677419355	3.11204659734198
C3_LOBAS2_20	C3_MYBrelated_14	3	10	4	0.4743416490252569	3.7582649135129294
C2_BSD_2	C2_NAC_14	1	6	1	0.408248290463863	2.708012801545319
C2_BSD_2	C2_NAC_81-C3_NAC_84	1	6	1	0.408248290463863	3.9581140290126378
C2_G2like_27	C2_NAC_14	1	6	1	0.408248290463863	2.4961508830135317
C3_LOBAS2_20	C3_LOBAS2_20	4	10	10	0.39999999999999997	6.633744817388886
C2_C2C2gata_7	C3_MYBrelated_14	1	2	4	0.3535533905932738	1.8932040958124001
C2_C2C2gata_35-C3_C2C2gata_52	C3_LOBAS2_20	1	1	10	0.3162277660168379	2.729597813845861
C2_HSF_14	C2_NAC_14	1	11	1	0.30151134457776363	1.8932040958124006
C2_HSF_14	C2_NAC_81-C3_NAC_84	1	11	1	0.30151134457776363	2.0
C1_TCP_19	C3_BZR_5	1	12	1	0.28867513459481287	1.8141236937208547
C3_E2FDP_11	C3_NAC_66	1	1	12	0.28867513459481287	1.7888543819998317
C2_G2like_27	C3_LOBAS2_20	2	6	10	0.25819888974716104	2.0419504453278305
C2_MYB_16	C3_C2C2gata_41	1	2	8	0.25	2.0114351989644184
C3_MYB_64	C3_MYB_64	2	8	8	0.25	1.9124901970613193
C3_AP2EREBP_256	C3_Trihelix_57	4	6	46	0.2407717061715384	0.2977840553692584
C2_NAC_40	C3_MYBrelated_14	1	5	4	0.22360679774997894	1.3397876906064714
C3_LOBAS2_20	C3_MYB_64	2	10	8	0.22360679774997894	0.5483870967741932
C3_LOBAS2_20	C3_MYB_99	1	10	2	0.22360679774997894	1.2696221085454769
C3_RAV_6-C4_RAV_1	C3_TCP_23	1	12	2	0.2041241452319315	1.8829377433825434
C2_BSD_2	C3_GRF_12	1	6	5	0.18257418583505536	0.6889986220041342
C3_LOBAS2_20	C3_Trihelix_18	3	10	28	0.17928429140015906	-0.17888543819998312
C3_C2H2_23	C3_MYB_64	1	4	8	0.1767766952966369	0.9251460406371258
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_LOBAS2_20	3	31	10	0.17038855027411945	0.0
C2_Trihelix_5-C3_Trihelix_3	C3_LOBAS2_20	3	32	10	0.1677050983124842	-0.5939431423763044
C3_C2C2gata_41	C3_GRF_12	1	8	5	0.15811388300841894	0.5594532462194358
C3_C2H2_23	C3_LOBAS2_20	1	4	10	0.15811388300841894	1.2835512386142829
C3_GRF_12	C3_MYB_64	1	5	8	0.15811388300841894	0.3950561531755324
C2_MYB_49	C3_Trihelix_57	3	8	46	0.1563858105428061	-0.46164353574848266
C3_C2C2gata_41	C3_Trihelix_57	3	8	46	0.1563858105428061	-0.7051731218447277
C2_HSF_14	C3_MYBrelated_14	1	11	4	0.15075567228888181	0.5235296376914393
C3_C2C2gata_41	C3_Trihelix_21	2	8	23	0.14744195615489714	-0.046867849079301235
C1_TCP_19	C2_HSF_3-C5_HSF_1	1	12	4	0.14433756729740643	0.07202824060656192
C1_TCP_19	C3_C2H2_23	1	12	4	0.14433756729740643	0.4060978780091406
C2_BSD_2	C3_C2C2gata_41	1	6	8	0.14433756729740643	0.3416353281005055
C2_MYB_49	C3_AP2EREBP_256	1	8	6	0.14433756729740643	0.2584382953523688
C3_C2C2gata_41	C3_Trihelix_15	2	8	26	0.1386750490563073	-0.4964881333974185
C3_C2C2gata_41	C3_Trihelix_18	2	8	28	0.1336306209562122	-0.37833999667165896
C1_TCP_19	C3_GRF_12	1	12	5	0.12909944487358052	0.016554385651454066
C2_NAC_40	C3_NAC_66	1	5	12	0.12909944487358052	0.25720880544972563
C3_GRF_12	C3_NAC_66	1	5	12	0.12909944487358052	0.20282414382021743
C3_RAV_6-C4_RAV_1	C3_Trihelix_57	3	12	46	0.1276884796138123	-1.3078372823929396
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_C2C2gata_41	2	31	8	0.1270001270001905	-0.4020903464478932
C2_C2C2gata_7	C2_Trihelix_5-C3_Trihelix_3	1	2	32	0.125	0.13997200839720098
C2_Trihelix_5-C3_Trihelix_3	C3_C2C2gata_41	2	32	8	0.125	-0.7370954019290348
C2_BSD_2	C2_HSF_14	1	6	11	0.12309149097933271	0.08762159086766466
C2_G2like_27	C2_HSF_14	1	6	11	0.12309149097933271	0.39407214225909803
C1_TCP_19	C2_G2like_27	1	12	6	0.1178511301977579	0.22319215616939916
C2_G2like_27	C3_NAC_66	1	6	12	0.1178511301977579	-0.05440177183411606
C3_MYBrelated_14	C3_Trihelix_18	1	4	28	0.09449111825230681	-0.43118668658019715
C3_LOBAS2_20	C3_NAC_66	1	10	12	0.09128709291752768	-0.39867329651105726
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_MYBrelated_14	1	31	4	0.08980265101338744	-0.3632191915476232
C2_Trihelix_5-C3_Trihelix_3	C3_MYBrelated_14	1	32	4	0.08838834764831845	-0.3887436245998899
C3_RAV_6-C4_RAV_1	C3_RAV_6-C4_RAV_1	1	12	12	0.08333333333333333	0.26923076923076933
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_AP2EREBP_256	1	31	6	0.07332355751067664	-0.932626761270561
C2_AP2EREBP_5-C3_AP2EREBP_7	C2_MYB_49	1	31	8	0.06350006350009525	-0.921451454929925
C3_RAV_6-C4_RAV_1	C3_Trihelix_21	1	12	23	0.0601929265428846	-0.9655810287305758
C3_NAC_66	C3_Trihelix_15	1	12	26	0.05661385170722978	-1.6104805727422145
C3_RAV_6-C4_RAV_1	C3_Trihelix_15	1	12	26	0.05661385170722978	-0.9159291318091396
C3_RAV_6-C4_RAV_1	C3_Trihelix_18	1	12	28	0.05455447255899809	-1.0766702958767282
C2_HSF_14	C2_Trihelix_5-C3_Trihelix_3	1	11	32	0.053300179088902604	-1.6185564177976148
C2_AP2EREBP_5-C3_AP2EREBP_7	C3_RAV_6-C4_RAV_1	1	31	12	0.05184758473652126	-1.2877791559722862
C2_Trihelix_5-C3_Trihelix_3	C3_NAC_66	1	32	12	0.05103103630798288	-1.6684854700806946
C2_Trihelix_5-C3_Trihelix_3	C3_RAV_6-C4_RAV_1	1	32	12	0.05103103630798288	-1.4109221031656234
