"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Up_regulated","Down_regulated","Negative"
"Mp1g00015b",642.575817206978,1.2069133335448,0.418921928043895,2.88099823081675,0.00396417865642039,0.0168116257180197,"YES","NO","NO"
"Mp1g00025b",641.760157090073,1.210520215157,0.41797341331572,2.89616558516037,0.00377753019233511,0.0161852722664389,"YES","NO","NO"
"Mp1g00025d",742.359019414736,0.781407533144896,0.410415372617497,1.90394313975456,0.0569175898918024,0.135110201248016,"NO","NO","YES"
"Mp1g00035e",55.4388395920066,0.236458472252919,0.750492902343119,0.315070897425772,0.752707824501761,0.844275869015983,"NO","NO","YES"
"Mp1g00035j",2437.89951382843,0.828176442620286,0.447977023743368,1.84870294395884,0.0645007183709633,0.148582789313602,"NO","NO","YES"
"Mp1g00035l",652.430601973146,1.07944469219839,0.619774960282742,1.74167199608379,0.0815658553736364,0.17749518305401,"NO","NO","YES"
"Mp1g00055b",147.14046910384,1.32196219736317,0.406861489824047,3.24917012405099,0.00115742234637279,0.0061447951789594,"YES","NO","NO"
"Mp1g00055d",37.3513163672799,1.05785393439238,0.480279133361294,2.20258150086358,0.0276242589595863,0.0781308311660103,"NO","NO","YES"
"Mp1g00055h",30.2092339043747,1.43774323471885,0.596258203587822,2.41127623245704,0.0158968033416679,0.0509978986302992,"NO","NO","YES"
"Mp1g00055j",47.3001339081356,0.94156006652275,0.399129264600918,2.35903540539479,0.0183225075602608,0.0569257484717702,"NO","NO","YES"
"Mp1g00055k",1567.12043804679,0.927079346968479,0.483884297740839,1.91591120294011,0.0553763992673332,0.132346597795135,"NO","NO","YES"
"Mp1g00070",124.304821270152,-0.0556224830488483,0.228813043096526,-0.243091400280812,0.807934593019726,0.883720142516421,"NO","NO","YES"
"Mp1g00080",8969.44175228704,0.0820216859814462,0.0960110025030233,0.854294652103684,0.392941749603822,0.548212597878085,"NO","NO","YES"
"Mp1g00090",1561.26766068523,-0.0985242553398801,0.0776603572512939,-1.26865570578145,0.204563886917713,0.348651634644497,"NO","NO","YES"
"Mp1g00100",1193.91460147745,-0.255367170694635,0.0864551021982624,-2.95375477214771,0.00313933358997122,0.0139602973413075,"NO","NO","NO"
"Mp1g00110",512.276790800462,-0.0940571330606357,0.1171005613953,-0.803216756093288,0.421849462255231,0.5757538713316,"NO","NO","YES"
"Mp1g00120",752.827861284661,0.0317984727276717,0.0957416280090386,0.332127971802085,0.739792629384287,0.834369084145771,"NO","NO","YES"
"Mp1g00140",4814.32831201707,0.021246564032755,0.0779625196671349,0.272522798435303,0.785220063802812,0.867825426690471,"NO","NO","YES"
"Mp1g00160",2103.12865489002,0.481742752676347,0.0791829156560912,6.08392288519232,1.1727702763157e-09,2.88805227038033e-08,"NO","NO","NO"
"Mp1g00170",1087.96792787487,-0.0203686387586438,0.0777343370305544,-0.262028847697481,0.793299201731315,0.873453752938369,"NO","NO","YES"
"Mp1g00180",802.05557735003,0.0480748252107909,0.0942312717650671,0.510179097769674,0.609925994537497,0.736754011222533,"NO","NO","YES"
"Mp1g00190",1431.16774773799,-0.0674462555220862,0.0786553908384152,-0.85749056489521,0.391173826984919,0.546604705413974,"NO","NO","YES"
"Mp1g00210",1870.79118553442,0.251741100793125,0.110589383100022,2.27635866786091,0.0228245513625341,0.0672893674264636,"NO","NO","YES"
"Mp1g00220",1620.6930217044,-0.229534101951002,0.0726819984041235,-3.1580598633895,0.00158822939819938,0.00796558128943071,"NO","NO","NO"
"Mp1g00230",3922.02734724057,-0.21318786325607,0.0748285406663428,-2.84901805324075,0.00438543919377876,0.0181790594735752,"NO","NO","NO"
"Mp1g00240",289.070644771297,-0.839703066151705,0.249569476457312,-3.36460643373323,0.000766529133257683,0.00435852030422101,"NO","NO","NO"
"Mp1g00250",5842.60791542366,0.0579207315119431,0.0595781913444722,0.97218009148774,0.330960963002664,0.48752205545266,"NO","NO","YES"
"Mp1g00270",401.651450866195,0.508890419897659,0.123574883419414,4.11807323475664,3.82053294376189e-05,0.000336836684262639,"NO","NO","NO"
"Mp1g00290",181.744230369469,0.0309814728131468,0.193491108061893,0.160118328555112,0.872787863351458,0.924690833494136,"NO","NO","YES"
"Mp1g00310",2080.60076572898,0.180517016006271,0.206393948586457,0.874623588736921,0.381778748562973,0.537568348963824,"NO","NO","YES"
"Mp1g00320",3538.04185038048,-0.263188991598315,0.080735753901065,-3.25988151322438,0.00111458765961316,0.00595777032593994,"NO","NO","NO"
"Mp1g00330",555.137612581277,-0.240520546168378,0.120569001052067,-1.99487881685701,0.0460560983992429,0.115346643366093,"NO","NO","YES"
