gene	group
Mp1g00170	U_HS T
Mp1g00180	U_HS T
Mp1g00190	U_HS T
Mp1g00410	U_HS T
Mp1g01950	U_HS T
Mp1g02020	U_HS T
Mp1g02090	U_HS T
Mp1g02210	U_HS T
Mp1g02360	U_HS T
Mp1g02960	U_HS T
Mp1g03020	U_HS T
Mp1g03040	U_HS T
Mp1g03100	U_HS T
Mp1g03210	U_HS T
Mp1g03640	U_HS T
Mp1g04760	U_HS T
Mp1g04770	U_HS T
Mp1g05920	U_HS T
Mp1g06140	U_HS T
Mp1g06470	U_HS T
Mp1g07250	U_HS T
Mp1g07390	U_HS T
Mp1g07510	U_HS T
Mp1g07590	U_HS T
Mp1g07730	U_HS T
Mp1g08890	U_HS T
Mp1g08980	U_HS T
Mp1g09120	U_HS T
Mp1g09180	U_HS T
Mp1g09190	U_HS T
Mp1g09200	U_HS T
Mp1g09820	U_HS T
Mp1g10420	U_HS T
Mp1g10610	U_HS T
Mp1g10690	U_HS T
Mp1g10840	U_HS T
Mp1g11110	U_HS T
Mp1g11660	U_HS T
Mp1g11700	U_HS T
Mp1g12310	U_HS T
Mp1g12530	U_HS T
Mp1g12540	U_HS T
Mp1g12860	U_HS T
Mp1g13010	U_HS T
Mp1g13190	U_HS T
Mp1g13250	U_HS T
Mp1g13390	U_HS T
Mp1g13440	U_HS T
Mp1g13560	U_HS T
Mp1g14470	U_HS T
Mp1g15590	U_HS T
Mp1g15880	U_HS T
Mp1g15890	U_HS T
Mp1g16280	U_HS T
Mp1g16450	U_HS T
Mp1g16520	U_HS T
Mp1g16530	U_HS T
Mp1g16590	U_HS T
Mp1g17560	U_HS T
Mp1g17820	U_HS T
Mp1g18650	U_HS T
Mp1g18740	U_HS T
Mp1g18800	U_HS T
Mp1g18910	U_HS T
Mp1g19650	U_HS T
Mp1g20280	U_HS T
Mp1g20450	U_HS T
Mp1g20490	U_HS T
Mp1g20610	U_HS T
Mp1g20770	U_HS T
Mp1g21630	U_HS T
Mp1g21640	U_HS T
Mp1g21770	U_HS T
Mp1g22530	U_HS T
Mp1g22550	U_HS T
Mp1g23740	U_HS T
Mp1g24070	U_HS T
Mp1g24370	U_HS T
Mp1g24470	U_HS T
Mp1g24480	U_HS T
Mp1g24650	U_HS T
Mp1g25680	U_HS T
Mp1g25870	U_HS T
Mp1g26030	U_HS T
Mp1g26440	U_HS T
Mp1g26600	U_HS T
Mp1g26610	U_HS T
Mp1g26850	U_HS T
Mp1g27780	U_HS T
Mp1g27860	U_HS T
Mp1g28530	U_HS T
Mp1g28720	U_HS T
Mp2g00040	U_HS T
