"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Up_regulated","Down_regulated","Negative"
"Mp1g00055k",39.4382140027772,-0.200232152034478,0.667354821057412,-0.300038518815543,0.764147774578032,0.857991277675329,"NO","NO","YES"
"Mp1g00070",107.685863841479,0.019404135662978,0.320049166843471,0.0606286085802189,0.951654989075887,0.976144901575422,"NO","NO","YES"
"Mp1g00080",7937.37213249637,0.285745166480776,0.123727321446487,2.30947508715254,0.0209172325689873,0.0552613186064127,"NO","NO","YES"
"Mp1g00090",1685.25880930324,-0.142549856007047,0.0956620184079181,-1.49014058431416,0.136187275006727,0.24936526168181,"NO","NO","YES"
"Mp1g00100",1397.71943009793,-0.0373376307861003,0.12803719406228,-0.291615503288353,0.770580620509677,0.86251004621315,"NO","NO","YES"
"Mp1g00110",529.680883786933,0.620714623102908,0.232099246699841,2.67435001159499,0.00748742605451226,0.0232147341883311,"NO","NO","NO"
"Mp1g00120",1098.35403804664,0.112584698069812,0.0909508830543727,1.23786261649056,0.21576700589898,0.354380599566936,"NO","NO","YES"
"Mp1g00140",4682.34813815087,0.425480285150304,0.148001915443617,2.87482958497518,0.00404245618583449,0.0138216161702194,"NO","NO","NO"
"Mp1g00160",1857.28518886778,0.290088247278962,0.0988748467161913,2.93389326925206,0.00334739292909235,0.0117425673986293,"NO","NO","NO"
"Mp1g00170",1801.69750856882,0.344178764064356,0.281828958057236,1.2212327875635,0.221997893376236,0.361862354538621,"NO","NO","YES"
"Mp1g00180",133.974301280253,0.315413131358104,0.635058202712454,0.496668069179981,0.619423143089974,0.751379503025195,"NO","NO","YES"
"Mp1g00190",814.575831634585,0.281885573030253,0.121210569193309,2.32558575466052,0.0200406602580152,0.0533250364123441,"NO","NO","YES"
"Mp1g00210",722.411900282607,-0.234325501368428,0.278427346132096,-0.841603759916798,0.400009783988587,0.557318596286686,"NO","NO","YES"
"Mp1g00220",1393.15594704479,0.546313571666317,0.113574415111627,4.8101816868647,1.50793165488863e-06,1.33208237651705e-05,"NO","NO","NO"
"Mp1g00230",2668.55247239249,-0.0320786876489447,0.0872719181725167,-0.36757170371267,0.713192617071963,0.822137219097513,"NO","NO","YES"
"Mp1g00240",42.1800643727261,-0.740479678728826,0.516394653362647,-1.4339414126521,0.151588982613023,0.270483010194698,"NO","NO","YES"
"Mp1g00250",3610.19390252879,0.147511022060684,0.118227699754891,1.24768579923744,0.212146143789966,0.349886243415177,"NO","NO","YES"
"Mp1g00270",1564.46925188615,1.6369611162182,0.211763100691319,7.73015275500878,1.07417609827023e-14,4.05049641119169e-13,"YES","NO","NO"
"Mp1g00290",346.01165845078,0.118605339531731,0.157213257741788,0.754423267066525,0.45059510484571,0.605517440361731,"NO","NO","YES"
"Mp1g00310",84.5348565493075,1.0084203357245,0.362814589859127,2.77943711171055,0.00544531962099881,0.017798433257629,"YES","NO","NO"
"Mp1g00320",2506.90409451296,0.0899811329295711,0.239673514980927,0.375432107868621,0.707339129675954,0.817531787709544,"NO","NO","YES"
"Mp1g00330",178.251213117893,-0.119569498112221,0.149767804352605,-0.798365834560231,0.424658223758458,0.582122375280203,"NO","NO","YES"
"Mp1g00340",1832.52383184527,-0.247709101607055,0.128379458015686,-1.92950730152474,0.0536679145165363,0.119063781962536,"NO","NO","YES"
