type	cluster	run	Tag	Alg	F1_test	AUCROC_test	AUCROC_test_sd
mp_rna	C1	neg_C1_1	no_lasso	RF	0.707951	0.8232028053769727	0.00880762
mp_rna	C1	neg_C1_10	no_lasso	RF	0.722871	0.6964348334307422	0.006701875
mp_rna	C1	neg_C1_2	no_lasso	RF	0.721683	0.7575394506136762	0.004271012
mp_rna	C1	neg_C1_3	no_lasso	RF	0.711475	0.740210403	0.010365609295516628
mp_rna	C1	neg_C1_4	no_lasso	RF	0.725329	0.7646697837521916	0.008757105
mp_rna	C1	neg_C1_5	no_lasso	RF	0.71757	0.7261835184102864	0.009636396
mp_rna	C1	neg_C1_6	no_lasso	RF	0.709832	0.801811806	0.006212551
mp_rna	C1	neg_C1_7	no_lasso	RF	0.713264	0.6799240210403272	0.005501397
mp_rna	C1	neg_C1_8	no_lasso	RF	0.716981	0.7753945061367621	0.007495147
mp_rna	C1	neg_C1_9	no_lasso	RF	0.714617	0.7618351841028639	0.00932382
mp_rna	C2	neg_C2_1	no_lasso	RF	0.69661	0.7872136609745939	0.004815676
mp_rna	C2	neg_C2_10	no_lasso	RF	0.715219	0.751103707	0.00829062
mp_rna	C2	neg_C2_2	no_lasso	RF	0.703985	0.8013327780091629	0.007290414
mp_rna	C2	neg_C2_3	no_lasso	RF	0.691137	0.7787588504789671	0.009351732
mp_rna	C2	neg_C2_4	no_lasso	RF	0.697345	0.7000416493127863	0.005388076
mp_rna	C2	neg_C2_5	no_lasso	RF	0.708333	0.6471053727613494	0.008009348
mp_rna	C2	neg_C2_6	no_lasso	RF	0.705545	0.6966680549770927	0.004097962
mp_rna	C2	neg_C2_7	no_lasso	RF	0.689972	0.6886297376093294	0.004767709
mp_rna	C2	neg_C2_8	no_lasso	RF	0.692737	0.7493127863390254	0.006076947
mp_rna	C2	neg_C2_9	no_lasso	RF	0.693878	0.7606830487296958	0.006609524
mp_rna	C3	neg_C3_1	no_lasso	RF	0.698529	0.8883680555555555	0.003645833
mp_rna	C3	neg_C3_10	no_lasso	RF	0.716049	0.8135416666666666	0.006364688
mp_rna	C3	neg_C3_2	no_lasso	RF	0.742616	0.6418402777777779	0.009022768
mp_rna	C3	neg_C3_3	no_lasso	RF	0.703633	0.7456597222222222	0.009095963
mp_rna	C3	neg_C3_4	no_lasso	RF	0.683897	0.6298611111111112	0.009047788
mp_rna	C3	neg_C3_5	no_lasso	RF	0.71785	0.6494791666666666	0.010195865875018048
mp_rna	C3	neg_C3_6	no_lasso	RF	0.710018	0.8446180555555557	0.012573329
mp_rna	C3	neg_C3_7	no_lasso	RF	0.716636	0.7602430555555555	0.011449122981803865
mp_rna	C3	neg_C3_8	no_lasso	RF	0.743083	0.7819444444444443	0.006073908
mp_rna	C3	neg_C3_9	no_lasso	RF	0.715328	0.8375	0.007250213
mp_rna	C4	neg_C4_1	no_lasso	RF	0.693122	0.7073061224489795	0.008345816
mp_rna	C4	neg_C4_10	no_lasso	RF	0.688299	0.748	0.010475095
mp_rna	C4	neg_C4_2	no_lasso	RF	0.699507	0.5948979591836735	0.012266987
mp_rna	C4	neg_C4_3	no_lasso	RF	0.674249	0.7133469387755101	0.003130109
mp_rna	C4	neg_C4_4	no_lasso	RF	0.676157	0.7035102040816327	0.00462937
