gene	cluster
Mp1g00070	C1
Mp1g00170	C2
Mp1g00180	C3
Mp1g00190	C3
Mp1g00210	C1
Mp1g00270	C4
Mp1g00310	C5
Mp1g00340	C1
Mp1g00410	C2
Mp1g00440	C1
Mp1g00530	C6
Mp1g00550	C7
Mp1g00620	C6
Mp1g00990	C5
Mp1g01040	C8
Mp1g01110	C1
Mp1g01270	C5
Mp1g01370	C6
Mp1g01440	C4
Mp1g01450	C1
Mp1g01540	C5
Mp1g01810	C7
Mp1g01840	C8
Mp1g01860	C3
Mp1g01880	C5
Mp1g01950	C4
Mp1g02010	C1
Mp1g02020	C2
Mp1g02040	C2
Mp1g02070	C8
Mp1g02090	C2
Mp1g02150	C6
Mp1g02200	C5
Mp1g02210	C3
Mp1g02260	C7
Mp1g02360	C2
Mp1g02570	C5
Mp1g02660	C6
Mp1g02790	C1
Mp1g02880	C7
Mp1g02885	C1
Mp1g02900	C5
Mp1g02920	C8
Mp1g02930	C5
Mp1g02960	C2
Mp1g02980	C6
Mp1g03020	C3
Mp1g03040	C4
Mp1g03100	C2
Mp1g03140	C4
Mp1g03150	C5
Mp1g03210	C2
Mp1g03240	C5
Mp1g03310	C1
Mp1g03450	C4
Mp1g03640	C2
Mp1g03670	C1
Mp1g03750	C7
Mp1g03760	C7
Mp1g03780	C4
Mp1g03840	C3
Mp1g03950	C6
Mp1g03980	C3
Mp1g04150	C7
Mp1g04160	C5
Mp1g04220	C6
Mp1g04530	C6
Mp1g04650	C5
Mp1g04670	C4
Mp1g04710	C1
Mp1g04750	C7
Mp1g04760	C2
Mp1g04770	C4
Mp1g04830	C6
Mp1g04910	C4
Mp1g04940	C4
Mp1g05090	C6
Mp1g05150	C4
Mp1g05180	C1
Mp1g05190	C6
Mp1g05220	C1
Mp1g05260	C4
Mp1g05310	C1
Mp1g05410	C3
Mp1g05920	C3
Mp1g05990	C6
Mp1g06050	C3
Mp1g06140	C2
Mp1g06180	C1
Mp1g06240	C3
Mp1g06280	C2
Mp1g06340	C1
Mp1g06380	C6
Mp1g06440	C7
Mp1g06470	C2
Mp1g06600	C6
Mp1g06770	C5
Mp1g06780	C5
Mp1g06880	C2
Mp1g06910	C4
Mp1g06930	C4
Mp1g06980	C7
Mp1g07070	C1
Mp1g07220	C1
Mp1g07250	C4
Mp1g07390	C4
Mp1g07460	C1
Mp1g07470	C6
Mp1g07510	C7
Mp1g07590	C2
Mp1g07620	C7
Mp1g07630	C7
Mp1g07730	C3
Mp1g07760	C2
Mp1g07850	C5
Mp1g07890	C2
Mp1g07900	C8
Mp1g08000	C1
Mp1g08090	C4
Mp1g08130	C7
Mp1g08250	C5
Mp1g08290	C4
Mp1g08390	C6
Mp1g08490	C7
Mp1g08560	C3
Mp1g08755	C1
Mp1g08890	C2
Mp1g08980	C2
Mp1g09100	C2
Mp1g09120	C2
Mp1g09180	C3
Mp1g09190	C3
Mp1g09200	C2
Mp1g09210	C6
Mp1g09290	C6
Mp1g09300	C5
Mp1g09320	C1
Mp1g09370	C6
Mp1g09400	C6
Mp1g09410	C6
Mp1g09420	C1
Mp1g09500	C1
Mp1g09755	C1
Mp1g09800	C8
Mp1g09820	C2
Mp1g09860	C5
Mp1g10020	C1
Mp1g10030	C1
Mp1g10150	C6
Mp1g10170	C6
Mp1g10180	C4
Mp1g10250	C1
Mp1g10260	C6
Mp1g10320	C2
Mp1g10420	C3
Mp1g10590	C6
Mp1g10610	C4
Mp1g10620	C4
Mp1g10640	C5
Mp1g10690	C2
Mp1g10840	C2
Mp1g10940	C7
Mp1g10960	C6
Mp1g10970	C6
Mp1g11070	C6
Mp1g11110	C2
Mp1g11420	C3
Mp1g11430	C6
Mp1g11660	C4
Mp1g11700	C2
Mp1g11770	C7
Mp1g11940	C6
Mp1g12190	C1
Mp1g12290	C1
Mp1g12310	C2
Mp1g12420	C7
Mp1g12470	C1
Mp1g12510	C4
Mp1g12530	C2
Mp1g12540	C2
Mp1g12670	C6
Mp1g12800	C5
Mp1g12860	C2
Mp1g12880	C5
Mp1g13010	C3
Mp1g13090	C6
Mp1g13110	C7
Mp1g13140	C1
Mp1g13160	C1
Mp1g13190	C2
Mp1g13200	C5
Mp1g13250	C3
Mp1g13260	C6
Mp1g13290	C4
Mp1g13390	C4
Mp1g13440	C4
Mp1g13540	C1
Mp1g13560	C2
Mp1g13590	C3
Mp1g13700	C1
Mp1g13940	C6
Mp1g14270	C6
Mp1g14470	C4
Mp1g14600	C6
Mp1g14610	C1
Mp1g14640	C4
Mp1g14720	C1
Mp1g14840	C6
Mp1g14970	C4
Mp1g15090	C4
Mp1g15150	C1
Mp1g15240	C2
Mp1g15430	C5
Mp1g15480	C6
Mp1g15580	C6
Mp1g15590	C4
Mp1g15660	C6
Mp1g15700	C4
Mp1g15860	C2
Mp1g15880	C3
Mp1g15890	C3
Mp1g15980	C6
Mp1g15990	C6
Mp1g16110	C4
Mp1g16160	C4
Mp1g16210	C2
Mp1g16260	C3
Mp1g16280	C2
Mp1g16320	C5
Mp1g16340	C6
Mp1g16390	C6
Mp1g16450	C2
Mp1g16520	C2
Mp1g16530	C2
Mp1g16590	C3
Mp1g16700	C6
Mp1g16820	C2
Mp1g17070	C5
Mp1g17090	C1
Mp1g17150	C5
Mp1g17210	C1
Mp1g17415	C5
Mp1g17450	C5
Mp1g17490	C2
Mp1g17560	C8
Mp1g17600	C6
Mp1g17610	C7
Mp1g17660	C5
Mp1g17670	C7
Mp1g17820	C2
Mp1g17840	C7
Mp1g17860	C4
Mp1g17910	C7
Mp1g17960	C8
Mp1g18140	C1
Mp1g18170	C6
Mp1g18300	C3
Mp1g18440	C5
Mp1g18540	C4
Mp1g18650	C2
Mp1g18740	C4
Mp1g18780	C6
Mp1g18800	C2
Mp1g18890	C6
Mp1g18910	C4
Mp1g19030	C4
Mp1g19050	C1
Mp1g19100	C2
