gene	RNA_cluster	ATAC_cluster
Mp1g01880	C5	C6
Mp1g02930	C5	C6
Mp1g04650	C5	C6
Mp1g17415	C5	C6
Mp2g00690	C5	C6
Mp2g10010	C5	C6
Mp2g13430	C5	C6
Mp2g26740	C5	C6
Mp3g01890	C5	C6
Mp3g11880	C5	C6
Mp3g14180	C5	C6
Mp3g20870	C5	C6
Mp3g23970	C5	C6
Mp4g01260	C5	C6
Mp4g03600	C5	C6
Mp4g06390	C5	C6
Mp4g09680	C5	C6
Mp4g09760	C5	C6
Mp4g14600	C5	C6
Mp4g20540	C5	C6
Mp5g04910	C5	C6
Mp5g08320	C5	C6
Mp5g11160	C5	C6
Mp5g14820	C5	C6
Mp5g16770	C5	C6
Mp5g18680	C5	C6
Mp5g19560	C5	C6
Mp6g05600	C5	C6
Mp6g14200	C5	C6
Mp6g15610	C5	C6
Mp7g05480	C5	C6
Mp7g05830	C5	C6
Mp8g03510	C5	C6
Mp8g06780	C5	C6
Mp8g08450	C5	C6
Mp8g10420	C5	C6
