id,tak_cntr_1,tak_cntr_2,tak_cntr_3,dko_cntr_1,dko_cntr_2,dko_cntr_3,tak_hs_1,tak_hs_2,tak_hs_3,dko_hs_1,dko_hs_2,dko_hs_3
Mp1g00005a,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00015a,0,0,0,0,0,0,0,0,0,0,1,0
Mp1g00015b,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00015c,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00015d,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00025a,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00025b,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00025c,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00025d,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00025e,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035a,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035b,0,2,0,0,0,0,0,0,0,0,0,0
Mp1g00035c,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035d,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035e,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035f,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035g,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035h,0,1,0,0,0,1,0,1,0,0,1,2
Mp1g00035i,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035j,5,7,13,5,4,2,11,3,7,3,8,21
Mp1g00035k,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00035l,11,9,6,13,5,2,5,5,7,0,9,27
Mp1g00035m,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00045a,0,1,0,0,0,0,0,5,1,0,5,2
Mp1g00045b,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00045c,1,0,2,0,0,0,0,0,0,0,1,1
Mp1g00045d,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00045e,0,1,0,0,0,0,0,0,0,0,0,0
Mp1g00045f,0,0,0,0,0,0,0,0,0,0,0,0
Mp1g00045g,0,0,0,0,0,0,0,0,0,0,0,0
