	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106	s107	s108	s109	s110	s111	s112	s113	s114	s115	s116	s117	s118	s119	s120
Mp1g00055k	7.494361845	7.399339439	7.714001646	7.764586716	7.642626477	7.252863315	7.740568274	7.350692527	7.704857186	7.391195238	7.520772599	8.247877834	7.703208824	7.406203254	7.49248562	7.44478135	7.572019632	7.543972773	7.461772039	7.410759531	7.367783288	7.573082047	7.474420743	7.463071651
Mp1g00070	8.152949962	8.41972249	8.087784363	7.949268103	8.11229393	8.072972475	8.002805792	8.152282397	7.981506533	7.865810927	7.870410779	7.813346102	8.38829284	8.007230613	7.966214616	7.921883178	8.393261905	8.196149749	7.731804234	8.275615464	8.210082116	8.305915873	8.315102337	8.06640731
Mp1g00080	12.90277777	13.00363398	13.39187766	12.99893838	12.97353642	12.93466528	12.93487006	12.92735889	12.97607735	12.88720659	12.86121112	12.78376932	12.97932934	12.95841455	13.05608278	13.21661552	13.03331173	13.06739712	13.00701581	13.36592722	12.81070952	12.95660837	12.88281275	12.66905722
Mp1g00090	10.98141037	10.96274078	10.71556713	10.80635024	10.83199984	10.81785362	11.00273868	10.9199271	10.93902067	10.96672592	10.98170428	11.01622409	10.94810852	11.08287231	10.98262709	10.90338014	10.85317939	10.85857741	10.88498206	10.7882942	10.7045343	10.61938454	10.70560096	10.78700366
Mp1g00100	10.81996937	10.8099389	10.45537644	10.60156932	10.65646328	10.73275529	10.8686005	10.72137647	10.6789686	10.47218368	10.45328659	10.39580565	10.5172623	10.74762444	10.89894123	10.71594626	10.56533548	10.64053635	10.90993023	10.60657834	10.40562156	10.33430001	10.55961549	10.63928581
Mp1g00110	9.354314805	9.463754682	9.98872037	9.270332768	9.265722038	9.385081577	9.454520759	9.557244432	9.590194388	9.491141242	9.41864501	9.44415571	9.450641345	9.346200322	9.831711442	9.723766656	9.34275212	9.393791506	9.682678774	9.954624436	8.954534092	9.331488772	9.492909977	9.278352241
Mp1g00120	10.53885611	10.47032943	10.23623084	10.50884022	10.49655379	10.46979115	10.37863356	10.37614358	10.32363943	10.31257835	10.33569813	10.33022115	10.41660787	10.21316746	10.34553841	10.2558037	10.31199663	10.14613874	10.46859664	10.29174649	10.19698504	10.22619923	10.24140341	10.21039767
Mp1g00140	12.35043179	12.40438807	12.12989783	12.31908682	12.38658648	12.39449617	12.44408434	12.43244873	12.46274759	11.84914141	11.96306198	11.94377778	11.97639592	11.94248777	12.78295853	12.44342725	11.95796074	11.89904783	12.66157861	12.20063738	11.94409418	11.86091502	12.35713827	12.423459
Mp1g00160	10.75808701	10.71301096	11.04537409	10.75866162	10.85893141	10.78580792	11.34069748	11.36663798	11.34501108	11.13865631	11.11862738	11.07628785	10.91694388	10.8136583	11.2152483	11.13118308	10.95760929	10.93004212	11.25016748	11.13983207	10.63041688	10.62741712	10.97488655	10.90260934
Mp1g00170	9.185488046	9.196660821	8.331319972	9.431654102	9.333883412	9.086256348	12.46095408	12.59171892	12.53105781	9.178986396	9.323001872	9.201920234	9.332001304	9.30990285	12.3259226	9.533947279	9.33622691	9.275672352	12.3188521	9.55832311	9.29028809	9.414381286	12.13838203	12.25734941
Mp1g00180	8.504039896	8.32312398	8.107770477	7.764586716	7.616153112	7.460306822	7.992739091	8.320622408	8.445735937	7.990502922	8.184601888	8.177208414	7.6021747	7.527489322	9.211344266	7.674316738	7.638526158	7.626034775	9.191585922	7.679158087	7.603855195	7.676208316	9.125322822	9.156614043
Mp1g00190	9.428620995	9.53497017	9.529571979	9.72523404	9.619485578	9.574332446	10.44213941	10.47161792	10.53564425	9.693222792	9.72172347	9.829547427	9.628669401	9.459128747	10.26405024	9.774649849	9.634977967	9.66756603	10.42381459	9.798832839	9.93498173	10.02918574	10.74573453	10.64427374
Mp1g00210	9.956781453	10.00434344	9.493514763	9.598726828	9.814206507	9.557907148	9.373947827	9.538682811	9.242233588	10.16043031	10.18604651	10.14986293	10.14152995	10.16932942	8.783024979	10.00992955	10.29476896	10.18205726	8.900913614	9.954624436	10.43317782	10.22973233	9.195519205	9.156614043
Mp1g00220	10.56881402	10.51064483	10.21849894	10.51408015	10.44815485	10.41385326	10.85818989	10.81218724	10.90236487	10.80659448	10.66832739	10.54630151	10.36957684	10.43628279	10.90625659	10.93190661	10.37343929	10.31435126	10.93503063	10.77346339	10.50502613	10.42941345	10.83441228	10.83946914
Mp1g00230	11.46986333	11.59807069	11.37479557	11.74572573	11.68034623	11.64482696	11.46994623	11.39007394	11.47622147	11.48037778	11.38088624	11.47692983	11.46678075	11.48229574	11.51511264	11.44400867	11.35349641	11.37311291	11.4960025	11.35268663	11.57923097	11.47859588	11.37649575	11.52013163
Mp1g00240	7.461262772	7.538818118	7.265466868	7.400157871	7.399676453	7.559543394	7.480504011	7.764839806	7.796690372	7.612212212	7.640515493	7.561118702	7.639681186	7.939752786	7.329117719	7.599856533	7.799803883	7.873306589	7.320021431	7.684829439	7.518423905	7.52442238	7.67320189	7.645299956
Mp1g00250	11.91536745	11.88390676	12.19437074	11.99463373	12.00894986	11.95103188	11.80531904	11.74323272	11.68375114	11.75271154	11.76625307	11.75782928	11.79592955	11.68866605	11.8845246	11.86381406	11.78800239	11.80578461	11.98253694	11.91128499	12.07407634	12.17576298	12.01178667	11.94016579
Mp1g00270	10.27343896	10.33224055	11.06524928	10.51930094	10.62297933	10.54432087	10.40437628	10.44378111	10.42342027	11.54843069	11.54956816	11.42428098	10.35900208	9.907910459	10.71601084	11.40668986	10.39128989	10.05743892	10.68466166	11.43556557	10.51020711	10.6837008	10.85860128	10.84936585
Mp1g00290	9.077583136	9.042222215	8.909941168	9.195382025	9.300227694	9.288115344	9.04097368	8.975533243	8.772766142	9.352087783	9.235342876	9.268327986	9.101337675	8.885345673	8.816158921	9.197675648	9.000295391	9.062346902	8.942418868	8.905734596	9.035087106	9.072006823	8.800503999	8.906625639
Mp1g00310	7.640975459	7.880751135	8.289983353	7.994968436	8.037855076	7.787997151	7.766480467	7.962860641	7.655069095	8.186310014	8.094086839	8.110391388	7.992919678	7.710590439	7.87811781	7.980094337	7.926726926	7.606300256	7.659039033	8.091176169	7.927003472	7.999645092	8.275434742	8.129225688
Mp1g00320	11.27098652	11.13978732	10.22048011	11.18949716	11.01989477	11.21304405	11.654065	11.66197842	11.49477858	11.97907697	11.89705899	11.88658513	11.21081147	11.42473822	11.32563609	11.51438583	11.2067341	11.25052578	11.31734051	11.32655794	11.46692693	11.3142425	11.40956224	11.4138894
