GO.ID	q.value
GO:0044699	5.72e-27
GO:0006869	4.004e-20
GO:0010876	5.72e-18
GO:1902578	8.723e-17
GO:0044765	2.174e-15
GO:0051179	2.955e-15
GO:0006810	6.292e-15
GO:0051234	6.292e-15
GO:0044550	3.94e-13
GO:0044710	6.292e-13
GO:0033036	1.352e-12
GO:0019748	1.907e-12
GO:0009266	4.048e-12
GO:0009408	2.574e-11
GO:0006950	3.813e-10
GO:0044711	1.502e-09
GO:0050896	3.129e-09
GO:0009628	3.178e-09
GO:0044763	1.596e-08
GO:0071702	4.004e-08
GO:0042221	3.269e-07
GO:0006542	5.2e-07
GO:0008152	7.71e-07
GO:0051704	1.311e-06
GO:0010035	2.517e-06
GO:0009308	3.3e-06
GO:0072488	4.873e-06
GO:0015696	2.451e-05
GO:0055085	2.761e-05
GO:0032502	3.432e-05
GO:0009831	3.69e-05
GO:1901700	3.933e-05
GO:0048856	6.561e-05
GO:0042547	6.561e-05
GO:0072522	7.027e-05
GO:0006680	7.15e-05
GO:0030004	7.773e-05
GO:0030641	7.773e-05
GO:0051453	7.773e-05
GO:0032989	0.0001258
GO:0042451	0.0001498
GO:0046129	0.0001498
GO:0009653	0.000169
GO:0019755	0.000169
GO:0044767	0.000178
GO:0000902	0.0001826
GO:0009605	0.0001826
GO:0043207	0.0002218
GO:0051707	0.0002218
GO:0006678	0.000242
GO:0009399	0.000242
GO:0016043	0.000242
GO:0009987	0.0002914
GO:0001101	0.0002962
GO:0015695	0.0002962
GO:0032501	0.0002962
GO:0009825	0.0003412
GO:0009163	0.0003781
GO:0042455	0.0003781
GO:0009127	0.000497
GO:0009168	0.000497
GO:0009607	0.0004982
GO:0010951	0.0005273
GO:0052548	0.0005273
GO:0010466	0.0006327
GO:0052547	0.0006327
GO:0045861	0.0006798
GO:0071704	0.0006798
GO:1901137	0.0006798
GO:0006643	0.0007599
GO:0009156	0.0007944
GO:0071840	0.0007944
GO:0046686	0.0008503
GO:1901659	0.0008503
GO:0098542	0.0009152
GO:0044707	0.0009657
GO:0010038	0.0009657
GO:0006817	0.001073
GO:0008215	0.001073
GO:0055067	0.001073
GO:0015843	0.0012
GO:0051346	0.00124
GO:0055114	0.00124
GO:0009124	0.001346
GO:0009152	0.001346
GO:0006164	0.001446
GO:0009084	0.001446
GO:0007275	0.001607
GO:0006457	0.001607
GO:0009409	0.001746
GO:0019377	0.001746
GO:0046477	0.001746
GO:0046479	0.001746
GO:0046514	0.001746
GO:0098662	0.001746
GO:0051274	0.001788
GO:0009260	0.001868
GO:0046390	0.001868
GO:0042908	0.002311
GO:0098660	0.002402
GO:0006885	0.002805
GO:0006677	0.002805
GO:0006687	0.002805
GO:0030149	0.002805
GO:0006665	0.002942
GO:0008360	0.003076
GO:0009827	0.003314
GO:0006557	0.003568
GO:0046499	0.003568
GO:0006970	0.003952
GO:0046466	0.004277
GO:0032269	0.004852
GO:0016049	0.004974
GO:0040007	0.004974
GO:0051248	0.004974
GO:0098655	0.005424
GO:0060560	0.005867
GO:0018106	0.006249
GO:0010345	0.006249
GO:0022414	0.00715
GO:0006725	0.007842
GO:0006672	0.007842
GO:0006013	0.007842
GO:0006597	0.007842
GO:0010033	0.008237
GO:0006541	0.008938
GO:0048519	0.008938
GO:0009826	0.008938
GO:0033993	0.01109
GO:0006754	0.01127
GO:0030244	0.01127
GO:0006595	0.01127
GO:0019740	0.01153
GO:0046467	0.01153
GO:0009828	0.01271
GO:0010605	0.01329
GO:0010118	0.01329
GO:0007062	0.01329
GO:0015840	0.01329
GO:0042938	0.01329
GO:0071941	0.01329
GO:0090407	0.01329
GO:0048523	0.01351
GO:0044237	0.01351
GO:0018202	0.0145
GO:0022603	0.0145
GO:0007049	0.01595
GO:0006261	0.01816
GO:0016071	0.01881
GO:0006952	0.01983
GO:0009145	0.01994
GO:0009206	0.01994
GO:0097305	0.02019
GO:0050789	0.02043
GO:0007017	0.0214
GO:0048229	0.02163
GO:0003006	0.02172
GO:0009737	0.02172
GO:0006949	0.02241
GO:0097502	0.02241
GO:0009651	0.02241
GO:0051273	0.02241
GO:0006169	0.02241
GO:0033258	0.02241
GO:0033259	0.02241
GO:0034757	0.02241
GO:0046086	0.02241
GO:0070478	0.02241
GO:0072489	0.02241
GO:0080181	0.02241
GO:1902065	0.02241
GO:0030104	0.02361
GO:0022604	0.02372
GO:0009250	0.02372
GO:0009404	0.02372
GO:0006979	0.02372
GO:0048731	0.02521
GO:0009116	0.02539
GO:0008361	0.02588
GO:0050793	0.02638
GO:0008295	0.02736
GO:0051415	0.02736
GO:0051418	0.02736
GO:0090307	0.02736
GO:0009058	0.02814
GO:1901360	0.0286
GO:0009725	0.02875
GO:0015672	0.02921
GO:0044238	0.02965
GO:0010119	0.02965
GO:0010256	0.02965
GO:0006487	0.03021
GO:0006833	0.03021
GO:0042044	0.03021
GO:0033554	0.03021
GO:0071669	0.03123
GO:1901135	0.03273
GO:0009309	0.03273
GO:0009407	0.03273
GO:0042401	0.03273
GO:0090487	0.03273
GO:0009719	0.0337
GO:0031324	0.03404
GO:0009414	0.03404
GO:0045087	0.03404
GO:0009165	0.03443
GO:2001057	0.03558
GO:0072521	0.03558
GO:1902850	0.03558
GO:0071396	0.0365
GO:0046128	0.03687
GO:0046483	0.03696
GO:0009201	0.03858
GO:0009791	0.03858
GO:0006811	0.03858
GO:0048589	0.03919
GO:0009415	0.03954
GO:0042278	0.04019
GO:1901293	0.04019
GO:0010104	0.04019
GO:0052542	0.04019
GO:0070297	0.04019
GO:0009631	0.04107
GO:0015850	0.04107
GO:1902580	0.04107
GO:0006796	0.04107
GO:0034220	0.04107
GO:0006664	0.0434
GO:0006955	0.04411
GO:0070085	0.04411
GO:0006397	0.04411
GO:0006517	0.04411
GO:0015837	0.04411
GO:0031570	0.04411
GO:0042822	0.04411
GO:0042823	0.04411
GO:0006576	0.04586
GO:0015793	0.04642
GO:0006285	0.04642
GO:0034756	0.04642
GO:0045048	0.04642
GO:0071258	0.04642
GO:0080148	0.04642
GO:1901684	0.04642
GO:0009142	0.04767
GO:0042542	0.04767
