GO.ID	q.value
GO:0031222	2.917e-12
GO:0009408	4.862e-12
GO:0031221	7.627e-12
GO:0045493	8.58e-11
GO:0044710	8.466e-10
GO:0046686	4.671e-08
GO:0055114	8.008e-08
GO:0009266	1.287e-07
GO:0010035	9.533e-07
GO:0010038	1.258e-06
GO:0008152	1.43e-06
GO:0006457	1.43e-06
GO:0000272	2.068e-06
GO:0016052	2.942e-06
GO:0009628	3.203e-06
GO:0045491	6.793e-06
GO:0009644	1.144e-05
GO:0044724	1.589e-05
GO:0090377	0.0001144
GO:0009314	0.0002116
GO:0009686	0.0004086
GO:0009416	0.0004477
GO:0016102	0.0004477
GO:0009685	0.0005005
GO:0010410	0.000902
GO:0009642	0.000902
GO:0044699	0.001164
GO:0019464	0.001164
GO:0016101	0.001164
GO:0042542	0.001251
GO:0048608	0.001251
GO:0061458	0.001251
GO:0009791	0.001629
GO:0003006	0.001682
GO:0022412	0.001961
GO:0010383	0.002383
GO:0006546	0.002474
GO:0009615	0.002709
GO:0000162	0.003488
GO:0046219	0.003488
GO:0090378	0.003488
GO:0044702	0.004086
GO:0022414	0.00572
GO:0009071	0.005847
GO:0005976	0.005847
GO:0044283	0.006217
GO:0006568	0.007031
GO:0006586	0.007031
GO:0044712	0.007704
GO:0044036	0.009152
GO:0090376	0.0121
GO:0044238	0.0121
GO:0010186	0.01403
GO:0006629	0.01589
GO:0007275	0.01768
GO:0009740	0.02043
GO:0010476	0.02107
GO:0071370	0.02268
GO:0044707	0.02306
GO:0009309	0.02306
GO:0042401	0.02306
GO:0009826	0.02306
GO:0045165	0.02542
GO:0006544	0.02681
GO:0048731	0.02816
GO:0071554	0.03467
GO:0016053	0.03565
GO:0046394	0.03565
GO:0002943	0.03565
GO:0009073	0.03706
GO:0005975	0.03706
GO:0045490	0.03813
GO:0042435	0.04153
GO:0060560	0.04251
GO:0010154	0.04805
GO:0010185	0.04892
