"interaction","MI","name","pvalue","selected","shared.interaction","source","target","weight","source_TF","target_TF","presence"
"interacts with",0.827597567765378,"Mp1g09420 (interacts with) Mp7g18030",0.0491152351220638,"false","interacts with","Mp1g09420","Mp7g18030",0.047676340662661,"MYB",NA,""
"interacts with",1.05251538282868,"Mp2g00890 (interacts with) Mp2g02750",1.2337530996831e-10,"false","interacts with","Mp2g00890","Mp2g02750",0.0372672795264676,"bHLH",NA,""
"interacts with",0.895636813663294,"Mp1g09420 (interacts with) Mp5g09620",1.2337530996831e-10,"false","interacts with","Mp1g09420","Mp5g09620",0.0427011443623189,"MYB",NA,""
"interacts with",1.10361511769694,"Mp2g00890 (interacts with) Mp6g05540",0,"false","interacts with","Mp2g00890","Mp6g05540",0.0366795289834787,"bHLH",NA,""
"interacts with",0.94342401890655,"Mp2g07130 (interacts with) Mp4g00380",0.00525516972422113,"false","interacts with","Mp2g07130","Mp4g00380",0.113325889126699,"bHLH","AP2/ERF",""
"interacts with",1.00234468647682,"Mp2g00890 (interacts with) Mp2g24920",0.0491152351220638,"false","interacts with","Mp2g00890","Mp2g24920",0.0366167886088481,"bHLH",NA,"source"
"interacts with",1.05114423098101,"Mp2g07130 (interacts with) Mp4g23630",0,"false","interacts with","Mp2g07130","Mp4g23630",0.0933106195034965,"bHLH",NA,""
"interacts with",0.96638437084754,"Mp2g00890 (interacts with) Mp4g21180",1.2337530996831e-10,"false","interacts with","Mp2g00890","Mp4g21180",0.0365442334763249,"bHLH",NA,""
"interacts with",1.01256014849974,"Mp2g07130 (interacts with) Mp5g24400",4.77781991630177e-05,"false","interacts with","Mp2g07130","Mp5g24400",0.0894699018722401,"bHLH",NA,""
"interacts with",1.05194383428312,"Mp2g00890 (interacts with) Mp5g13090",0,"false","interacts with","Mp2g00890","Mp5g13090",0.0360525134059769,"bHLH",NA,""
"interacts with",1.00257419690285,"Mp2g07130 (interacts with) Mp5g10690",1.80950454620188e-09,"false","interacts with","Mp2g07130","Mp5g10690",0.0862238201592701,"bHLH",NA,""
"interacts with",0.937414890431547,"Mp2g00890 (interacts with) Mp4g18900",0,"false","interacts with","Mp2g00890","Mp4g18900",0.0359857885868924,"bHLH",NA,""
"interacts with",0.968817017130741,"Mp2g07130 (interacts with) Mp4g13480",1.80950454620188e-09,"false","interacts with","Mp2g07130","Mp4g13480",0.0847816341941695,"bHLH",NA,""
"interacts with",1.04298458094023,"Mp2g00890 (interacts with) Mp2g25250",0,"false","interacts with","Mp2g00890","Mp2g25250",0.0357656314876302,"bHLH",NA,""
"interacts with",0.895889133986785,"Mp2g07130 (interacts with) Mp4g22420",4.77781991630177e-05,"false","interacts with","Mp2g07130","Mp4g22420",0.0843426915474174,"bHLH",NA,""
"interacts with",1.02773401782109,"Mp2g00890 (interacts with) Mp4g05950",1.2337530996831e-10,"false","interacts with","Mp2g00890","Mp4g05950",0.035729719380655,"bHLH",NA,""
"interacts with",0.960293996273446,"Mp2g07130 (interacts with) Mp2g09820",0.00525516972422113,"false","interacts with","Mp2g07130","Mp2g09820",0.0840227134615782,"bHLH",NA,""
"interacts with",1.0115579177086,"Mp2g00890 (interacts with) Mp3g00090",4.77781991630177e-05,"false","interacts with","Mp2g00890","Mp3g00090",0.0356205284825661,"bHLH",NA,""
"interacts with",0.96672956584903,"Mp2g07130 (interacts with) Mp3g06570",0.00525516972422113,"false","interacts with","Mp2g07130","Mp3g06570",0.0836637789005924,"bHLH",NA,"source"
"interacts with",1.06173538496869,"Mp2g00890 (interacts with) Mp2g22750",4.77781991630177e-05,"false","interacts with","Mp2g00890","Mp2g22750",0.0354218646718946,"bHLH",NA,""
"interacts with",0.954108144174594,"Mp2g07130 (interacts with) Mp3g13640",0.0491152351220638,"false","interacts with","Mp2g07130","Mp3g13640",0.0808301843810633,"bHLH",NA,""
"interacts with",1.01441953203964,"Mp2g00890 (interacts with) Mp2g06090",4.10292818320279e-06,"false","interacts with","Mp2g00890","Mp2g06090",0.0346659536623275,"bHLH",NA,""
"interacts with",1.00022546085079,"Mp2g07130 (interacts with) Mpzg00970",0.00525516972422113,"false","interacts with","Mp2g07130","Mpzg00970",0.079012942121037,"bHLH",NA,""
"interacts with",0.977750428750886,"Mp2g00890 (interacts with) Mp3g18710",1.80950454620188e-09,"false","interacts with","Mp2g00890","Mp3g18710",0.0345671700302221,"bHLH",NA,""
"interacts with",0.87694016736875,"Mp2g07130 (interacts with) Mp4g13720",4.77781991630177e-05,"false","interacts with","Mp2g07130","Mp4g13720",0.0753859399745592,"bHLH",NA,""
"interacts with",1.05847934532539,"Mp2g00890 (interacts with) Mp7g17950",0,"false","interacts with","Mp2g00890","Mp7g17950",0.0342542787520165,"bHLH",NA,""
"interacts with",0.992522930828298,"Mp2g07130 (interacts with) Mp6g01550",2.50863130268897e-08,"false","interacts with","Mp2g07130","Mp6g01550",0.0734689533120118,"bHLH",NA,""
"interacts with",0.855524378270895,"Mp2g00890 (interacts with) Mp6g01270",4.10292818320279e-06,"false","interacts with","Mp2g00890","Mp6g01270",0.0341702586628716,"bHLH",NA,""
"interacts with",1.01814461540603,"Mp2g07130 (interacts with) Mp1g02260",0.0491152351220638,"false","interacts with","Mp2g07130","Mp1g02260",0.0730253221460148,"bHLH",NA,""
"interacts with",0.963174014828133,"Mp2g00890 (interacts with) Mp2g15260",4.77781991630177e-05,"false","interacts with","Mp2g00890","Mp2g15260",0.0333646944519291,"bHLH",NA,""
"interacts with",1.00919506873429,"Mp2g07130 (interacts with) Mp5g14320",0.00525516972422113,"false","interacts with","Mp2g07130","Mp5g14320",0.0680325292462954,"bHLH",NA,""
"interacts with",0.894427749650275,"Mp2g00890 (interacts with) Mp8g06260",0.000519722400126321,"false","interacts with","Mp2g00890","Mp8g06260",0.0331521175092975,"bHLH",NA,""
"interacts with",0.954606123854706,"Mp2g07130 (interacts with) Mp4g10330",0.0491152351220638,"false","interacts with","Mp2g07130","Mp4g10330",0.0634834698171017,"bHLH",NA,""
"interacts with",0.994748166571362,"Mp2g00890 (interacts with) Mp2g02120",4.10292818320279e-06,"false","interacts with","Mp2g00890","Mp2g02120",0.0331317335603421,"bHLH",NA,"source"
"interacts with",0.950486652894408,"Mp2g07130 (interacts with) Mp2g04400",0.00525516972422113,"false","interacts with","Mp2g07130","Mp2g04400",0.0622586209020111,"bHLH",NA,""
"interacts with",0.999389962033375,"Mp2g00890 (interacts with) Mp1g23760",1.80950454620188e-09,"false","interacts with","Mp2g00890","Mp1g23760",0.0330765643575262,"bHLH",NA,""
"interacts with",0.917409610062655,"Mp2g07130 (interacts with) Mp5g05730",0.000519722400126321,"false","interacts with","Mp2g07130","Mp5g05730",0.0621408194039702,"bHLH",NA,""
"interacts with",0.953677006766445,"Mp2g00890 (interacts with) Mp2g02820",0.00525516972422113,"false","interacts with","Mp2g00890","Mp2g02820",0.0327625649692932,"bHLH",NA,""
"interacts with",0.91361884964575,"Mp2g07130 (interacts with) Mp8g04890",0,"false","interacts with","Mp2g07130","Mp8g04890",0.0608666076146696,"bHLH",NA,""
"interacts with",0.973814786584745,"Mp2g00890 (interacts with) Mp2g12890",4.10292818320279e-06,"false","interacts with","Mp2g00890","Mp2g12890",0.0326416247062955,"bHLH",NA,""
"interacts with",0.827337503702407,"Mp2g07130 (interacts with) Mp2g14870",0.0491152351220638,"false","interacts with","Mp2g07130","Mp2g14870",0.059435826282121,"bHLH",NA,""
"interacts with",1.03440846463245,"Mp2g00890 (interacts with) Mp2g15510",0.0491152351220638,"false","interacts with","Mp2g00890","Mp2g15510",0.0324432347723707,"bHLH",NA,""
"interacts with",0.963810128307948,"Mp2g07130 (interacts with) Mp2g06140",4.77781991630177e-05,"false","interacts with","Mp2g07130","Mp2g06140",0.0532034913113314,"bHLH",NA,""
"interacts with",1.01559099003807,"Mp2g00890 (interacts with) Mp7g02500",0.000519722400126321,"false","interacts with","Mp2g00890","Mp7g02500",0.0323840641139295,"bHLH",NA,""
"interacts with",0.908069722314185,"Mp2g07130 (interacts with) Mp7g19220",0.0491152351220638,"false","interacts with","Mp2g07130","Mp7g19220",0.0515297259110145,"bHLH",NA,""
"interacts with",0.880614017898051,"Mp2g00890 (interacts with) Mp5g11490",4.77781991630177e-05,"false","interacts with","Mp2g00890","Mp5g11490",0.0322911584793191,"bHLH",NA,""
"interacts with",0.960291904772125,"Mp2g07130 (interacts with) Mp3g14380",4.10292818320279e-06,"false","interacts with","Mp2g07130","Mp3g14380",0.0515083757984146,"bHLH",NA,""
"interacts with",0.896353083376858,"Mp2g00890 (interacts with) Mp2g08510",4.77781991630177e-05,"false","interacts with","Mp2g00890","Mp2g08510",0.0322059017831091,"bHLH",NA,""
"interacts with",0.982737137509873,"Mp2g07130 (interacts with) Mp7g02900",0.0491152351220638,"false","interacts with","Mp2g07130","Mp7g02900",0.0480664062120864,"bHLH",NA,""
"interacts with",0.897872843508213,"Mp2g00890 (interacts with) Mp7g19700",0.00525516972422113,"false","interacts with","Mp2g00890","Mp7g19700",0.0320061286730979,"bHLH",NA,""
"interacts with",1.06970727870681,"Mp2g07130 (interacts with) Mp7g02340",0.0491152351220638,"false","interacts with","Mp2g07130","Mp7g02340",0.0400669858752193,"bHLH",NA,""
"interacts with",1.03337484277113,"Mp2g00890 (interacts with) Mp4g20960",1.80950454620188e-09,"false","interacts with","Mp2g00890","Mp4g20960",0.0319099537263482,"bHLH",NA,""
"interacts with",0.931549507149441,"Mp2g07130 (interacts with) Mp8g04750",0.000519722400126321,"false","interacts with","Mp2g07130","Mp8g04750",0.0384860159964577,"bHLH",NA,""
"interacts with",0.896448233122716,"Mp2g00890 (interacts with) Mp5g24330",0.00525516972422113,"false","interacts with","Mp2g00890","Mp5g24330",0.0317833151160443,"bHLH",NA,""
"interacts with",0.968984707298314,"Mp4g00380 (interacts with) Mp2g07130",0.00525516972422113,"false","interacts with","Mp4g00380","Mp2g07130",0.0898809259843831,"AP2/ERF","bHLH",""
"interacts with",1.07416209080425,"Mp2g00890 (interacts with) Mp6g07910",0,"false","interacts with","Mp2g00890","Mp6g07910",0.0317766834136787,"bHLH",NA,""
"interacts with",1.03547329492003,"Mp4g00380 (interacts with) Mp5g10690",0.0491152351220638,"false","interacts with","Mp4g00380","Mp5g10690",0.0889569580702257,"AP2/ERF",NA,""
"interacts with",1.07293379658494,"Mp2g00890 (interacts with) Mp2g13670",0,"false","interacts with","Mp2g00890","Mp2g13670",0.0317481261983134,"bHLH",NA,""
"interacts with",0.948847423104537,"Mp4g00380 (interacts with) Mp2g09820",3.30563580508425e-07,"false","interacts with","Mp4g00380","Mp2g09820",0.0844679812194449,"AP2/ERF",NA,""
"interacts with",0.997422651712911,"Mp2g00890 (interacts with) Mp6g15110",0.000519722400126321,"false","interacts with","Mp2g00890","Mp6g15110",0.0316988464025893,"bHLH",NA,""
