shared.name,interaction,source,target,MI,pvalue,weight,presence,source_TF,target_TF,presence_rna,presence_rna_revised
Mp1g09420 (interacts with) Mp7g18030,interacts with,Mp1g09420,Mp7g18030,0.827597568,0.049115235,0.047676341,RNA-seq,MYB,NA,source,source
Mp2g00890 (interacts with) Mp2g02750,interacts with,Mp2g00890,Mp2g02750,1.052515383,1.2337530996831e-10,0.03726728,RNA-seq,bHLH,NA,source,source
Mp1g09420 (interacts with) Mp5g09620,interacts with,Mp1g09420,Mp5g09620,0.895636814,1.2337530996831e-10,0.042701144,RNA-seq,MYB,NA,source,source
Mp2g00890 (interacts with) Mp6g05540,interacts with,Mp2g00890,Mp6g05540,1.103615118,0,0.036679529,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp4g00380,interacts with,Mp2g07130,Mp4g00380,0.943424019,0.00525517,0.113325889,RNA-seq,bHLH,AP2/ERF,source,source
Mp2g00890 (interacts with) Mp2g24920,interacts with,Mp2g00890,Mp2g24920,1.002344686,0.049115235,0.036616789,source,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp4g23630,interacts with,Mp2g07130,Mp4g23630,1.051144231,0,0.09331062,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp4g21180,interacts with,Mp2g00890,Mp4g21180,0.966384371,1.2337530996831e-10,0.036544233,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp5g24400,interacts with,Mp2g07130,Mp5g24400,1.012560148,4.77781991630177e-05,0.089469902,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp5g13090,interacts with,Mp2g00890,Mp5g13090,1.051943834,0,0.036052513,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp5g10690,interacts with,Mp2g07130,Mp5g10690,1.002574197,1.80950454620188e-09,0.08622382,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp4g18900,interacts with,Mp2g00890,Mp4g18900,0.93741489,0,0.035985789,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp4g13480,interacts with,Mp2g07130,Mp4g13480,0.968817017,1.80950454620188e-09,0.084781634,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g25250,interacts with,Mp2g00890,Mp2g25250,1.042984581,0,0.035765631,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp4g22420,interacts with,Mp2g07130,Mp4g22420,0.895889134,4.77781991630177e-05,0.084342692,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp4g05950,interacts with,Mp2g00890,Mp4g05950,1.027734018,1.2337530996831e-10,0.035729719,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp2g09820,interacts with,Mp2g07130,Mp2g09820,0.960293996,0.00525517,0.084022713,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp3g00090,interacts with,Mp2g00890,Mp3g00090,1.011557918,4.77781991630177e-05,0.035620528,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp3g06570,interacts with,Mp2g07130,Mp3g06570,0.966729566,0.00525517,0.083663779,source,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g22750,interacts with,Mp2g00890,Mp2g22750,1.061735385,4.77781991630177e-05,0.035421865,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp3g13640,interacts with,Mp2g07130,Mp3g13640,0.954108144,0.049115235,0.080830184,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g06090,interacts with,Mp2g00890,Mp2g06090,1.014419532,4.10292818320279e-06,0.034665954,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mpzg00970,interacts with,Mp2g07130,Mpzg00970,1.000225461,0.00525517,0.079012942,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp3g18710,interacts with,Mp2g00890,Mp3g18710,0.977750429,1.80950454620188e-09,0.03456717,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp4g13720,interacts with,Mp2g07130,Mp4g13720,0.876940167,4.77781991630177e-05,0.07538594,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp7g17950,interacts with,Mp2g00890,Mp7g17950,1.058479345,0,0.034254279,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp6g01550,interacts with,Mp2g07130,Mp6g01550,0.992522931,2.50863130268897e-08,0.073468953,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp6g01270,interacts with,Mp2g00890,Mp6g01270,0.855524378,4.10292818320279e-06,0.034170259,RNA-seq,bHLH,NA,source,source
