geneId	cluster
Mp1g09920	C1
Mp1g11060	C1
Mp1g11380	C1
Mp1g14470	C1
Mp1g14990	C1
Mp1g17200	C1
Mp1g19760	C1
Mp1g20430	C1
Mp1g20570	C1
Mp1g20750	C1
Mp1g22170	C1
Mp1g23060	C1
Mp1g24650	C1
Mp1g25275a	C1
Mp1g26930	C1
Mp1g29480	C1
Mp1g29710	C1
Mp1g00920	C1
Mp2g09835a	C1
Mp2g09860	C1
Mp2g10250	C1
Mp2g00860	C1
Mp2g11450	C1
Mp2g14930	C1
Mp2g15200	C1
Mp2g18200	C1
Mp2g01750	C1
Mp2g19895a	C1
Mp2g23790	C1
Mp2g02450	C1
Mp2g25525a	C1
Mp2g26050	C1
Mp2g26470	C1
Mp2g03980	C1
Mp2g06670	C1
Mp2g07400	C1
Mp2g07920	C1
Mp2g09550	C1
Mp3g10460	C1
Mp3g14890	C1
Mp3g16920	C1
Mp3g18705a	C1
Mp3g19240	C1
Mp3g21420	C1
Mp3g22125a	C1
Mp3g22420	C1
Mp3g22980	C1
Mp3g23400	C1
Mp3g02870	C1
Mp3g06555a	C1
Mp3g00610	C1
Mp3g00720	C1
Mp3g09605a	C1
Mp4g10000	C1
Mp4g10480	C1
Mp4g11550	C1
Mp4g11910	C1
Mp4g12220	C1
Mp4g12510	C1
Mp4g12770	C1
Mp4g13900	C1
Mp4g14505a	C1
Mp4g14840	C1
Mp4g00130	C1
Mp4g17220	C1
Mp4g17960	C1
Mp4g18370	C1
Mp4g18390	C1
Mp4g18770	C1
Mp4g01890	C1
Mp4g20930	C1
Mp4g22090	C1
Mp4g22340	C1
Mp4g23470	C1
Mp4g24020	C1
Mp4g04660	C1
Mp4g04950	C1
Mp4g07950	C1
Mp4g08320	C1
Mp4g08360	C1
Mp5g09480	C1
Mp5g09630	C1
Mp5g09710	C1
Mp5g10260	C1
Mp5g10490	C1
Mp5g01140	C1
Mp5g01190	C1
Mp5g12923a	C1
Mp5g12923d	C1
Mp5g12923e	C1
Mp5g13060	C1
Mp5g14700	C1
Mp5g14790	C1
Mp5g15760	C1
Mp5g15790	C1
Mp5g16510	C1
Mp5g16665a	C1
Mp5g17510	C1
Mp5g21500	C1
Mp5g21855a	C1
Mp5g23045b	C1
Mp5g02010	C1
Mp5g24250	C1
Mp5g02590	C1
Mp5g03000	C1
Mp5g04280	C1
Mp5g06710	C1
Mp5g06715a	C1
Mp5g06725a	C1
Mp5g07210	C1
Mp5g07230	C1
Mp5g00530	C1
Mp5g07550	C1
Mp5g08160	C1
Mp6g10660	C1
Mp6g13940	C1
Mp6g15560	C1
Mp6g17170	C1
Mp6g17500	C1
Mp6g17610	C1
Mp6g18380	C1
Mp6g01550	C1
Mp6g19490	C1
Mp6g20470	C1
Mp6g02160	C1
Mp6g02180	C1
Mp6g05600	C1
Mp6g00020	C1
Mp6g06590	C1
Mp6g00420	C1
Mp6g08850	C1
Mp7g13400	C1
Mp7g13940	C1
Mp7g14880	C1
Mp7g15650	C1
Mp7g18650	C1
Mp7g19010	C1
Mp7g01930	C1
Mp7g01940	C1
Mp7g02900	C1
Mp7g03980	C1
Mp7g04020	C1
Mp7g04760	C1
Mp7g04780	C1
Mp7g05380	C1
Mp7g05780	C1
Mp7g05835a	C1
Mp7g05880	C1
Mp7g00750	C1
Mp7g00780	C1
Mp8g08720	C1
Mp8g09820	C1
Mp8g10450	C1
Mp8g11280	C1
Mp8g11600	C1
Mp8g12220	C1
Mp8g12300	C1
Mp8g00140	C1
Mp8g13590	C1
Mp8g13965a	C1
Mp8g15560	C1
Mp8g01745b	C1
Mp8g17290	C1
Mp8g17355a	C1
Mp8g18125a	C1
Mp8g18720	C1
Mp8g02850	C1
Mp8g00255b	C1
Mp8g03240	C1
Mp1g01350	C2
Mp1g17415	C2
Mp2g09910	C2
Mp2g12920	C2
Mp2g23600	C2
Mp2g24960	C2
Mp2g00600	C2
Mp3g12120	C2
Mp3g13260	C2
Mp3g03990	C2
Mp3g07180	C2
Mp4g10190	C2
Mp4g14430	C2
Mp4g14640	C2
Mp4g22100	C2
Mp4g02620	C2
Mp4g04720	C2
Mp4g06200	C2
Mp5g12040	C2
Mp5g15780	C2
Mp5g16800	C2
Mp5g19200	C2
Mp5g05780	C2
Mp6g15140	C2
Mp6g17830	C2
Mp7g15550	C2
Mp7g01940	C2
Mp8g11480	C2
Mp8g12880	C2
Mp8g19040	C2
MpVg00390	C2
MpVg00670	C2
MpVg00750	C2
Mp1g10400	C3
Mp1g12440	C3
Mp1g12960	C3
Mp1g15420	C3
Mp1g01360	C3
Mp1g01870	C3
Mp1g21760	C3
Mp1g21830	C3
Mp1g24250	C3
Mp1g25410	C3
Mp1g26040	C3
Mp1g28200	C3
Mp1g28420	C3
Mp1g28810	C3
Mp1g29830	C3
Mp1g03240	C3
Mp1g03560	C3
Mp1g04600	C3
Mp1g05010	C3
Mp1g05815	C3
Mp1g07780	C3
Mp1g09200	C3
Mp1g09450	C3
Mp1g09460	C3
Mp2g17230	C3
Mp2g18140	C3
Mp2g18530	C3
Mp2g19150	C3
Mp2g21530	C3
Mp2g22230	C3
Mp2g24200	C3
Mp2g24210	C3
Mp2g24620	C3
Mp2g24890	C3
Mp2g24980	C3
Mp2g26160	C3
Mp2g26640	C3
Mp2g02900	C3
Mp2g04940	C3
Mp2g05050	C3
Mp2g07770	C3
Mp2g09210	C3
Mp3g10620	C3
Mp3g10910	C3
Mp3g11510	C3
Mp3g11920	C3
Mp3g12260	C3
Mp3g12880	C3
Mp3g18310	C3
Mp3g18480	C3
Mp3g18740	C3
Mp3g18910	C3
Mp3g19700	C3
Mp3g01950	C3
Mp3g21310	C3
Mp3g21910	C3
Mp3g22040	C3
Mp3g22600	C3
Mp3g02405	C3
Mp3g02570	C3
Mp3g03650	C3
Mp3g03790	C3
Mp3g04180	C3
Mp3g04330	C3
Mp3g05540	C3
Mp3g07950	C3
Mp3g07990	C3
Mp3g08050	C3
Mp3g08080	C3
Mp3g00710	C3
Mp3g09840	C3
Mp3g10050	C3
Mp4g10130	C3
Mp4g10240	C3
Mp4g10690	C3
Mp4g12360	C3
Mp4g12710	C3
Mp4g14000	C3
Mp4g14465a	C3
Mp4g16080	C3
Mp4g16995a	C3
Mp4g17710	C3
Mp4g21170	C3
Mp4g02245a	C3
Mp4g23980	C3
Mp4g02820	C3
Mp4g03680	C3
Mp4g03690	C3
Mp4g03700	C3
Mp4g06570	C3
Mp4g06645a	C3
Mp4g08170	C3
Mp4g08420	C3
Mp5g10940	C3
Mp5g11480	C3
Mp5g11800	C3
Mp5g13080	C3
Mp5g13230	C3
Mp5g14700	C3
Mp5g16570	C3
Mp5g16800	C3
Mp5g17920	C3
Mp5g18740	C3
Mp5g19070	C3
Mp5g19990	C3
Mp5g01890	C3
Mp5g24020	C3
Mp5g24180	C3
Mp5g05230	C3
Mp5g05370	C3
Mp5g06020	C3
Mp5g08280	C3
Mp5g08760	C3
Mp5g08920	C3
Mp6g11030	C3
Mp6g11300	C3
Mp6g11840	C3
Mp6g12940	C3
Mp6g14140	C3
Mp6g14180	C3
Mp6g15150	C3
Mp6g16848a	C3
Mp6g17070	C3
Mp6g18420	C3
Mp6g19240	C3
Mp6g03680	C3
Mp6g04100	C3
Mp6g04790	C3
Mp6g04870	C3
Mp6g04900	C3
Mp6g06750	C3
Mp6g06860	C3
Mp6g07580	C3
Mp6g07940	C3
Mp7g10840	C3
Mp7g11060	C3
Mp7g12900	C3
Mp7g12930	C3
Mp7g16250	C3
Mp7g16540	C3
Mp7g18540	C3
