length	genotype	treatment	replicate	length (Mb)
14360005	Tak	ABA	1	14.360005
13716100	Tak	ABA	2	13.7161
13690325	Tak	CK	1	13.690325
15521902	Tak	CK	2	15.521902
13462071	dko	ABA	1	13.462071
12598023	dko	ABA	2	12.598023
13933390	dko	CK	1	13.93339
16659295	dko	CK	2	16.659295
12336062	hsfa	ABA	1	12.336062
14398251	hsfa	ABA	2	14.398251
14255734	hsfa	CK	1	14.255734
14486456	hsfa	CK	2	14.486456
13592034	hsfb	ABA	1	13.592034
13022955	hsfb	ABA	2	13.022955
11184972	hsfb	CK	1	11.184972
14922109	hsfb	CK	2	14.922109
