geneId	HS_ATAC	genotype	HS_RNA
Mp4g14800	0.203119431189487	Tak1	0
Mp4g14870	0.199542137182397	Tak1	0.000716080198390478
Mp4g14860	-0.0414150122675755	Tak1	-0.695049961415361
Mp8g15940	0.201408962927518	Tak1	0.270747206271739
Mp2g00890	-0.199970511254917	Tak1	-2.98366540860939
Mp5g12720	0.0927537175988296	Tak1	-0.335994507633727
Mp4g21690	0.216509104455742	Tak1	0.0781352181066701
Mp2g18140	0	Tak1	-0.751371157827257
Mp1g17210	-0.0778725584036833	Tak1	-1.67685208901757
Mp2g22820	0.195695001308491	Tak1	0.133641947576779
Mp5g08310	-0.411792706519596	Tak1	-0.24603243828684
Mp5g09040	-0.0520668327794074	Tak1	-0.361295948732496
Mp5g21950	1.76111466592888	Tak1	0.13078569918909
Mp1g23200	0.325057083378202	Tak1	0.0299349815554403
Mp2g10330	-0.0134260589501955	Tak1	-1.01482199827589
Mp4g17810	-0.118041901400548	Tak1	-0.103933486778976
Mp1g27640	-0.400779964738419	Tak1	0.549223320045432
Mp3g23440	-0.306517463385497	Tak1	-0.431835708464641
Mp4g09300	-0.352448122931278	Tak1	-0.320295258491314
Mp7g06280	0	Tak1	1.5288919987518
Mp3g03400	-0.121880600900157	Tak1	-0.863985818629022
Mp3g03420	-0.452899340630936	Tak1	-0.42383344991041
Mp3g18220	0.414831977981233	Tak1	0
Mp7g06480	1.97765145147065	Tak1	0
Mp7g06550	-0.111855243987456	Tak1	-0.967614414384507
Mp1g27920	-0.367320988457834	Tak1	-1.99209140413738
Mp4g19590	0.291464448566207	Tak1	-1.11368701590434
Mp6g12730	-0.174318734041703	Tak1	0.535634470522666
Mp6g02620	-0.316296280966004	Tak1	-2.06068527775042
Mp8g07630	0.282306199473708	Tak1	-1.01749798407227
Mp2g20430	-0.197303048552626	Tak1	3.13226858881189
Mp3g09970	-0.167931973812914	Tak1	0.296603185928363
Mp5g19490	0.0885112297899008	Tak1	-0.25985531763867
Mp5g22160	0.18235720315326	Tak1	-2.71916589056534
Mp4g00200	-0.404316921551924	Tak1	-1.84848739148469
Mp3g20700	0.0130517287313772	Tak1	-0.103265335754166
Mp6g17310	-0.11985952533187	Tak1	0.735971383749074
Mp1g05180	-0.412109541386245	Tak1	-1.06708581298387
Mp5g21250	-0.178285212714546	Tak1	-0.419476804942356
Mp7g17200	-0.419069083064025	Tak1	-0.116796165249731
Mp4g00180	-0.116791901396228	Tak1	-0.776140707505451
Mp2g12370	-0.418656016308925	Tak1	-0.57007644728613
Mp3g11900	-0.196162873898241	Tak1	0.0753145637908978
Mp1g03580	-0.333943743342851	Tak1	0.502385057972026
Mp6g07560	-0.0795632770504724	Tak1	-0.241696036031402
Mp2g25940	-0.0796893387699385	Tak1	-1.44692396361536
Mp4g18220	-0.391919629632195	Tak1	-1.43513746466817
Mp4g21300	-0.356473873670152	Tak1	-0.973731655861713
Mp1g27950	-0.173529207754048	Tak1	-0.437471271724063
Mp2g22250	-0.584796086709716	Tak1	-1.84775410941275
Mp5g18910	-0.70353797728158	Tak1	-0.410832058103467
Mp5g03090	-0.199266646320973	Tak1	-0.162306185685415
Mp4g14800	0.213626413770537	hsfa	0
Mp4g14870	0.479415608473446	hsfa	0.764575875100378
Mp4g14860	0.04962170874283	hsfa	0.337640482947481
Mp8g15940	0.249252097298057	hsfa	0.891921935708469
Mp2g00890	-0.174582324006561	hsfa	-3.5119317209655
Mp5g12720	0.312778528172854	hsfa	-0.118030010483232
Mp4g21690	0.338660762616868	hsfa	0.264866329013466
Mp2g18140	0	hsfa	0.023823865465559
Mp1g17210	0.0079546236052088	hsfa	-0.620880513787143
Mp2g22820	0.16786752465393	hsfa	0.979168744662109
Mp5g08310	-0.448634738779933	hsfa	-0.158776349392569
Mp5g09040	-0.0192470987089298	hsfa	0.240084580841142
Mp5g21950	0.026952228048874	hsfa	-0.812787934713547
Mp1g23200	0.492299051163005	hsfa	0.702543134114081
Mp2g10330	0.325054933641021	hsfa	1.10276004249435
Mp4g17810	0.0690937866210463	hsfa	0.278893442947367
Mp1g27640	-1.27049519689091	hsfa	-0.967092200249582
Mp3g23440	-0.307491288099747	hsfa	-0.47541245632453
Mp4g09300	-0.31547348694631	hsfa	-0.838770908074679
Mp7g06280	0	hsfa	0.570619840615338
Mp3g03400	0.051054159454674	hsfa	-0.199501719951317
Mp3g03420	-0.650707456344674	hsfa	-0.111164100259338
Mp3g18220	0.682767497325141	hsfa	0
Mp7g06480	-0.348597485478956	hsfa	0
Mp7g06550	-0.0848912281966011	hsfa	-0.713544861583669
Mp1g27920	-0.866718542620354	hsfa	-3.13393639071667
Mp4g19590	0.723748678634515	hsfa	-1.06041877169499
Mp6g12730	-0.111740021332026	hsfa	0.733426464617017
Mp6g02620	-0.238448765298715	hsfa	-0.902051699029533
Mp8g07630	0.20768313290759	hsfa	-0.718878930318167
Mp2g20430	-0.323398180154758	hsfa	0.528050069074213
Mp3g09970	0.528209807739109	hsfa	-0.0926600301020728
Mp5g19490	0.228985148375065	hsfa	-0.191211580148641
Mp5g22160	0.143433442391842	hsfa	-5.70984771970083
Mp4g00200	-0.25440072889655	hsfa	-0.618440805049659
Mp3g20700	-0.0099757768795145	hsfa	-1.52049160089955
Mp6g17310	-0.129340566503851	hsfa	0.474575349331906
Mp1g05180	-0.536590401398058	hsfa	-0.948101692980543
Mp5g21250	-0.135750806333374	hsfa	0.38423187581968
Mp7g17200	-0.471012601862794	hsfa	-0.294888768691384
Mp4g00180	-0.152266716559588	hsfa	-0.963533120148116
Mp2g12370	-0.438520161073219	hsfa	-0.72804497128313
Mp3g11900	-0.247558177324758	hsfa	0.956664549831415
Mp1g03580	-0.521391845312723	hsfa	-0.177026496110222
Mp6g07560	0.0218192231286292	hsfa	0.670467867442573
Mp2g25940	-0.0377638269373168	hsfa	-0.844352169988888
Mp4g18220	-0.314184018818929	hsfa	-0.388327155798271
Mp4g21300	-0.296649037083241	hsfa	-0.132249137843072
Mp1g27950	-0.317795746305685	hsfa	-0.993147902511486
Mp2g22250	-0.524275621085102	hsfa	-0.792564215198942
Mp5g18910	-0.7109002910796	hsfa	0.305806424131545
Mp5g03090	-0.22051078877741	hsfa	-1.14385742765578
Mp4g14800	0.304347210434457	hsfb	0
Mp4g14870	0.580704080116595	hsfb	0.353352191591812
Mp4g14860	0.275153700180607	hsfb	0.2656843601941
Mp8g15940	0.43184992467566	hsfb	0.252706308683531
Mp2g00890	-0.246610228794167	hsfb	-1.89401224758989
Mp5g12720	0.321611199899028	hsfb	-0.59847601937321
Mp4g21690	0.358510438736826	hsfb	0.261910355508487
Mp2g18140	0	hsfb	-0.140041557133947
Mp1g17210	-0.021669665679875	hsfb	-1.65297537629188
Mp2g22820	0.104974251374481	hsfb	-0.148199541994674
Mp5g08310	-0.470677854198584	hsfb	-0.789953864426345
Mp5g09040	-0.26659381191242	hsfb	0.967618348573116
Mp5g21950	1.78587748848461	hsfb	0.792767141464795
Mp1g23200	0.251160365663193	hsfb	-0.0455235542770014
Mp2g10330	0.13537047974276	hsfb	1.03191412537294
Mp4g17810	-0.250517646851465	hsfb	-0.573408472959257
Mp1g27640	-0.445280048707682	hsfb	2.61307009708272
Mp3g23440	-0.452734093157678	hsfb	-1.05608944510534
Mp4g09300	-0.268840976469672	hsfb	1.29370103762281
Mp7g06280	0	hsfb	0.80403548457025
Mp3g03400	0.312038455135585	hsfb	-0.228408460081941
Mp3g03420	-0.68665822631033	hsfb	-1.14978081118741
Mp3g18220	0.541941248884827	hsfb	0
Mp7g06480	1.94625536142612	hsfb	0
Mp7g06550	-0.212038824515053	hsfb	-1.25425197105442
Mp1g27920	-0.186575901108957	hsfb	-0.714220547753637
Mp4g19590	0.533644621765064	hsfb	-0.987136694120769
Mp6g12730	-0.140512866870364	hsfb	0.440505068045801
Mp6g02620	-0.425033566068235	hsfb	-2.3049331859195
Mp8g07630	0.0997274891524525	hsfb	0.179361309024661
Mp2g20430	-0.368722732303098	hsfb	0.702263083772273
Mp3g09970	0.033501912150004	hsfb	0.108925510229717
Mp5g19490	-0.0672708610022117	hsfb	-0.438154178389525
Mp5g22160	0.070300691032081	hsfb	-1.51273927521061
Mp4g00200	-0.568572192135811	hsfb	-3.12826118319868
Mp3g20700	0.2113157049617	hsfb	-1.08236680856222
Mp6g17310	-0.128452800495701	hsfb	0.496748855436779
Mp1g05180	-0.458585003589285	hsfb	-0.901158249968226
Mp5g21250	-0.405751693764241	hsfb	-0.160990837983054
Mp7g17200	-0.47481383676525	hsfb	-1.10622052689336
Mp4g00180	-0.287499261373441	hsfb	-0.834808978762941
Mp2g12370	-0.459293679206564	hsfb	0.160708018601498
Mp3g11900	-0.420718766321795	hsfb	-0.357218447176433
Mp1g03580	-0.376767454088628	hsfb	-0.34464366674417
Mp6g07560	-0.21710899382978	hsfb	1.74426747781559
Mp2g25940	-0.129281691544523	hsfb	-2.40317927322756
Mp4g18220	-0.562008566441247	hsfb	-1.92251055851505
Mp4g21300	-0.43610414112884	hsfb	-0.198232255051689
Mp1g27950	-0.116657780434545	hsfb	-0.792723884576057
Mp2g22250	-0.740271813973684	hsfb	-2.14643295813259
Mp5g18910	-0.904649828525196	hsfb	-0.600808539506863
Mp5g03090	-0.309334656390468	hsfb	-0.213208081904533
Mp4g14800	0.233564014296085	dko	0
Mp4g14870	0.815891167391329	dko	0.843424730479397
Mp4g14860	0.194573588344157	dko	0.782444355304443
Mp8g15940	0.0560760577147515	dko	0.771135562730589
Mp2g00890	-0.176275357142636	dko	-2.10182219198994
Mp5g12720	0.43804200012426	dko	0.469612676638641
