geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g09500	C1	C10	chr1.9836150.9836214	chr1	9836150	9836214	65	144
Mp2g05810	C1	C10	chr2.5996641.5996993	chr2	5996641	5996993	353	-185
Mp2g08000	C1	C10	chr2.8467604.8468304	chr2	8467604	8468304	701	0
Mp3g12380	C1	C10	chr3.12171331.12171575	chr3	12171331	12171575	245	137
Mp3g12410	C1	C10	chr3.12218291.12220010	chr3	12218291	12220010	1720	0
Mp3g20675	C1	C10	chr3.21248989.21249158	chr3	21248989	21249158	170	-264
Mp4g06980	C1	C10	chr4.7942383.7942583	chr4	7942383	7942583	201	837
Mp4g20420	C1	C10	chr4.23040031.23041030	chr4	23040031	23041030	1000	1370
Mp5g06630	C1	C10	chr5.7076760.7077110	chr5	7076760	7077110	351	0
Mp5g18500	C1	C10	chr5.19581706.19582103	chr5	19581706	19582103	398	357
Mp6g01960	C1	C10	chr6.2389216.2389319	chr6	2389216	2389319	104	0
Mp7g01320	C1	C10	chr7.1870124.1870253	chr7	1870124	1870253	130	539
Mp7g15000	C1	C10	chr7.16659491.16660332	chr7	16659491	16660332	842	0
Mp8g01400	C1	C10	chr8.1508559.1508821	chr8	1508559	1508821	263	-1
