site1_chrom	site1_start	site1_end	site1_name	site1_score	site1_strand	site2_chrom	site2_start	site2_end	site2_name	site2_score	site2_strand	site_distance	site_orientation	feature	feat_strand	feat_start	feat_end	query_name	distance	feat_anchor	feat_ovl_peak	peak_ovl_feat	relative_location	transcript_id	gene_id	site1_TF	site2_TF
1	85181649	85181656	C3_C2C2YABBY_21	2.03901	+	1	85181703	85181709	C3_ABI3VP1_7	2.45776	+	47	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
1	85181676	85181683	C3_C2C2YABBY_21	2.21744	+	1	85181703	85181709	C3_ABI3VP1_7	2.45776	+	20	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
11	53805055	53805062	C3_C2C2YABBY_21	2.1859	-	11	53805102	53805108	C3_ABI3VP1_7	2.46175	-	40	TF2-TF1			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
11	53805055	53805062	C3_C2C2YABBY_21	2.1859	-	11	53805114	53805120	C3_ABI3VP1_7	2.67101	-	52	TF2-TF1			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
11	53805055	53805062	C3_C2C2YABBY_21	2.1859	-	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	97	TF2-TF1			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
11	53805144	53805151	C3_C2C2YABBY_21	2.54601	+	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	8	convergent			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
11	57256643	57256650	C3_C2C2YABBY_21	3.24357	+	11	57256655	57256661	C3_ABI3VP1_7	3.05298	+	5	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
11	57257068	57257075	C3_C2C2YABBY_21	2.79072	+	11	57257116	57257122	C3_ABI3VP1_7	3.1406	+	41	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
11	57257512	57257519	C3_C2C2YABBY_21	3.00599	+	11	57257613	57257619	C3_ABI3VP1_7	2.57796	-	94	convergent			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
3	2490992	2490999	C3_C2C2YABBY_21	1.84358	+	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	63	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
