TFBS_chr	TFBS_start	TFBS_end	kmer_motif_name	geneId	distanceToTSS	distanceToTSS (log10)	TFBS_name	TFBS_score	TFBS_strand	peak_chr	peak_start	peak_end	peak_cluster	HS_score	CK_score	HS_bound	CK_bound	HS_CK_log2fc	kmer_family
chr1	11399930	11399937	C2_NAC_59	Mp1g11150	-2587	-0.554731376675967	_C2_NAC_59	3.67017	+	chr1	11399860	11400015	C1	19.97811	17.38088	1	0	0.18354	NAC
chr1	11399930	11399937	C6_AP2EREBP_101	Mp1g11150	-2587	-0.554731376675967	_C6_AP2EREBP_101	3.67017	+	chr1	11399860	11400015	C1	19.97811	17.38088	1	0	0.18354	AP2EREBP
chr1	11399932	11399938	C10_AP2EREBP_84-C2_AP2EREBP_78-C3_AP2EREBP_73-C4_AP2EREBP_63-C5_AP2EREBP_32-C6_AP2EREBP_97-C9_AP2EREBP_45	Mp1g11150	-2586	-0.554610285226164	_C10_AP2EREBP_84-C2_AP2EREBP_78-C3_AP2EREBP_73-C4_AP2EREBP_63-C5_AP2EREBP_32-C6_AP2EREBP_97-C9_AP2EREBP_45	8.41279	-	chr1	11399860	11400015	C1	21.13146	18.4297	1	0	0.18117	AP2EREBP
chr1	11399932	11399939	C10_AP2EREBP_69-C2_AP2EREBP_65-C4_AP2EREBP_56-C6_AP2EREBP_84	Mp1g11150	-2585	-0.554489160003819	_C10_AP2EREBP_69-C2_AP2EREBP_65-C4_AP2EREBP_56-C6_AP2EREBP_84	3.79767	+	chr1	11399860	11400015	C1	21.13146	18.4297	1	0	0.18117	AP2EREBP
chr1	11399932	11399939	C10_AP2EREBP_82-C6_AP2EREBP_96	Mp1g11150	-2585	-0.554489160003819	_C10_AP2EREBP_82-C6_AP2EREBP_96	3.79767	-	chr1	11399860	11400015	C1	21.13146	18.4297	1	0	0.18117	AP2EREBP
chr1	11399932	11399939	C10_AP2EREBP_83-C3_AP2EREBP_71	Mp1g11150	-2585	-0.554489160003819	_C10_AP2EREBP_83-C3_AP2EREBP_71	9.85742	-	chr1	11399860	11400015	C1	21.13146	18.4297	1	0	0.18117	AP2EREBP
chr1	11399932	11399939	C2_G2like_11-C4_G2like_14-C6_G2like_7-C9_G2like_5	Mp1g11150	-2585	-0.554489160003819	_C2_G2like_11-C4_G2like_14-C6_G2like_7-C9_G2like_5	3.79767	+	chr1	11399860	11400015	C1	21.13146	18.4297	1	0	0.18117	G2like
chr1	11399932	11399939	C4_HSF_5-C5_HSF_1-C6_HSF_7	Mp1g11150	-2585	-0.554489160003819	_C4_HSF_5-C5_HSF_1-C6_HSF_7	3.79767	+	chr1	11399860	11400015	C1	21.13146	18.4297	1	0	0.18117	HSF
chr1	11399934	11399941	C3_bZIP_24-C4_bZIP_26	Mp1g11150	-2583	-0.554246808166111	_C3_bZIP_24-C4_bZIP_26	3.79767	-	chr1	11399860	11400015	C1	21.13146	18.77494	1	0	0.15671	bZIP
chr1	11399941	11399947	C1_AP2EREBP_24-C2_AP2EREBP_82	Mp1g11150	-2577	-0.55351894014897	_C1_AP2EREBP_24-C2_AP2EREBP_82	8.28529	-	chr1	11399860	11400015	C1	24.26838	22.86038	1	1	0.08022	AP2EREBP
chr1	11399952	11399959	C2_C2H2_38-C4_C2H2_31-C6_C2H2_46-C9_C2H2_17	Mp1g11150	-2565	-0.552059534187884	_C2_C2H2_38-C4_C2H2_31-C6_C2H2_46-C9_C2H2_17	3.79767	+	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	C2H2
chr1	11399954	11399961	C2_AP2EREBP_115	Mp1g11150	-2563	-0.551815822351016	_C2_AP2EREBP_115	3.79767	-	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	AP2EREBP
chr1	11399955	11399961	C2_AP2EREBP_105-C4_AP2EREBP_83-C5_AP2EREBP_38-C6_AP2EREBP_127-C9_AP2EREBP_57	Mp1g11150	-2563	-0.551815822351016	_C2_AP2EREBP_105-C4_AP2EREBP_83-C5_AP2EREBP_38-C6_AP2EREBP_127-C9_AP2EREBP_57	8.28529	+	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	AP2EREBP
chr1	11399963	11399970	C4_AP2EREBP_87	Mp1g11150	-2554	-0.550717423469283	_C4_AP2EREBP_87	3.67017	-	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	AP2EREBP
chr1	11399965	11399972	C2_NAC_61-C6_NAC_77	Mp1g11150	-2552	-0.550472957106563	_C2_NAC_61-C6_NAC_77	3.79767	+	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	NAC
chr1	11399966	11399973	C2_MYB_38-C6_MYB_40	Mp1g11150	-2551	-0.550350672301615	_C2_MYB_38-C6_MYB_40	3.79767	+	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	MYB
chr1	11399966	11399973	C6_bZIP_43	Mp1g11150	-2551	-0.550350672301615	_C6_bZIP_43	3.79767	-	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	bZIP
chr1	11399969	11399976	C6_TCP_21	Mp1g11150	-2548	-0.549983611159689	_C6_TCP_21	9.85742	-	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	TCP
