peak	cluster
1.113597.113859	C1
1.157001.157678	C2
1.181541.182248	C1
1.195556.195921	C2
1.225911.226395	C2
1.253112.253417	C2
1.277342.277669	C3
1.297398.297781	C2
1.343611.344264	C2
1.350113.350384	C2
1.370273.370491	C2
1.380974.381264	C2
1.491040.491278	C1
1.518447.518711	C2
1.663832.664536	C4
1.673859.674224	C5
1.760534.760886	C3
1.833975.834670	C2
1.948466.948698	C3
1.1095062.1095534	C1
1.1113052.1113818	C5
1.1161958.1162446	C2
1.1202076.1202950	C4
1.1342047.1342692	C3
1.1343097.1343497	C2
1.1394050.1394278	C2
1.1435787.1436202	C2
1.1468377.1469098	C2
1.1478681.1478902	C4
1.1503338.1503636	C5
1.1540424.1540721	C5
1.1555976.1556356	C4
1.1651439.1651700	C2
1.1656724.1657303	C2
1.1689416.1689678	C5
1.1690451.1690793	C5
1.1748639.1749093	C2
1.1844390.1844892	C2
1.1846128.1847223	C2
1.1856273.1856486	C1
1.1874991.1875387	C4
1.1875684.1875984	C2
1.1987890.1989834	C1
1.2121346.2121991	C3
1.2208050.2208353	C3
1.2295463.2295782	C5
1.2325934.2326202	C3
1.2376583.2376941	C3
1.2393981.2394604	C2
1.2407812.2408162	C3
1.2438804.2439050	C3
1.2689129.2689367	C1
1.2705397.2705679	C1
1.2744617.2744929	C2
1.2749899.2750202	C4
1.2773689.2774161	C1
1.2894881.2895412	C5
1.3006505.3006953	C2
1.3023591.3024055	C1
1.3025505.3025756	C5
1.3042391.3042729	C3
1.3106701.3107374	C3
1.3124278.3124907	C3
1.3188593.3188836	C3
1.3649131.3649745	C5
1.3654585.3654921	C4
1.3659115.3659635	C4
1.3671654.3672082	C2
1.3922150.3922524	C2
1.4453398.4453617	C2
1.4458939.4459265	C1
1.4465906.4467116	C3
1.4718974.4719243	C2
1.4744018.4744287	C3
1.5069042.5069382	C3
1.5170244.5170593	C5
1.5421324.5421563	C3
1.5430064.5430364	C3
1.5599544.5600178	C5
1.5722213.5722650	C5
1.5725935.5726620	C3
1.5740400.5741153	C3
1.5867766.5868273	C3
1.5883302.5883629	C2
1.5935478.5936883	C2
1.6161451.6162132	C2
1.6254110.6254860	C2
1.6372684.6373230	C5
1.6397598.6398240	C1
1.6589443.6589730	C3
1.6591856.6592689	C2
1.6593753.6594514	C2
1.8766072.8766343	C3
1.8797277.8797517	C4
1.10126822.10127078	C4
1.11664388.11664609	C5
1.11753440.11753690	C5
1.14301594.14301959	C2
1.16800394.16800679	C2
1.19578844.19579097	C3
1.19585587.19585846	C3
1.20827583.20827908	C5
1.22008438.22008679	C1
1.25918047.25918385	C3
1.25933296.25933617	C3
1.25976375.25976601	C2
1.28082101.28082348	C1
1.32653860.32654323	C2
1.32946238.32946692	C3
1.34307528.34308123	C4
1.37556385.37556604	C4
1.38734121.38734441	C3
1.38851382.38851684	C4
1.41712152.41712508	C5
1.43185693.43186352	C3
1.44277438.44277793	C5
1.44307187.44307407	C4
1.45249808.45250497	C5
1.45684149.45684932	C3
1.51445437.51445700	C3
1.53401199.53401901	C3
1.53408672.53409171	C2
1.53449655.53450040	C3
1.54551712.54551988	C3
1.56282969.56283228	C5
1.56406706.56407143	C2
1.58199049.58199581	C5
1.58980789.58981300	C4
1.59131003.59131214	C3
1.59181518.59181735	C5
1.59192291.59192904	C4
1.59693656.59693902	C3
1.59788697.59789657	C4
1.60479283.60479550	C4
1.60486354.60486927	C3
1.61545022.61545404	C4
1.61546742.61547233	C5
1.61798971.61799454	C4
1.62982455.62982860	C4
1.62986730.62987109	C4
1.64119200.64119651	C3
1.64412746.64412986	C3
1.64420759.64421825	C1
1.65157645.65158040	C4
1.65203321.65203911	C2
1.65205102.65205428	C2
1.65263962.65264341	C2
1.66790800.66791443	C2
1.66831601.66832265	C3
1.66853920.66854251	C4
1.66951832.66952510	C3
1.67408385.67408713	C4
1.68042451.68042720	C3
1.69006357.69006578	C3
1.69583233.69583639	C3
1.69669193.69669509	C3
1.69671857.69672154	C5
1.69748560.69748769	C3
1.69893421.69893694	C1
1.69894626.69895270	C1
1.70001278.70001487	C4
1.70234974.70235210	C1
1.70463378.70463592	C3
1.70774739.70774991	C3
1.70905364.70905656	C3
1.70933367.70934213	C3
1.71439531.71439818	C3
1.71445108.71445410	C3
1.71637270.71638252	C4
1.71927649.71928688	C1
1.72000700.72001230	C2
1.72120115.72120610	C2
1.72120958.72121932	C2
1.72128169.72128502	C3
1.72134380.72134599	C1
1.72345297.72345702	C3
1.72370538.72370965	C3
1.72378391.72378720	C3
1.72469289.72469678	C3
1.72474569.72475372	C1
1.72661916.72662266	C3
1.72693116.72693887	C3
1.72832976.72833296	C3
1.72868639.72868998	C3
1.73194950.73195258	C2
1.73212917.73213146	C4
1.73246922.73247541	C3
1.73320233.73320456	C3
1.73332355.73332693	C3
1.73372075.73372782	C1
1.73405611.73405823	C3
1.73600561.73601071	C1
1.73616233.73616685	C3
1.73683406.73683614	C3
1.73716777.73717019	C3
1.73850364.73850702	C3
1.73936016.73936472	C2
1.73953326.73954267	C4
1.74084398.74084629	C3
1.74143516.74144189	C1
1.74183505.74183722	C1
1.74346488.74346891	C1
1.74404083.74404521	C3
1.74484758.74485141	C3
1.74542114.74542653	C4
1.74614286.74614647	C2
1.74630545.74630915	C3
1.74752886.74753111	C4
1.74771557.74771854	C2
1.74797849.74798185	C5
1.74823465.74823749	C3
1.74851493.74851739	C2
1.75044209.75044505	C3
1.75061977.75062464	C3
1.75109539.75110011	C5
1.75315263.75315609	C3
1.75581639.75581943	C2
1.75690883.75691772	C1
1.75809143.75809730	C4
1.75833373.75833625	C5
1.75870366.75870838	C2
1.75913772.75914074	C1
1.76280773.76281214	C5
1.76329585.76329887	C2
1.76332489.76333016	C3
1.76442592.76443248	C5
1.76473432.76473683	C2
1.76526377.76526909	C5
1.76559790.76560072	C3
1.76666456.76666736	C3
1.76667247.76667951	C2
1.76764111.76764845	C2
1.76814254.76814506	C5
1.77069927.77070137	C2
1.77077386.77077845	C3
1.77315767.77316143	C3
1.77322448.77323416	C1
1.77327941.77328394	C1
1.77380587.77380839	C2
1.77400825.77401156	C1
1.77410341.77410727	C3
1.77420534.77420832	C3
1.77452604.77452923	C2
1.77484844.77485135	C3
1.77591436.77591980	C4
1.77697379.77698229	C1
1.77748691.77749132	C5
1.77761692.77761913	C3
1.77938775.77939092	C2
1.78067139.78067356	C2
1.78072297.78072638	C3
1.78095442.78095983	C3
1.78115942.78116323	C3
1.78188893.78189165	C3
1.78254451.78254779	C3
1.78314343.78314722	C5
1.78331863.78332172	C1
1.78333299.78333523	C4
1.78573021.78574129	C1
1.78611493.78611896	C2
1.78624182.78624652	C2
1.78641369.78641732	C2
1.78662315.78662700	C5
1.78804208.78804705	C3
1.78844789.78845227	C5
1.78853778.78854155	C5
1.78900162.78900699	C2
1.79027228.79027611	C5
1.79053694.79053938	C3
1.79119153.79119510	C1
1.79299841.79300140	C4
1.79326400.79326750	C1
1.79411079.79411481	C3
1.79463030.79463323	C3
1.79470255.79470480	C2
1.79489446.79490111	C3
1.79572207.79573125	C3
1.79576524.79577480	C2
1.79579847.79580603	C3
1.79585893.79586390	C3
1.79626943.79627627	C1
1.79680909.79681130	C2
1.79718456.79718727	C3
1.79774184.79774529	C1
1.79794587.79794837	C3
1.79829334.79829579	C2
1.79839115.79839698	C3
1.79862159.79862681	C2
1.79863515.79863802	C5
1.79869544.79869878	C1
1.79885245.79885482	C1
1.79950068.79950409	C3
1.79962161.79962849	C3
1.80024606.80024933	C3
1.80028835.80029063	C5
1.80120624.80121336	C2
1.80263185.80263627	C2
1.80265332.80266171	C1
1.80275228.80275684	C1
1.80379689.80380114	C2
1.80428834.80429513	C2
1.80548839.80549218	C3
1.80620871.80621187	C1
1.80626273.80626524	C3
1.80658619.80659610	C3
1.80801358.80801899	C3
1.80821762.80822138	C3
1.80825964.80826411	C3
1.80827003.80827494	C1
1.80894281.80894565	C3
1.80912625.80912938	C2
1.80935661.80936078	C3
1.81006999.81007347	C4
1.81063147.81063672	C3
1.81068434.81068668	C3
1.81096661.81097255	C3
1.81102641.81103421	C3
1.81193265.81193536	C3
1.81221961.81222398	C3
1.81278194.81278460	C2
1.81282219.81282626	C1
1.81288476.81288936	C3
1.81313996.81314946	C3
1.81317243.81320282	C3
1.81346953.81347825	C3
1.81348605.81349366	C3
1.81437643.81437988	C3
1.81455743.81456013	C2
1.81506735.81507008	C3
1.81508173.81508769	C4
1.81527636.81528020	C4
1.81529648.81530154	C5
1.81569485.81569868	C4
1.81574353.81574628	C2
1.81576887.81577108	C2
1.81577461.81578104	C5
1.81578591.81579116	C5
1.81659396.81659835	C3
1.81723169.81723498	C5
1.81776550.81776865	C3
1.81792259.81793091	C3
1.81808791.81809147	C3
1.81812115.81812338	C1
1.81844957.81845673	C3
1.81870848.81871798	C1
1.81912256.81912655	C3
1.81918542.81918776	C5
1.81929838.81930164	C3
1.81970404.81971200	C1
1.81986513.81986832	C3
1.81993273.81993897	C3
1.82184750.82185127	C3
1.82241593.82241949	C3
1.82263941.82264546	C3
1.82385226.82385729	C3
1.82470031.82470445	C3
1.82476148.82476398	C5
1.82488697.82488973	C4
1.82561079.82561369	C1
1.82602019.82602413	C2
1.82808502.82808901	C2
1.82851376.82851763	C3
