chr	abs_summit	pileup
chr1	13377	19
chr1	129859	167
chr1	131932	69
chr1	136368	64
chr1	140290	104
chr1	175269	187
chr1	175763	190
chr1	177906	190
chr1	196019	180
chr1	197060	190
chr1	214215	15
chr1	235009	16
chr1	236207	30
chr1	240425	28
chr1	242905	22
chr1	244134	23
chr1	249765	23
chr1	255243	18
chr1	260597	21
chr1	265819	25
chr1	266961	23
chr1	273408	20
chr1	274812	24
chr1	282731	17
chr1	284333	10
chr1	286570	15
chr1	290709	19
chr1	292035	27
chr1	293608	18
chr1	300476	20
chr1	303266	44
chr1	306509	36
chr1	308412	24
chr1	308974	16
chr1	310103	16
chr1	319652	12
chr1	326133	25
chr1	326997	63
chr1	328300	24
chr1	333413	18
chr1	340813	45
chr1	352231	30
chr1	355106	13
chr1	361685	29
chr1	372562	41
chr1	378104	29
chr1	379966	24
chr1	380770	19
chr1	386241	25
chr1	387429	21
chr1	388126	26
chr1	397014	18
chr1	403847	40
chr1	404768	16
chr1	410749	20
chr1	414247	20
chr1	415795	18
chr1	421277	18
chr1	426259	20
chr1	428744	21
chr1	432272	23
chr1	436064	35
chr1	439000	31
chr1	439421	35
chr1	442168	15
chr1	442801	20
chr1	454389	18
chr1	458377	29
chr1	463141	24
chr1	471635	44
chr1	483852	25
chr1	484449	20
chr1	485154	32
chr1	486212	20
chr1	489804	23
chr1	492449	35
chr1	493195	27
chr1	495477	21
chr1	501767	12
chr1	508227	19
chr1	509387	22
chr1	513833	32
chr1	516396	23
chr1	520854	24
chr1	523777	16
chr1	525262	37
chr1	526310	29
chr1	527335	17
chr1	535896	22
chr1	536514	24
chr1	537024	30
chr1	541411	33
chr1	543879	23
chr1	550196	30
chr1	551311	30
chr1	551978	22
chr1	560987	121
chr1	561465	28
chr1	562286	33
chr1	563009	24
chr1	566573	31
chr1	567484	19
chr1	571174	38
chr1	578812	22
chr1	582170	26
chr1	590152	29
chr1	591662	91
chr1	592652	36
chr1	597721	50
chr1	598143	28
chr1	598588	43
chr1	609043	25
chr1	610255	25
chr1	612801	21
chr1	615145	31
chr1	621120	44
chr1	622473	17
chr1	627091	20
chr1	638218	36
chr1	643740	35
chr1	644146	20
chr1	652437	20
chr1	657662	26
chr1	658548	34
chr1	659078	18
chr1	670221	16
chr1	677823	28
chr1	679162	25
chr1	681299	31
chr1	688189	16
chr1	691262	15
chr1	702732	31
chr1	705917	13
chr1	706811	21
chr1	714432	34
chr1	718650	56
chr1	720985	22
chr1	726514	21
chr1	731947	20
chr1	736036	69
chr1	739839	45
chr1	742313	36
chr1	743783	48
chr1	745521	20
chr1	746741	21
chr1	752459	44
chr1	753236	35
chr1	757711	24
chr1	761971	53
chr1	770586	43
chr1	771853	27
chr1	774151	30
chr1	774892	21
chr1	777611	24
chr1	782785	44
chr1	783922	18
chr1	784486	18
chr1	794858	190
