bin	tar	group	zscore	kmer_family
100	1	zscore_tar	NA	ABI3VP1
125	1	zscore_tar	NA	ABI3VP1
150	1	zscore_tar	NA	ABI3VP1
175	1	zscore_tar	NA	ABI3VP1
200	1	zscore_tar	NA	ABI3VP1
225	1	zscore_tar	NA	ABI3VP1
250	1	zscore_tar	NA	ABI3VP1
275	1	zscore_tar	NA	ABI3VP1
300	1	zscore_tar	NA	ABI3VP1
325	1	zscore_tar	NA	ABI3VP1
350	1	zscore_tar	NA	ABI3VP1
375	1	zscore_tar	NA	ABI3VP1
400	1	zscore_tar	NA	ABI3VP1
425	1	zscore_tar	NA	ABI3VP1
450	1	zscore_tar	NA	ABI3VP1
475	1	zscore_tar	NA	ABI3VP1
500	1	zscore_tar	NA	ABI3VP1
525	1	zscore_tar	NA	ABI3VP1
550	1	zscore_tar	NA	ABI3VP1
575	1	zscore_tar	NA	ABI3VP1
600	1	zscore_tar	NA	ABI3VP1
625	1	zscore_tar	NA	ABI3VP1
650	1	zscore_tar	NA	ABI3VP1
675	1	zscore_tar	NA	ABI3VP1
700	1	zscore_tar	NA	ABI3VP1
725	1	zscore_tar	NA	ABI3VP1
750	1	zscore_tar	NA	ABI3VP1
775	1	zscore_tar	NA	ABI3VP1
800	1	zscore_tar	NA	ABI3VP1
825	1	zscore_tar	NA	ABI3VP1
850	1	zscore_tar	NA	ABI3VP1
875	1	zscore_tar	NA	ABI3VP1
900	1	zscore_tar	NA	ABI3VP1
925	1	zscore_tar	NA	ABI3VP1
950	1	zscore_tar	NA	ABI3VP1
975	1	zscore_tar	NA	ABI3VP1
1000	1	zscore_tar	NA	ABI3VP1
1025	1	zscore_tar	NA	ABI3VP1
1050	1	zscore_tar	NA	ABI3VP1
1075	1	zscore_tar	NA	ABI3VP1
1100	1	zscore_tar	NA	ABI3VP1
1125	1	zscore_tar	NA	ABI3VP1
1150	1	zscore_tar	NA	ABI3VP1
1175	1	zscore_tar	NA	ABI3VP1
1200	1	zscore_tar	NA	ABI3VP1
1225	1	zscore_tar	NA	ABI3VP1
1250	1	zscore_tar	NA	ABI3VP1
1275	1	zscore_tar	NA	ABI3VP1
1300	1	zscore_tar	NA	ABI3VP1
1325	1	zscore_tar	NA	ABI3VP1
1350	1	zscore_tar	NA	ABI3VP1
1375	1	zscore_tar	NA	ABI3VP1
1400	1	zscore_tar	NA	ABI3VP1
1425	1	zscore_tar	NA	ABI3VP1
1450	1	zscore_tar	NA	ABI3VP1
1475	1	zscore_tar	NA	ABI3VP1
1500	1	zscore_tar	NA	ABI3VP1
100	1	zscore_tar	-0.27230063024906	ARF
125	1	zscore_tar	-0.27230063024906	ARF
150	1	zscore_tar	-0.27230063024906	ARF
175	1	zscore_tar	-0.27230063024906	ARF
200	1	zscore_tar	-0.27230063024906	ARF
225	1	zscore_tar	-0.27230063024906	ARF
250	1	zscore_tar	-0.27230063024906	ARF
275	1	zscore_tar	-0.27230063024906	ARF
300	1	zscore_tar	-0.27230063024906	ARF
325	1	zscore_tar	-0.27230063024906	ARF
350	1	zscore_tar	-0.27230063024906	ARF
375	1	zscore_tar	-0.27230063024906	ARF
400	1	zscore_tar	-0.27230063024906	ARF
425	1	zscore_tar	-0.27230063024906	ARF
450	1	zscore_tar	-0.27230063024906	ARF
475	1	zscore_tar	-0.27230063024906	ARF
500	1	zscore_tar	-0.27230063024906	ARF
525	1	zscore_tar	-0.27230063024906	ARF
550	1	zscore_tar	-0.27230063024906	ARF
575	1	zscore_tar	-0.27230063024906	ARF
600	1	zscore_tar	-0.27230063024906	ARF
625	1	zscore_tar	-0.27230063024906	ARF
650	1	zscore_tar	-0.27230063024906	ARF
675	1	zscore_tar	-0.27230063024906	ARF
700	1	zscore_tar	-0.27230063024906	ARF
725	1	zscore_tar	-0.27230063024906	ARF
750	1	zscore_tar	-0.27230063024906	ARF
775	1	zscore_tar	-0.27230063024906	ARF
800	1	zscore_tar	-0.27230063024906	ARF
825	1	zscore_tar	-0.27230063024906	ARF
850	1	zscore_tar	-0.27230063024906	ARF
875	1	zscore_tar	-0.27230063024906	ARF
900	1	zscore_tar	-0.27230063024906	ARF
925	1	zscore_tar	-0.27230063024906	ARF
950	1	zscore_tar	-0.27230063024906	ARF
975	1	zscore_tar	-0.27230063024906	ARF
1000	1	zscore_tar	-0.27230063024906	ARF
1025	1	zscore_tar	-0.27230063024906	ARF
1050	1	zscore_tar	-0.27230063024906	ARF
1075	1	zscore_tar	-0.27230063024906	ARF
1100	1	zscore_tar	-0.27230063024906	ARF
1125	1	zscore_tar	-0.27230063024906	ARF
1150	1	zscore_tar	-0.27230063024906	ARF
1175	1	zscore_tar	-0.27230063024906	ARF
1200	1	zscore_tar	-0.27230063024906	ARF
1225	1.03	zscore_tar	3.60798335079987	ARF
1250	1.03	zscore_tar	3.60798335079987	ARF
1275	1.03	zscore_tar	3.60798335079987	ARF
1300	1.03	zscore_tar	3.60798335079987	ARF
1325	1	zscore_tar	-0.27230063024906	ARF
1350	1	zscore_tar	-0.27230063024906	ARF
1375	1	zscore_tar	-0.27230063024906	ARF
1400	1	zscore_tar	-0.27230063024906	ARF
