regulatoryGene	targetGene	weight
Mp4g22280	Mp7g01940	0.15422933491352
Mp7g12630	Mp6g20810	0.138303727004389
Mp2g07150	Mp7g01940	0.136619384388764
Mp2g07150	Mp1g08130	0.132363588909538
Mp2g07150	Mp3g24700	0.124952553714826
Mp2g07170	Mp1g28000	0.122233364151697
Mp1g19590	Mp8g12170	0.12199583596966
Mp1g19590	Mp6g06960	0.120838661058128
Mp4g22280	Mp1g08130	0.116515778350873
Mp7g03150	Mp7g03220	0.116257269382306
Mp2g08260	Mp4g17420	0.115423390638536
Mp1g09420	Mp5g00470	0.115358998163049
Mp4g22280	Mp3g24700	0.114649042493185
Mp1g09420	Mp7g15180	0.114009305532327
Mp4g22280	Mp5g18250	0.113508559784759
Mp2g07130	Mp4g00380	0.113325889126699
Mp2g08260	Mp4g12810	0.112725456993944
Mp4g22280	Mp3g18050	0.112627008835803
Mp8g11560	Mp6g20540	0.112226593348392
Mp2g07150	Mp4g22280	0.111654192110342
Mp4g22280	Mp6g20500	0.111396892645825
Mp7g12630	Mp7g17690	0.111330339909051
Mp1g19590	Mp2g24490	0.111151908715766
Mp2g08260	Mp5g14320	0.1110600919906
Mp2g07150	Mp5g18250	0.110781663260118
Mp2g07170	Mp5g19480	0.110636724315628
Mp4g22280	Mp5g23740	0.110608928518249
Mp5g06970	Mp1g09420	0.110325521704842
Mp1g09420	Mp3g00450	0.10994156126876
Mp4g12230	Mp3g12930	0.109413034992494
Mp1g09420	Mp4g07950	0.108884129601204
Mp5g06970	Mp6g07560	0.108813889463221
Mp7g12630	Mp4g20760	0.108634504527776
Mp5g20660	Mp7g18170	0.108249410318861
Mp4g12230	Mp1g01040	0.107876294182571
Mp4g22280	Mp4g23630	0.107712297201795
Mp2g08260	Mp2g18760	0.107673511615223
Mp4g12230	Mp6g10990	0.107399598192126
Mp2g08260	Mp3g25440	0.107395977897354
Mp2g07170	Mp5g05900	0.106963907209223
Mp1g09420	Mp4g18290	0.106687353461858
Mp1g09420	Mp3g15290	0.106461574429927
Mp1g19590	Mp2g10535	0.106366123883092
Mp1g09420	Mp7g11550	0.106362460047938
Mp5g20660	Mp4g05170	0.105753528880542
Mp1g19590	Mp5g00560	0.10488333980149
Mp1g09420	Mp4g04230	0.104714516322246
Mp2g08260	Mp1g13110	0.104593038173313
Mp2g08260	Mp7g15180	0.104382678761485
Mp2g08260	Mp2g24490	0.104168901853401
Mp2g08260	Mp2g06610	0.104111075138509
Mp2g25660	Mp4g02810	0.103447006523059
Mp2g07150	Mp4g23630	0.103429475520404
Mp4g00380	Mp3g18050	0.103369865862773
Mp4g12230	Mp3g20250	0.1030528360305
Mp2g07170	Mp4g18210	0.102953046935765
Mp1g09420	Mp4g06430	0.102929604489377
Mp5g05560	Mp5g24400	0.102892345616794
Mp1g09420	Mp3g25440	0.102775997096598
Mp7g12630	Mp7g18900	0.102715119011221
Mp2g07170	Mp1g26230	0.102683523114797
Mp5g05560	Mp3g01940	0.102680686226162
Mp7g12630	Mp8g03070	0.102629469195914
Mp1g09420	Mp4g06000	0.102242054674662
Mp8g06230	Mp7g13270	0.102233356502953
Mp1g09420	Mp6g20880	0.102213832174289
Mp5g20660	Mp8g16790	0.101998027053575
Mp2g07170	Mp1g12420	0.101955024206482
Mp2g07170	Mp6g13910	0.101944289414883
Mp5g05560	Mp2g18760	0.101806707091205
Mp5g05560	Mp4g05450	0.101735661737873
Mp5g20660	Mp5g04910	0.101661137421675
Mp2g07130	Mp6g19010	0.101643883800712
Mp5g05560	Mp3g24720	0.10163398529619
Mp5g06970	Mp7g02680	0.101350878220279
Mp2g08260	Mp3g16520	0.101324968797272
Mp1g09420	Mp1g12670	0.101209342213983
Mp1g09420	Mp1g20870	0.101052123581325
Mp2g08260	Mp3g25450	0.100845473171511
Mp7g03490	Mp1g04940	0.100789402094679
Mp8g06230	Mp3g12340	0.100708454567156
Mp4g22280	Mp6g18940	0.10062594563955
Mp1g09420	Mp8g00860	0.100599239018121
Mp1g19590	Mp8g02710	0.100596469489945
Mp5g06970	Mp7g17110	0.100591746495834
Mp8g11560	Mp5g11440	0.100532662835706
Mp1g09420	Mp7g17110	0.100496554149672
Mp2g07130	Mp1g08130	0.100340917310935
Mp1g09420	Mp3g22420	0.100334984757239
Mp7g03490	Mp6g10340	0.100214123363589
Mp5g05560	Mp3g25440	0.10015324098037
Mp4g22280	Mp4g00380	0.100148597491338
Mp4g00380	Mp4g07800	0.100118959314466
Mp2g07170	Mp4g07180	0.100075679805908
Mp7g03490	Mp2g25050	0.100063611577132
Mp1g09420	Mp2g18760	0.099832345439678
Mp4g00380	Mp4g23630	0.0997832714626603
Mp8g11870	Mp4g07180	0.0997474806145363
Mp2g08260	Mp2g12220	0.0997393947560192
Mp3g21490	Mp7g01910	0.0996917897311084
Mp4g00380	Mp3g06570	0.0996148832335962
Mp2g07150	Mp5g09450	0.0995788588273765
Mp1g09420	Mp3g25450	0.0995611910528473
Mp5g20660	Mp4g23700	0.0995345632430714
Mp2g08260	Mp5g13350	0.0994606161455143
Mp8g11870	Mp5g20660	0.0992874485080035
Mp2g07170	Mp4g14980	0.0992734973293063
Mp1g09420	Mp6g02860	0.0992029028970225
Mp2g08260	Mp5g22410	0.0991214703046753
Mp4g12230	Mp4g08700	0.0991180775391418
Mp2g08260	Mp5g02050	0.099117964593322
Mp5g20660	Mp6g17450	0.0990915650576535
Mp1g09420	Mp7g06880	0.099089008905294
Mp8g11870	Mp6g14340	0.0987663263781401
Mp5g05560	Mp7g15180	0.0987660548345753
Mp8g11560	Mp8g05120	0.098744240020174
Mp2g08260	Mp8g01830	0.0987187629575645
Mp2g08260	Mp5g24420	0.0985836466191302
Mp2g08260	Mp1g21660	0.0984765264558381
Mp7g12630	Mp7g16760	0.0984681269407551
Mp2g08260	Mp5g00560	0.0984335122150869
Mp8g11870	Mp7g02180	0.0983405875979464
Mp8g11870	Mp8g10660	0.0982770913103921
Mp5g05560	Mp2g11960	0.0981805344640327
Mp5g06970	Mp5g09760	0.0981532655306019
Mp8g11870	Mp1g26230	0.0979212552983577
Mp1g09420	Mp8g11200	0.0978913547772171
Mp2g08260	Mp3g15290	0.0978065687993203
Mp4g12230	Mp8g01740	0.0978045216551965
Mp8g11870	Mp7g17690	0.0978011453898437
Mp3g20050	Mp3g08060	0.0977859660533494
Mp5g05560	Mp2g07510	0.097738718946446
Mp1g19590	Mp6g17890	0.097664613706002
Mp5g05560	Mp3g00450	0.0976163139668079
Mp3g20050	Mp5g24500	0.0975466186474634
Mp2g08260	Mp4g21120	0.0974782276504807
Mp1g09420	Mp7g03860	0.0974358362785418
Mp1g09420	Mp2g02920	0.0969575556856475
Mp8g11870	Mp5g19480	0.0969487016867971
Mp5g05560	Mp6g11700	0.0969458261939692
Mp1g09420	Mp7g03880	0.0968866252915302
Mp1g09420	Mp5g02340	0.0968204280667505
Mp2g07170	Mp1g27050	0.0967375352388203
Mp5g20660	Mp7g12450	0.0967182811613134
Mp2g08260	Mp8g02710	0.096609039692534
Mp2g08260	Mp4g05450	0.0965832728932495
Mp3g21490	Mp1g09120	0.0965004998022746
Mp2g07170	Mp4g21360	0.0964671010656507
Mp3g21490	Mp6g09190	0.0962808507866688
Mp5g05560	Mp4g14200	0.0962232233233365
Mp7g12630	Mp8g11870	0.0961358801722393
Mp2g08260	Mp1g28780	0.0961358468663946
Mp2g08260	Mp2g07510	0.0961353419101081
Mp5g06970	Mp3g07160	0.0961180269471744
Mp5g06970	Mp7g03880	0.0960987784727068
Mp1g09420	Mp5g00590	0.0960969546052874
Mp2g08260	Mp3g00450	0.0960831012615856
Mp2g08260	Mp3g01940	0.0959923423297213
Mp8g11870	Mp4g21360	0.0959271755811387
Mp2g08260	Mp4g16030	0.0958526355694949
Mp1g09420	Mp1g13110	0.0955785042204178
Mp2g07170	Mp4g23700	0.0955214307633915
Mp1g09420	Mp5g14320	0.0955154573563786
Mp8g11560	Mp4g15570	0.0955150616602958
Mp8g11560	Mp6g08270	0.0954748903406272
Mp5g05560	Mp3g16430	0.0954468132837902
Mp5g20660	Mp7g01110	0.0953537994088968
Mp8g11560	Mp5g09620	0.0953106522793039
Mp2g08260	Mp7g01230	0.0952181208133846
Mp2g07170	Mp1g06910	0.0952068452531901
Mp4g12230	Mp1g22360	0.0951587936074497
Mp1g09420	Mp5g15430	0.0951267227773443
