chr	abs_summit	pileup
chr1	13392	56
chr1	129859	184
chr1	131975	108
chr1	136369	145
chr1	140289	164
chr1	175269	181
chr1	175792	184
chr1	177905	184
chr1	196023	176
chr1	197074	184
chr1	203384	42
chr1	208154	31
chr1	214261	28
chr1	235025	49
chr1	236162	46
chr1	240361	42
chr1	244112	29
chr1	249782	38
chr1	255301	30
chr1	260636	45
chr1	265903	33
chr1	266933	41
chr1	274807	36
chr1	282738	33
chr1	290740	42
chr1	292046	43
chr1	300464	46
chr1	303269	65
chr1	306533	43
chr1	310870	27
chr1	327003	82
chr1	328317	43
chr1	340837	50
chr1	352220	37
chr1	355430	33
chr1	361098	28
chr1	361829	54
chr1	372548	69
chr1	378083	53
chr1	380034	40
chr1	386220	36
chr1	387479	37
chr1	388159	42
chr1	390233	37
chr1	392033	35
chr1	397023	32
chr1	403291	49
chr1	403863	50
chr1	404920	32
chr1	410796	31
chr1	414297	37
chr1	427102	34
chr1	428752	40
chr1	432288	41
chr1	436257	38
chr1	439012	39
chr1	454373	32
chr1	458384	42
chr1	463146	44
chr1	470744	32
chr1	471642	59
chr1	484439	39
chr1	485129	48
chr1	486192	54
chr1	489801	42
chr1	492463	68
chr1	493187	52
chr1	501239	27
chr1	508237	40
chr1	509395	42
chr1	513712	48
chr1	515315	31
chr1	516427	37
chr1	520854	42
chr1	525275	49
chr1	526319	51
chr1	528641	38
chr1	535739	40
chr1	537062	33
chr1	541448	67
chr1	550240	38
chr1	551324	39
chr1	551955	36
chr1	560983	166
chr1	561468	46
chr1	562274	50
chr1	566574	50
chr1	568409	41
chr1	571188	44
chr1	580442	38
chr1	582134	49
chr1	589168	32
chr1	590147	46
chr1	591649	137
chr1	592651	54
chr1	597713	50
chr1	598144	48
chr1	598595	57
chr1	609016	46
chr1	610258	45
chr1	612766	38
chr1	615157	43
chr1	621117	61
chr1	627045	27
chr1	638170	54
chr1	643860	41
chr1	657660	33
chr1	658534	73
chr1	659086	35
chr1	668499	25
chr1	670230	35
chr1	677854	36
chr1	679145	45
chr1	681291	48
chr1	685280	36
chr1	701965	39
chr1	702709	49
chr1	712034	28
chr1	714442	37
chr1	718662	67
chr1	730071	28
chr1	731957	45
chr1	736027	54
chr1	739852	60
chr1	742303	68
chr1	743801	66
chr1	745482	43
chr1	752476	67
chr1	753204	61
chr1	757720	39
chr1	761616	36
chr1	761973	95
chr1	770570	58
chr1	771794	39
chr1	774166	55
chr1	777594	34
chr1	782808	63
chr1	794808	184
chr1	810084	37
chr1	811977	22
chr1	831806	52
chr1	833633	52
chr1	836775	47
chr1	842560	45
chr1	843952	31
chr1	854991	59
chr1	855961	38
chr1	856269	51
chr1	859484	67
chr1	867226	66
chr1	870618	32
chr1	872764	33
chr1	876139	38
chr1	890719	36
chr1	892038	33
chr1	893873	37
chr1	895466	42
chr1	896914	36
chr1	904496	51
chr1	914932	34
chr1	916781	40
chr1	918444	36
chr1	922755	35
chr1	931362	31
chr1	934423	39
chr1	935447	37
chr1	940568	33
chr1	948165	50
chr1	951338	184
chr1	958422	23
chr1	966672	35
chr1	970618	56
chr1	973223	30
chr1	981171	27
chr1	991518	39
chr1	996166	33
chr1	1005884	36
chr1	1006893	42
chr1	1015867	44
chr1	1016659	34
chr1	1018474	41
chr1	1031297	52
chr1	1034719	42
chr1	1039370	29
chr1	1047195	51
chr1	1060748	29
chr1	1061169	45
chr1	1073581	68
chr1	1079523	40
chr1	1085150	34
chr1	1111321	28
chr1	1113036	25
chr1	1116338	66
chr1	1116994	50
chr1	1125392	35
chr1	1133657	63
chr1	1139951	41
chr1	1143581	55
chr1	1144120	60
chr1	1147722	65
chr1	1149223	54
chr1	1149799	42
chr1	1150845	37
chr1	1155132	27
chr1	1167648	38
chr1	1173190	57
chr1	1175450	54
chr1	1177588	66
chr1	1180539	54
chr1	1186193	62
chr1	1193462	53
chr1	1194236	47
chr1	1195338	70
chr1	1205902	39
chr1	1221633	29
chr1	1229171	22
chr1	1233172	31
chr1	1239058	49
chr1	1245604	44
chr1	1246804	47
chr1	1250594	31
chr1	1251498	77
chr1	1262097	61
chr1	1265949	34
chr1	1269049	49
chr1	1275046	66
chr1	1278389	32
chr1	1278782	38
chr1	1286502	41
chr1	1292789	43
chr1	1296819	50
chr1	1298566	52
chr1	1299583	61
chr1	1300667	54
chr1	1301931	69
chr1	1312696	63
chr1	1316831	61
chr1	1317520	41
chr1	1328161	40
chr1	1342820	42
chr1	1343951	184
chr1	1354405	36
chr1	1355907	49
chr1	1360553	55
chr1	1361277	33
chr1	1366772	40
chr1	1367512	47
chr1	1368833	48
chr1	1375699	32
chr1	1380853	39
chr1	1381365	29
chr1	1382804	42
chr1	1387545	182
chr1	1392948	39
chr1	1401733	41
chr1	1406677	54
chr1	1407184	40
chr1	1426184	36
chr1	1438156	54
chr1	1441271	65
chr1	1442304	53
chr1	1446673	52
chr1	1450204	27
chr1	1451408	28
chr1	1467582	24
chr1	1470110	42
chr1	1474542	30
chr1	1477087	52
chr1	1478599	45
chr1	1480971	37
