Matching.Attribute,name,shared name,TF,family,description, T, a, b, d,Tak1_HS,hsfa_HS,hsfb_HS,dko_HS,Peak,cluster,OCR_to_TSS,T_OCR,a_OCR,b_OCR,d_OCR,Tak1_HS_oc,hsfa_HS_oc,hsfb_HS_oc,dko_HS_oc
Mp3g00500,Mp3g00500,Mp3g00500,,,,,,,U,0.657028179,-0.004091407,0.421209453,1.901711804,,C4,,,,,,,,,
Mp5g23660,Mp5g23660,Mp5g23660,,,,U,U,U,U,1.213313886,0.648925454,0.704588332,1.104759143,,C4,,,,,,,,,
Mp1g27860,Mp1g27860,Mp1g27860,,,,U,,U,,1.545847456,-0.595825597,1.071342155,-1.015321796,chr1.28107043.28107580,C2,Downstream (<=300bp),up,up,up,up,0.692077855,0.728329736,1.310692629,0.502602254
Mp6g15650,Mp6g15650,Mp6g15650,,,,,,D,,-0.420860583,-1.652421474,-0.902092483,0.360890315,,C1,,,,,,,,,
Mp6g19230,Mp6g19230,Mp6g19230,,,,,U,,U,0.137020125,1.084435058,0.483542882,1.551364959,,C4,,,,,,,,,
Mp7g13760,Mp7g13760,Mp7g13760,MpERF2,AP2/ERF,"transcription factor, AP2/ERF",U,U,U,U,0.265364294,1.843175239,0.594866117,1.026191097,,C4,,,,,,,,,
Mp2g24920,Mp2g24920,Mp2g24920,,,,,D,,,-0.608213615,-1.253396751,-1.403620051,-0.03058501,chr2.27265296.27266896,C1,3' UTR,up,up,up,up,0.670075303,1.057233828,0.76355222,1.112391327
Mp8g14450,Mp8g14450,Mp8g14450,,,,D,D,D,D,-0.538335085,-0.518376,-1.080833312,-1.070454257,,C6,,,,,,,,,
Mp1g20810,Mp1g20810,Mp1g20810,,,,D,D,D,D,-0.980964738,-1.324656008,-0.705391436,-0.589459962,,C6,,,,,,,,,
Mp1g08755,Mp1g08755,Mp1g08755,,,,D,,D,,-0.80443283,0.326355966,-1.583235441,-0.890453321,,C1,,,,,,,,,
Mp1g03210,Mp1g03210,Mp1g03210,,,,U,,U,,1.495556224,-0.955505083,1.049608903,-1.278348865,chr1.3528816.3528988,C2,3' UTR,up,,up,,0.952407505,-0.149203778,2.421318675,-0.019120967
Mp7g17950,Mp7g17950,Mp7g17950,,,,U,U,,,0.759791189,1.207786904,0.481942727,0.43974841,,C4,,,,,,,,,
Mp1g13540,Mp1g13540,Mp1g13540,,,,,,D,,-1.145219351,0.448786169,-1.410146076,1.235930814,,C1,,,,,,,,,
Mp1g26440,Mp1g26440,Mp1g26440,,,,U,U,U,,1.396919991,0.156471054,1.10342123,-0.284944491,,C3,,,,,,,,,
Mp3g05220,Mp3g05220,Mp3g05220,,,,,D,,D,-0.052122558,0.054721917,-0.224126499,-1.191516504,,C6,,,,,,,,,
Mp7g19340,Mp7g19340,Mp7g19340,,,,D,,,,-1.604648238,-1.270496734,0.702088547,-0.299237205,,C6,,,,,,,,,
Mp3g22550,Mp3g22550,Mp3g22550,,,,D,D,D,D,-0.28204166,-0.177937232,-1.239867546,-0.692710737,,C1,,,,,,,,,
Mp6g02020,Mp6g02020,Mp6g02020,,,,,D,,,-0.005733067,-1.188104203,0.366414884,1.100679383,,C7,,,,,,,,,
Mp2g02230,Mp2g02230,Mp2g02230,MpBZIP14,bZIP,"transcription factor, bZIP",U,,U,,1.414070708,0.060963215,1.46894171,-0.115450357,,C2,,,,,,,,,
Mp1g16450,Mp1g16450,Mp1g16450,,,,U,U,U,,1.591915616,-0.436322937,1.331442719,-0.616973096,chr1.16691395.16691697,C2,Downstream (<=300bp),up,,up,,1.842980811,-0.563789757,1.212057301,-0.525206288
