Orthogroup,MpTak_v6.1r1.protein,Athaliana_447_Araport11.protein
OG0000002,Mp1g28320.1,"AT2G36000, AT3G18870"
OG0000003,"Mp7g05830.1, Mp7g05830.2",AT2G41460
OG0000005,"Mp8g00570.1, Mp6g21240.1","AT3G21165, AT2G07110, AT2G41473, AT5G36190, AT1G11620, AT1G31510, AT1G11608, AT3G18340, AT2G07120, AT3G44130, AT3G17710, AT2G17310, AT3G16555, AT3G51171, AT1G12190, AT1G12170, AT3G16590, AT1G47390, AT1G32430, AT3G16580, AT2G14710, AT1G51290, AT1G51320, AT3G59610, AT3G59590, AT1G58090, AT1G59630, AT5G37040, AT3G22650, AT3G10430, AT4G04690, AT3G08750, AT1G77650, AT3G21410, AT1G25141, AT2G39355, AT3G23633, AT5G62830, AT3G17560, AT3G44120, AT3G18320, AT2G07140, AT3G18330, AT3G19410, AT3G18980, AT3G18905, AT3G18910, AT3G49980, AT3G25460, AT5G47300, AT4G09870, AT2G24510, AT3G17540, AT3G17530, AT3G17270, AT3G24700, AT3G17265, AT3G17280, AT3G17570, AT2G27520, AT3G17490, AT3G22700, AT3G22720, AT3G22710, AT3G22350, AT3G22730, AT2G04920, AT3G17500, AT4G10190, AT3G21170, AT3G21130, AT3G21120, AT3G23260, AT3G17480, AT1G62270, AT3G20690, AT3G20700, AT3G20710, AT5G42460, AT2G17830, AT3G16740, AT2G18780, AT3G17320, AT5G36730, AT5G36820, AT5G36200, AT3G17620, AT3G16820, AT3G18120, AT1G59680, AT3G14030, AT3G19565, AT3G17400, AT2G11200, AT3G23420, AT3G24580, AT3G19470, AT3G22770, AT3G16880, AT1G65990, AT4G10740, AT3G23685, AT3G25090, AT3G23680, AT3G04250, AT5G41490, AT5G41500, AT5G41510, AT2G38590, AT4G33290, AT3G22940, AT3G22421, AT3G22870, AT3G19560, AT5G51000, AT5G60560, AT3G20030, AT1G32140, AT3G19890, AT4G05080, AT3G19880, AT1G67450, AT3G13830, AT1G11810, AT3G13820, AT1G66490, AT3G49520, AT3G49510, AT1G54550, AT3G13680, AT1G24800, AT1G25055, AT1G25211, AT1G25150, AT1G24881, AT4G17200"
OG0000006,"Mp2g03760.1, Mp3g08510.1","AT3G43800, AT1G53680, AT1G78360, AT1G78380, AT1G78340, AT1G78370, AT1G17180, AT1G17170, AT1G78320, AT1G17190, AT2G29420, AT2G29450, AT2G29440, AT2G29490, AT2G29480, AT2G29470, AT2G29460, AT3G09270, AT1G74590, AT5G62480, AT1G10370, AT1G10360, AT1G69920, AT1G27140, AT1G27130, AT1G69930, AT1G59700, AT1G59670"
OG0000007,Mp1g03450.1,"AT2G42060, AT2G44400, AT2G27660, AT2G17740, AT2G44370, AT5G40590, AT2G44380, AT2G44390, AT5G43520, AT2G28270, AT2G21840, AT2G21830, AT2G21850, AT2G21810, AT1G60787, AT5G01480, AT1G29180, AT4G26380, AT5G03360, AT2G28460, AT1G44020, AT1G44030, AT1G66450, AT1G66440, AT5G37210, AT4G02540, AT3G50010, AT4G13130, AT5G48320, AT4G15070, AT1G45243, AT3G26250, AT3G21210, AT1G34480, AT2G02630, AT2G02610, AT2G02640, AT2G02620, AT2G02680, AT2G02700, AT2G02690, AT2G40050, AT5G55800, AT5G46660, AT4G10370, AT3G26550, AT1G44050, AT5G55780, AT5G46670, AT5G55770, AT5G02340, AT2G13950, AT2G13900, AT5G02350, AT5G02330, AT5G02360, AT2G13895, AT2G17600, AT2G17590, AT3G11390, AT3G11385, AT3G11402, AT3G11370, AT1G35610, AT3G13760, AT5G17960, AT3G59130, AT2G23100, AT1G55420, AT1G55380, AT1G55390, AT1G55440, AT5G42280, AT1G50190, AT3G13590, AT5G26190, AT5G39471, AT5G40320, AT5G45730, AT3G07000, AT3G06990, AT1G58037, AT5G54050, AT5G54020, AT5G54040, AT5G54030, AT4G14980, AT2G04500, AT5G42840, AT3G28650, AT3G27480, AT3G27510, AT2G43220, AT4G16015, AT4G13992, AT4G01920, AT4G09690, AT4G01930, AT4G01910, AT4G11550, AT4G01925, AT3G43890, AT1G69150, AT1G65180, AT2G19660, AT5G37620, AT2G04680, AT2G19650, AT3G45840, AT3G48400, AT5G22355, AT4G01350, AT5G59920, AT5G59940, AT5G59930, AT2G37780"
OG0000009,Mp4g03240.1,"AT4G11470, AT4G11480, AT4G23240, AT4G23290, AT4G23320, AT4G11460, AT4G23260, AT4G11530, AT4G23190, AT4G23200, AT4G23220, AT4G11490, AT4G04540, AT4G04570, AT4G04510, AT4G04490, AT4G04500, AT4G23150, AT4G23140, AT4G23230, AT4G23180, AT4G23280, AT4G23270, AT4G23310, AT3G45860, AT4G23130, AT4G05200, AT4G38830, AT4G21230, AT4G21410, AT4G21400, AT4G00970, AT4G00960, AT4G27300, AT1G61550, AT1G61400, AT1G61440, AT1G61430, AT1G61500, AT1G61460, AT1G61420, AT1G61480, AT1G61490, AT1G61360, AT1G61390, AT1G61380, AT1G11280, AT1G61370, AT1G11303, AT1G11300, AT1G11330, AT1G11350, AT1G61610, AT4G21390, AT4G11900, AT3G16030, AT1G67520, AT4G21366"
OG0000011,"Mpzg01360.1, Mp2g16640.1, Mp3g24270.1, Mp8g04960.1, Mp8g04960.2, Mp3g20540.1, Mp3g17090.1, Mp3g03440.1","AT1G01420, AT1G01390, AT4G01070, AT5G66690, AT5G26310, AT3G50740, AT4G36770, AT2G18570, AT2G18560, AT2G29710, AT2G29730, AT1G07250, AT2G29740, AT2G29750, AT1G07260, AT1G07240, AT3G21790, AT3G21800, AT3G21780, AT4G15260, AT4G15280, AT3G21760, AT3G21750, AT3G16520"
OG0000012,"Mp8g10910.1, Mp8g16750.1, Mp4g20020.1","AT3G46660, AT3G46670, AT5G38010, AT5G37950, AT5G38040, AT3G46700, AT3G46720, AT3G46690, AT3G46650, AT3G46680, AT5G59590, AT5G59580, AT2G26480, AT5G05870, AT5G05890, AT5G05900, AT5G05880, AT5G05860, AT3G11340, AT3G55710, AT3G55700, AT1G22370, AT1G22340, AT1G22360, AT1G22400, AT1G22380, AT1G78270"
OG0000014,"Mp5g05730.1, Mp5g05720.1, Mp3g18210.1","AT4G22490, AT4G22520, AT2G45180, AT4G00165, AT1G62510, AT1G12090, AT4G12490, AT4G12500, AT4G12480, AT4G12470, AT4G12520, AT4G12510, AT4G12550, AT4G12545, AT4G22460, AT4G12530, AT5G46900, AT5G46890, AT1G12100, AT4G15160, AT1G62500, AT2G10940, AT3G22120"
OG0000015,Mp8g18120.1,"AT3G62020, AT1G02335, AT1G09560, AT5G26700, AT3G05930"
OG0000015,"Mp5g02540.1, Mp2g24550.1, Mp2g24890.1, Mp5g02530.1, Mp5g02550.1, Mp5g16550.1","AT1G74820, AT1G18980, AT1G18970"
OG0000016,"Mp7g19460.1, Mp4g11050.1, Mp8g10490.1, Mp2g26220.1, Mp2g09700.1, Mp3g08430.1, Mp3g08380.1, Mp2g03470.1, Mp3g08390.1, Mp7g13490.1, Mp7g13490.2, Mp6g14900.2, Mp6g14900.1, Mp6g14900.3, Mp3g08410.1, Mp2g16620.1, Mp2g16610.1, Mp4g03710.1, Mp4g03660.1, Mp7g09090.1, Mp1g23650.1, Mp2g24030.1, Mp7g01540.1",AT4G04220
OG0000016,"Mp7g02950.1, Mp5g07240.1, Mp5g07260.1, Mp2g24980.1","AT3G23010, AT3G23110, AT3G23120, AT3G05370, AT3G05360, AT1G71400, AT1G71390, AT4G13880, AT4G13810, AT4G13920, AT4G13820, AT2G33060, AT2G33050, AT2G33080, AT2G25440, AT2G33030, AT2G33020, AT2G32680, AT3G24900, AT3G25010, AT3G25020, AT3G24982, AT2G32660, AT5G40170, AT2G15080, AT5G27060, AT3G11010, AT3G11080, AT3G05650, AT3G05660, AT2G15042, AT5G25910, AT3G28890, AT1G47890, AT1G45616"
OG0000017,Mp4g00380.1,AT1G80580
OG0000017,Mp6g18650.1,AT5G19790
