X	Class	df2[, sub.com3$motif]
chr1.15088745.15088898	pos	1
chr1.27668428.27668605	pos	0
chr2.16101179.16101398	pos	0
chr2.16112719.16112813	pos	0
chr2.25330410.25330496	pos	0
chr2.25330625.25330788	pos	0
chr3.2824636.2824931	pos	0
chr3.3434058.3434153	pos	0
chr3.14095967.14096056	pos	0
chr3.23961499.23961857	pos	0
chr3.24852349.24853734	pos	1
chr4.24746817.24746894	pos	0
chr5.8850737.8851596	pos	1
chr5.15225735.15225832	pos	1
chr5.18748533.18748863	pos	1
chr7.17299629.17299700	pos	0
chr8.3493729.3493826	pos	0
chr8.11255350.11255548	pos	1
chr8.16004952.16005089	pos	1
chr1.2879000.2879500	neg	0
chr1.4477000.4477500	neg	0
chr1.6942000.6942500	neg	0
chr2.10240500.10241000	neg	0
chr2.16110500.16111000	neg	0
chr2.17240500.17241000	neg	0
chr2.25517500.25518000	neg	0
chr3.23471000.23471500	neg	0
chr5.4996500.4997000	neg	0
chr5.9661500.9662000	neg	0
chr5.25412000.25412500	neg	0
chr6.1995000.1995500	neg	0
chr6.2642000.2642500	neg	0
chr6.11339000.11339500	neg	0
chr6.15544000.15544500	neg	0
chr6.20524000.20524500	neg	0
chr7.7443000.7443500	neg	0
chr7.17632000.17632500	neg	0
chr8.2102000.2102500	neg	0
