site1_chrom	site1_start	site1_end	site1_name	site1_score	site1_strand	site2_chrom	site2_start	site2_end	site2_name	site2_score	site2_strand	site_distance	site_orientation	feature	feat_strand	feat_start	feat_end	query_name	distance	feat_anchor	feat_ovl_peak	peak_ovl_feat	relative_location	transcript_id	gene_id
chr8	15989633	15989641	C3_bHLH_18	11.07316	-	chr8	15989730	15989737	C2_E2FDP_13-C6_E2FDP_16	9.70476	+	89	divergent	transcript	+	15987430	15993410	query_1	2207	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989678	15989686	C3_bHLH_18	11.07316	-	chr8	15989730	15989737	C2_E2FDP_13-C6_E2FDP_16	9.70476	+	44	divergent	transcript	+	15987430	15993410	query_1	2252	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989633	15989641	C3_bHLH_18	11.07316	-	chr8	15989694	15989701	C2_MYB_24	9.66277	-	53	TF2-TF1	transcript	+	15987430	15993410	query_1	2207	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989678	15989686	C3_bHLH_18	11.07316	-	chr8	15989694	15989701	C2_MYB_24	9.66277	-	8	TF2-TF1	transcript	+	15987430	15993410	query_1	2252	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989633	15989641	C3_bHLH_18	11.07316	-	chr8	15989728	15989735	C2_TCP_26-C3_TCP_19	9.70476	-	87	TF2-TF1	transcript	+	15987430	15993410	query_1	2207	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989678	15989686	C3_bHLH_18	11.07316	-	chr8	15989728	15989735	C2_TCP_26-C3_TCP_19	9.70476	-	42	TF2-TF1	transcript	+	15987430	15993410	query_1	2252	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989625	15989633	C3_AP2EREBP_123	11.07316	-	chr8	15989633	15989641	C3_bHLH_18	11.07316	-	0	TF2-TF1	transcript	+	15987430	15993410	query_1	2199	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989625	15989633	C3_AP2EREBP_123	11.07316	-	chr8	15989678	15989686	C3_bHLH_18	11.07316	-	45	TF2-TF1	transcript	+	15987430	15993410	query_1	2199	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989633	15989641	C3_bHLH_18	11.07316	-	chr8	15989729	15989736	C3_LOBAS2_18	9.70476	+	88	divergent	transcript	+	15987430	15993410	query_1	2207	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989678	15989686	C3_bHLH_18	11.07316	-	chr8	15989729	15989736	C3_LOBAS2_18	9.70476	+	43	divergent	transcript	+	15987430	15993410	query_1	2252	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989621	15989628	C9_MYBrelated_7	9.68376	+	chr8	15989633	15989641	C3_bHLH_18	11.07316	-	5	convergent	transcript	+	15987430	15993410	query_1	2194	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
